,2015,2016,2017,2018,2019,2020
01-02,,,,5.474999904632568,2.680000066757202,101.30999755859375
01-03,,,6.449999809265137,5.300000190734863,2.6500000953674316,94.69000244140625
01-04,,12.1899995803833,6.349999904632568,5.550000190734863,2.630000114440918,
01-05,,14.979999542236328,6.349999904632568,5.599999904632568,,
01-06,,14.470000267028809,6.050000190734863,,,94.4800033569336
01-07,,12.449999809265137,,,6.869999885559082,92.25
01-08,,11.859999656677246,,5.550000190734863,8.880000114440918,90.0
01-09,,,6.0,3.549999952316284,7.550000190734863,87.23999786376953
01-10,,,5.800000190734863,3.424999952316284,7.409999847412109,88.77999877929688
01-11,,11.970000267028809,5.599999904632568,3.4000000953674316,7.360000133514404,
01-12,,11.890000343322754,5.449999809265137,3.299999952316284,,
01-13,,10.220000267028809,5.550000190734863,,,88.30000305175781
01-14,,10.619999885559082,,,7.599999904632568,90.48999786376953
01-15,,13.0,,,7.940000057220459,90.69000244140625
01-16,,,,2.950000047683716,8.0600004196167,92.4800033569336
01-17,,,5.400000095367432,2.950000047683716,8.319999694824219,90.33999633789062
01-18,,,5.400000095367432,2.950000047683716,8.15999984741211,
01-19,,12.350000381469727,5.050000190734863,2.950000047683716,,
01-20,,12.15999984741211,4.949999809265137,,,
01-21,,12.25,,,,88.7300033569336
01-22,,12.470000267028809,,3.0999999046325684,8.520000457763672,87.51000213623047
01-23,,,4.800000190734863,3.0,8.319999694824219,87.76000213623047
01-24,,,4.849999904632568,3.1500000953674316,8.34000015258789,85.19999694824219
01-25,,11.350000381469727,4.900000095367432,3.0999999046325684,8.600000381469727,
01-26,,11.59000015258789,4.849999904632568,3.0,,
01-27,,9.569999694824219,4.800000190734863,,,86.97000122070312
01-28,,9.029999732971191,,,8.140000343322754,87.5999984741211
01-29,,7.829999923706055,,2.875,8.149999618530273,90.0199966430664
01-30,,,4.699999809265137,2.799999952316284,8.329999923706055,88.4000015258789
01-31,,,4.900000095367432,2.799999952316284,8.390000343322754,86.81999969482422
02-01,,7.710000038146973,4.75,2.799999952316284,9.220000267028809,
02-02,,7.331999778747559,4.550000190734863,2.700000047683716,,
02-03,,7.320000171661377,4.699999809265137,,,93.87000274658203
02-04,,7.369999885559082,,,9.979999542236328,96.30999755859375
02-05,,7.210000038146973,,2.700000047683716,10.140000343322754,94.54000091552734
02-06,,,4.599999904632568,2.5999999046325684,9.59000015258789,91.0
02-07,,,4.550000190734863,2.6500000953674316,9.359999656677246,89.8499984741211
02-08,,5.369999885559082,4.449999809265137,2.549999952316284,8.920000076293945,
02-09,,6.300000190734863,4.449999809265137,2.5,,
02-10,,6.940000057220459,4.550000190734863,,,92.3499984741211
02-11,,6.849999904632568,,,9.239999771118164,92.80000305175781
02-12,,8.0,,2.549999952316284,9.15999984741211,90.69000244140625
02-13,,,4.599999904632568,2.6500000953674316,9.140000343322754,88.66999816894531
02-14,,,4.75,2.5999999046325684,9.170000076293945,90.47000122070312
