,2014,2015,2016,2017,2018,2019,2020
01-02,,0.44999998807907104,,,0.026000000536441803,0.007000000216066837,0.0032999999821186066
01-03,,,,0.032999999821186066,0.026000000536441803,0.0071000000461936,0.0032999999821186066
01-04,,,0.03999999910593033,0.032999999821186066,0.03678999841213226,0.007000000216066837,
01-05,,0.4000000059604645,0.03999999910593033,0.032999999821186066,0.02800000086426735,,
01-06,,0.36000001430511475,0.03999999910593033,0.032999999821186066,,,0.0032999999821186066
01-07,,0.4000000059604645,0.03999999910593033,,,0.007000000216066837,0.0032999999821186066
01-08,,0.41999998688697815,0.03999999910593033,,0.02800000086426735,0.007000000216066837,0.0032999999821186066
01-09,,0.41999998688697815,,0.032999999821186066,0.02800000086426735,0.007000000216066837,0.0031999999191612005
01-10,,,,0.0430000014603138,0.04149999842047691,0.007000000216066837,0.0031999999191612005
01-11,,,0.03999999910593033,0.028999999165534973,0.052000001072883606,0.007000000216066837,
01-12,,0.4300000071525574,0.03999999910593033,0.029999999329447746,0.03999999910593033,,
01-13,,0.4399999976158142,0.03999999910593033,0.029999999329447746,,,0.0031999999191612005
01-14,,0.41999998688697815,0.029999999329447746,,,0.007000000216066837,0.0031999999191612005
01-15,,0.4699999988079071,0.029999999329447746,,,0.007000000216066837,0.0031999999191612005
01-16,,0.46000000834465027,,,0.027000000700354576,0.007000000216066837,0.0031999999191612005
01-17,,,,0.028999999165534973,0.03099999949336052,0.007000000216066837,0.0031999999191612005
01-18,,,,0.028999999165534973,0.03849999979138374,0.007000000216066837,
01-19,,,0.029999999329447746,0.028999999165534973,0.03849999979138374,,
01-20,,0.41999998688697815,0.029999999329447746,0.028999999165534973,,,
01-21,,0.41999998688697815,0.029999999329447746,,,,0.0031999999191612005
01-22,,0.41999998688697815,0.029999999329447746,,0.04899999871850014,0.007000000216066837,0.0031999999191612005
01-23,,0.4300000071525574,,0.028999999165534973,0.04899999871850014,0.007000000216066837,0.0031999999191612005
01-24,,,,0.028999999165534973,0.04349999874830246,0.007000000216066837,0.0031999999191612005
01-25,,,0.029999999329447746,0.028999999165534973,0.03400000184774399,0.007000000216066837,
01-26,,0.46000000834465027,0.029999999329447746,0.028999999165534973,0.029999999329447746,,
01-27,,0.44999998807907104,0.03999999910593033,0.026000000536441803,,,0.0031999999191612005
01-28,,0.47999998927116394,0.03999999910593033,,,0.007000000216066837,0.0031999999191612005
01-29,,0.49000000953674316,0.03200000151991844,,0.04899999871850014,0.01590000092983246,0.0031999999191612005
01-30,,0.49000000953674316,,0.026000000536441803,0.04899999871850014,0.005499999970197678,0.0031999999191612005
01-31,,,,0.02500000037252903,0.04899999871850014,0.007000000216066837,0.0031999999191612005
02-01,,,0.029999999329447746,0.02500000037252903,0.04899999871850014,0.006659999955445528,
02-02,,0.47999998927116394,0.029999999329447746,0.02800000086426735,0.03415999934077263,,
02-03,,0.47999998927116394,0.029999999329447746,0.029999999329447746,,,0.0031999999191612005
02-04,,0.5,0.029999999329447746,,,0.014999999664723873,0.0031999999191612005
02-05,,0.49000000953674316,0.03200000151991844,,0.029999999329447746,0.014999999664723873,0.003100000089034438
02-06,,0.49000000953674316,,0.029999999329447746,0.029999999329447746,0.014999999664723873,0.0035000001080334187
02-07,,,,0.029999999329447746,0.020999999716877937,0.011920000426471233,0.0035000001080334187
02-08,,,0.03099999949336052,0.029999999329447746,0.020999999716877937,0.011920000426471233,
02-09,,0.48500001430511475,0.029999999329447746,0.03400000184774399,0.020999999716877937,,
02-10,,0.4699999988079071,0.03099999949336052,0.03400000184774399,,,0.004800000227987766
02-11,,0.4699999988079071,0.03099999949336052,,,0.011920000426471233,0.004800000227987766
02-12,,0.4699999988079071,0.03099999949336052,,0.03269999846816063,0.011920000426471233,0.004800000227987766
02-13,,0.4699999988079071,,0.03400000184774399,0.03269999846816063,0.011920000426471233,0.004800000227987766
02-14,,,,0.03400000184774399,0.023749999701976776,0.011920000426471233,0.004800000227987766
02-15,,,,0.03400000184774399,0.023749999701976776,0.011599999852478504,
02-16,,,0.03099999949336052,0.028999999165534973,0.036400001496076584,,
02-17,,0.4699999988079071,0.03099999949336052,0.028999999165534973,,,
02-18,,0.4699999988079071,0.03099999949336052,,,,0.004800000227987766
02-19,,0.4699999988079071,0.03099999949336052,,,0.017999999225139618,0.0025599999353289604
02-20,,0.4699999988079071,,,0.026000000536441803,0.02710999920964241,0.0025599999353289604
02-21,,,,0.028999999165534973,0.04500000178813934,0.02710999920964241,0.0025599999353289604
02-22,,,0.029999999329447746,0.029999999329447746,0.03799000009894371,0.02638999931514263,
02-23,,0.47999998927116394,0.020999999716877937,0.03099999949336052,0.03799000009894371,,
02-24,,0.47999998927116394,0.020999999716877937,0.03099999949336052,,,0.0020000000949949026
02-25,,0.4699999988079071,0.024000000208616257,,,0.027300000190734863,0.0020000000949949026
02-26,,0.44999998807907104,0.02199999988079071,,0.03799000009894371,0.027300000190734863,0.0020000000949949026
02-27,,0.44999998807907104,,0.03099999949336052,0.03117999993264675,0.01889999955892563,0.0020000000949949026
02-28,,,,0.03099999949336052,0.03117999993264675,0.01889999955892563,0.002050000010058284
02-29,,,0.020999999716877937,,,,
03-01,,,0.023000000044703484,0.02800000086426735,0.028999999165534973,0.01889999955892563,
03-02,,0.44999998807907104,0.023000000044703484,0.02800000086426735,0.028999999165534973,,0.002050000010058284
03-03,,0.44999998807907104,0.020999999716877937,0.03200000151991844,,,0.002050000010058284
03-04,,0.44999998807907104,0.02500000037252903,,,0.01889999955892563,0.002050000010058284
03-05,,0.47999998927116394,,,0.028999999165534973,0.017899999395012856,0.002050000010058284
03-06,,0.47999998927116394,,0.032999999821186066,0.028999999165534973,0.00800000037997961,0.002050000010058284
03-07,,,0.029999999329447746,0.032999999821186066,0.028999999165534973,0.00800000037997961,
03-08,,,0.029999999329447746,0.032999999821186066,0.0210999995470047,0.00800000037997961,
