,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,9.399999618530273,12.462499618530273,11.77750015258789,,,17.700000762939453,18.399999618530273,22.329999923706055
01-03,,9.399999618530273,12.462499618530273,,,14.5600004196167,17.700000762939453,18.399999618530273,22.329999923706055
01-04,,9.399999618530273,,,17.399999618530273,14.5600004196167,17.700000762939453,18.399999618530273,
01-05,,,,11.77750015258789,17.399999618530273,14.5600004196167,17.700000762939453,,
01-06,,,12.399999618530273,11.77750015258789,17.399999618530273,14.5600004196167,,,22.329999923706055
01-07,,9.399999618530273,12.399999618530273,11.77750015258789,17.399999618530273,,,18.399999618530273,22.329999923706055
01-08,,9.399999618530273,12.399999618530273,11.77750015258789,17.399999618530273,,17.700000762939453,18.399999618530273,22.329999923706055
01-09,,9.399999618530273,12.050000190734863,11.77750015258789,,14.5600004196167,17.700000762939453,18.399999618530273,22.329999923706055
01-10,,9.399999618530273,12.050000190734863,,,14.5600004196167,17.700000762939453,18.399999618530273,22.329999923706055
01-11,,9.399999618530273,,,17.399999618530273,14.5600004196167,17.700000762939453,18.399999618530273,
01-12,,,,11.77750015258789,17.399999618530273,14.5600004196167,17.700000762939453,,
01-13,,,12.050000190734863,11.77750015258789,17.399999618530273,14.5600004196167,,,22.329999923706055
01-14,,9.399999618530273,12.050000190734863,11.77750015258789,17.399999618530273,,,17.420000076293945,22.329999923706055
01-15,,9.399999618530273,12.050000190734863,11.77750015258789,17.399999618530273,,,17.420000076293945,22.329999923706055
01-16,,9.399999618530273,12.050000190734863,11.77750015258789,,,17.700000762939453,17.420000076293945,22.329999923706055
01-17,,9.399999618530273,12.050000190734863,,,14.5600004196167,17.700000762939453,17.420000076293945,22.329999923706055
01-18,,9.399999618530273,,,,14.5600004196167,17.700000762939453,17.420000076293945,
01-19,,,,,17.399999618530273,14.5600004196167,17.700000762939453,,
01-20,,,,11.77750015258789,17.399999618530273,14.5600004196167,,,
01-21,,,12.050000190734863,11.77750015258789,17.399999618530273,,,,22.329999923706055
