,2016,2017,2018,2019,2020
01-02,,,0.3100000023841858,0.125,0.059999998658895486
01-03,,0.2800000011920929,0.3100000023841858,0.125,0.059999998658895486
01-04,,0.6000000238418579,0.3100000023841858,0.125,
01-05,,0.6000000238418579,0.3100000023841858,,
01-06,,0.6000000238418579,,,0.059999998658895486
01-07,,,,0.125,0.059999998658895486
01-08,,,0.3100000023841858,0.125,0.059999998658895486
01-09,,0.6000000238418579,0.3100000023841858,0.125,0.059999998658895486
01-10,,0.6000000238418579,0.3100000023841858,0.125,0.059999998658895486
01-11,,0.6000000238418579,0.3100000023841858,0.125,
01-12,,0.6000000238418579,0.3100000023841858,,
01-13,,0.4000000059604645,,,0.059999998658895486
01-14,,,,0.125,0.059999998658895486
01-15,,,,0.125,0.059999998658895486
01-16,,,0.3100000023841858,0.13199999928474426,0.059999998658895486
01-17,,0.4000000059604645,0.2800000011920929,0.119999997317791,0.059999998658895486
01-18,,0.36000001430511475,0.2800000011920929,0.119999997317791,
01-19,,0.5,0.2800000011920929,,
01-20,,0.4000000059604645,,,
01-21,,,,,0.059999998658895486
01-22,,,0.2800000011920929,0.119999997317791,0.059999998658895486
01-23,,0.4000000059604645,0.2800000011920929,0.119999997317791,0.059999998658895486
01-24,,0.4000000059604645,0.2800000011920929,0.119999997317791,0.059999998658895486
01-25,,0.4000000059604645,0.2800000011920929,0.119999997317791,
01-26,,0.4000000059604645,0.2800000011920929,,
01-27,,0.4000000059604645,,,0.059999998658895486
01-28,,,,0.10000000149011612,0.059999998658895486
01-29,,,0.2800000011920929,0.10000000149011612,0.059999998658895486
01-30,,0.3400000035762787,0.2800000011920929,0.10000000149011612,0.059999998658895486
01-31,,0.3199999928474426,0.2800000011920929,0.10000000149011612,0.059999998658895486
02-01,,0.3400000035762787,0.2800000011920929,0.10000000149011612,
02-02,,0.3400000035762787,0.2800000011920929,,
02-03,,0.3400000035762787,,,0.059999998658895486
02-04,,,,0.10000000149011612,0.059999998658895486
02-05,,,0.2800000011920929,0.10000000149011612,0.059999998658895486
02-06,,0.3199999928474426,0.2800000011920929,0.10000000149011612,0.059999998658895486
02-07,,0.30000001192092896,0.2800000011920929,0.10000000149011612,0.07999999821186066
02-08,,0.30000001192092896,0.2800000011920929,0.10000000149011612,
02-09,,0.30000001192092896,0.2800000011920929,,
02-10,,0.30000001192092896,,,0.07999999821186066
02-11,,,,0.10000000149011612,0.07999999821186066
02-12,,,0.2800000011920929,0.10000000149011612,0.07999999821186066
02-13,,0.4000000059604645,0.2800000011920929,0.10000000149011612,0.07999999821186066
02-14,,0.4000000059604645,0.2800000011920929,0.10000000149011612,0.07999999821186066
02-15,,0.3400000035762787,0.2800000011920929,0.10000000149011612,
02-16,,0.3400000035762787,0.2800000011920929,,
02-17,,0.3400000035762787,,,
02-18,,,,,0.07999999821186066
02-19,,,,0.10000000149011612,0.07999999821186066
02-20,,,0.25,0.10000000149011612,0.07999999821186066
02-21,,0.3400000035762787,0.25,0.10000000149011612,0.07999999821186066
02-22,,0.3400000035762787,0.25,0.10000000149011612,
02-23,,0.3400000035762787,0.25,,
02-24,,0.3400000035762787,,,0.07999999821186066
02-25,,,,0.10000000149011612,0.07999999821186066
02-26,,,0.25,0.10000000149011612,0.07999999821186066
02-27,,0.3400000035762787,0.23000000417232516,0.10000000149011612,0.07999999821186066
02-28,,0.3400000035762787,0.23000000417232516,0.10000000149011612,0.07999999821186066
03-01,,0.3400000035762787,0.23000000417232516,0.10000000149011612,
03-02,,0.3400000035762787,0.23000000417232516,,0.07999999821186066
03-03,,0.3799999952316284,,,0.07999999821186066
03-04,,,,0.10000000149011612,0.07999999821186066
03-05,,,0.2199999988079071,0.10000000149011612,0.05000000074505806
03-06,,0.3799999952316284,0.2199999988079071,0.10000000149011612,0.05000000074505806
03-07,,0.3799999952316284,0.2199999988079071,0.10000000149011612,
03-08,,0.3799999952316284,0.20999999344348907,0.10000000149011612,
