,2016,2017,2018,2019,2020
01-02,,,14.5600004196167,8.850000381469727,12.609999656677244
01-03,,17.149999618530273,14.779999732971193,8.550000190734862,12.6899995803833
01-04,,16.850000381469727,15.609999656677244,8.579999923706055,
01-05,,17.020000457763672,15.850000381469727,,
01-06,,16.549999237060547,,,12.633000373840332
01-07,,,,8.399999618530272,12.420000076293945
01-08,,,16.5,8.260000228881836,12.06999969482422
01-09,,16.75,16.700000762939453,8.435000419616701,12.357999801635742
01-10,,16.770000457763672,16.65999984741211,8.739999771118164,12.31999969482422
01-11,,16.469999313354492,16.224000930786133,8.84000015258789,
01-12,,16.100000381469727,16.0,,
01-13,,16.875,,,12.44499969482422
01-14,,,,8.800000190734863,12.170000076293945
01-15,,,,8.689999580383299,12.59000015258789
01-16,,,16.110000610351562,8.640000343322754,12.199999809265135
01-17,,16.875,16.420000076293945,8.859999656677246,12.020000457763672
01-18,,16.569999694824222,16.540000915527347,8.90999984741211,
01-19,,16.399999618530273,16.5,,
01-20,,16.450000762939453,,,
01-21,,,,,12.029999732971193
01-22,,,16.5,9.0,12.380000114440918
01-23,,16.37700080871582,16.280000686645508,9.119999885559082,12.5
01-24,,16.399999618530273,16.40999984741211,9.336999893188477,12.300000190734865
01-25,,16.40999984741211,16.399999618530273,9.41800022125244,
01-26,,16.892999649047848,16.549999237060547,,
01-27,,16.649999618530273,,,12.350000381469727
01-28,,,,10.81999969482422,12.380000114440918
01-29,,,16.5,11.050000190734863,12.350000381469727
01-30,,16.850000381469727,16.5,10.8100004196167,12.279999732971193
01-31,,16.639999389648438,16.700000762939453,10.72700023651123,12.279999732971193
02-01,,17.5,17.0,10.890000343322754,
02-02,,17.959999084472656,17.0,,
02-03,,18.25,,,12.0
02-04,,,,11.0,11.8100004196167
02-05,,,16.620000839233402,10.850000381469727,12.149999618530273
02-06,,17.549999237060547,16.399999618530273,10.800000190734863,12.359999656677244
02-07,,17.899999618530273,16.5,10.729999542236328,12.470000267028807
02-08,,17.469999313354492,16.524999618530273,10.600000381469727,
02-09,,17.799999237060547,16.530000686645508,,
02-10,,17.700000762939453,,,12.260000228881836
02-11,,,,10.699999809265137,12.649999618530273
02-12,,,16.5,10.850000381469727,13.359999656677244
02-13,,17.8700008392334,16.510000228881836,10.850000381469727,13.699999809265135
02-14,,17.5,16.489999771118164,10.989999771118164,13.699999809265135
02-15,,17.6299991607666,16.030000686645508,10.949999809265137,
02-16,,17.139999389648438,16.149999618530273,,
02-17,,16.819999694824222,,,
02-18,,,,,13.829999923706055
02-19,,,,11.050000190734863,14.140000343322756
02-20,,,16.5,11.0,14.984999656677244
02-21,,17.200000762939453,16.5,11.0,15.979999542236328
02-22,,16.950000762939453,16.209999084472653,10.949999809265137,
02-23,,16.799999237060547,16.190000534057614,,
02-24,,14.329999923706055,,,16.049999237060547
02-25,,,,10.979999542236328,16.534000396728516
02-26,,,16.350000381469727,11.050000190734863,16.540000915527347
02-27,,16.889999389648438,16.170000076293945,10.8100004196167,16.020000457763672
02-28,,17.030000686645508,16.350000381469727,11.0,16.0
03-01,,17.049999237060547,16.260000228881836,11.0,
03-02,,17.0,16.120000839233402,,16.25
03-03,,16.950000762939453,,,16.0
03-04,,,,11.0,16.620000839233402
03-05,,,16.469999313354492,11.0,16.569999694824222
03-06,,17.100000381469727,16.239999771118164,11.039999961853027,16.739999771118164
03-07,,17.010000228881836,16.139999389648438,10.93000030517578,
