,2017,2018,2019,2020
01-02,,24.82999992370605,28.709999084472656,43.59000015258789
01-03,,24.559999465942386,28.770000457763672,42.040000915527344
01-04,,24.959999084472656,28.989999771118164,
01-05,,24.90999984741211,,
01-06,,,,40.45000076293945
01-07,,,28.040000915527344,41.70000076293945
01-08,,24.8700008392334,27.790000915527344,42.040000915527344
01-09,,24.65999984741211,28.20000076293945,41.84000015258789
01-10,,24.78000068664551,28.76000022888184,41.91999816894531
01-11,,25.11000061035156,29.959999084472656,
01-12,,24.739999771118164,,
01-13,,,,42.0
01-14,,,30.229999542236328,42.65999984741211
01-15,,,29.68000030517578,42.36000061035156
01-16,,25.46999931335449,29.21999931335449,42.33000183105469
01-17,,26.25,29.479999542236328,44.02000045776367
01-18,,26.70000076293945,29.1299991607666,
01-19,,26.88999938964844,,
01-21,,,,42.81999969482422
01-22,,27.29999923706055,27.75,42.72000122070313
01-23,,26.86000061035156,28.540000915527344,43.83000183105469
01-24,,27.84000015258789,28.5,42.599998474121094
01-25,,27.75,28.70000076293945,
01-26,,28.59000015258789,,
01-27,,,,40.75
01-28,,,28.15999984741211,44.29999923706055
01-29,,28.85000038146973,27.84000015258789,42.310001373291016
01-30,,28.85000038146973,28.989999771118164,42.02999877929688
01-31,,29.190000534057614,30.25,41.5
02-01,,29.5,30.31999969482422,
02-02,,28.920000076293945,,
02-03,,,,42.7400016784668
02-04,,,30.96999931335449,42.810001373291016
02-05,,27.920000076293945,31.57999992370605,43.43000030517578
02-06,,28.65999984741211,30.040000915527344,41.31999969482422
02-07,,28.290000915527344,29.440000534057614,39.310001373291016
02-08,,27.25,29.65999984741211,
02-09,,26.95000076293945,,
02-10,,,,39.16999816894531
02-11,,,29.57999992370605,40.290000915527344
02-12,,27.420000076293945,30.81999969482422,40.900001525878906
02-13,,27.38999938964844,30.459999084472656,40.459999084472656
02-14,,27.60000038146973,30.84000015258789,41.52000045776367
02-15,,27.899999618530273,30.95000076293945,
02-16,,27.3700008392334,,
02-18,,,,39.56999969482422
02-19,,,30.95000076293945,39.81999969482422
02-20,,27.989999771118164,30.45000076293945,38.5
02-21,,28.399999618530273,29.690000534057614,37.83000183105469
02-22,,29.649999618530273,30.10000038146973,
02-23,,30.29999923706055,,
02-24,,,,36.06999969482422
02-25,,,30.38999938964844,35.0
02-26,,31.309999465942386,30.75,32.549999237060554
02-27,,30.770000457763672,30.420000076293945,30.309999465942386
02-28,,30.78000068664551,29.770000457763672,29.5
03-01,,30.40999984741211,28.95000076293945,
03-02,,30.149999618530273,,30.04999923706055
03-03,,,,29.149999618530273
03-04,,,29.01000022888184,29.26000022888184
03-05,,30.6299991607666,29.45000076293945,24.88999938964844
03-06,,31.29999923706055,28.690000534057614,24.65999984741211
03-07,,30.65999984741211,28.11000061035156,
03-08,,32.080001831054695,28.649999618530273,
03-09,,33.509998321533196,,20.059999465942386
03-10,,,,23.149999618530273
03-11,,,30.770000457763672,19.170000076293945
03-12,,34.0,31.3700008392334,12.420000076293945
03-13,,34.139999389648445,31.70000076293945,15.520000457763672
03-14,,34.060001373291016,31.899999618530273,
03-15,,33.34999847412109,32.220001220703125,
03-16,,33.470001220703125,,9.770000457763672
03-17,,,,9.460000038146973
03-18,,,33.169998168945305,6.010000228881836
03-19,,32.900001525878906,33.220001220703125,7.070000171661378
03-20,,33.31999969482422,32.709999084472656,7.739999771118164
03-21,,34.150001525878906,32.290000915527344,
03-22,,33.72999954223633,30.239999771118164,
03-23,,33.639999389648445,,7.9099998474121085
03-24,,,,9.779999732971193
03-25,,,30.5,11.489999771118164
03-26,,34.310001373291016,30.63999938964844,12.329999923706055
03-27,,34.09999847412109,28.51000022888184,11.4399995803833
03-28,,33.779998779296875,28.309999465942386,
03-29,,34.75,29.209999084472656,
03-30,,,,11.0600004196167
03-31,,,,10.1899995803833
04-01,,,30.01000022888184,8.420000076293945
04-02,,33.810001373291016,29.979999542236328,8.409999847412111
04-03,,33.77000045776367,30.290000915527344,7.920000076293945
04-04,,33.09000015258789,30.06999969482422,
04-05,,33.279998779296875,29.03000068664551,
04-06,,34.040000915527344,,8.869999885559082
04-07,,,,8.90999984741211
04-08,,,28.15999984741211,9.710000038146973
04-09,,33.84999847412109,27.78000068664551,9.770000457763672
04-10,,33.049999237060554,28.10000038146973,
04-11,21.5,32.27000045776367,27.10000038146973,
04-12,21.940000534057614,32.560001373291016,25.989999771118164,
04-13,21.8799991607666,32.259998321533196,,9.369999885559082
04-14,,,,9.479999542236328
04-15,,,25.45000076293945,9.449999809265137
04-16,,31.57999992370605,25.399999618530273,9.300000190734863
04-17,22.059999465942386,32.330001831054695,24.18000030517578,9.34000015258789
04-18,23.10000038146973,32.759998321533196,25.8799991607666,
04-19,22.93000030517578,32.439998626708984,,
04-20,22.71999931335449,32.279998779296875,,9.40999984741211
04-21,23.0,,,8.510000228881836
04-22,,,25.770000457763672,8.949999809265137
04-23,,31.959999084472656,26.059999465942386,8.829999923706055
04-24,23.21999931335449,31.09000015258789,25.239999771118164,7.300000190734862
04-25,23.020000457763672,29.290000915527344,25.1299991607666,
04-26,22.520000457763672,29.70000076293945,25.45000076293945,
04-27,22.38999938964844,30.899999618530273,,7.420000076293945
04-28,22.709999084472656,,,8.739999771118164
04-29,,,25.53000068664551,9.739999771118164
04-30,,31.0,25.959999084472656,9.5600004196167
05-01,23.36000061035156,30.790000915527344,25.649999618530273,8.640000343322754
05-02,24.170000076293945,30.15999984741211,26.149999618530273,
05-03,24.61000061035156,28.65999984741211,27.13999938964844,
05-04,24.68000030517578,28.649999618530273,,8.260000228881836
05-05,25.09000015258789,,,8.119999885559082
05-06,,,26.60000038146973,7.789999961853027
05-07,,27.60000038146973,26.45000076293945,7.119999885559082
05-08,24.290000915527344,27.540000915527344,28.25,7.300000190734862
05-09,24.25,25.709999084472656,28.54999923706055,
05-10,24.489999771118164,26.86000061035156,28.93000030517578,
05-11,24.09000015258789,25.36000061035156,,6.820000171661378
05-12,24.20000076293945,,,6.429999828338622
05-13,,,27.53000068664551,6.199999809265138
05-14,,24.25,26.38999938964844,5.960000038146973
05-15,24.86000061035156,22.81999969482422,25.86000061035156,5.639999866485597
05-16,25.43000030517578,22.350000381469727,24.85000038146973,
05-17,25.20000076293945,20.88999938964844,23.940000534057614,
05-18,20.549999237060547,21.25,,7.480000019073486
05-19,21.38999938964844,,,7.0
05-20,,,24.35000038146973,8.039999961853027
05-21,,22.290000915527344,25.85000038146973,8.140000343322754
05-22,20.31999969482422,23.5,26.399999618530273,7.960000038146973
05-23,20.299999237060547,22.88999938964844,25.96999931335449,
05-24,21.979999542236328,22.40999984741211,26.3799991607666,
05-25,23.04999923706055,23.07999992370605,,
05-26,23.31999969482422,,,8.180000305175781
05-27,,,,8.380000114440918
05-28,,,28.229999542236328,8.159999847412111
