,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,129.0,145.0,195.0,,,203.0,223.0,196.00999450683597
01-03,,129.0,145.0,,,180.0,203.0,223.0,196.00999450683597
01-04,,129.0,,,166.0,180.0,203.0,223.0,
01-05,,,,195.0,166.0,180.0,203.0,,
01-06,,,145.0,195.0,166.0,180.0,,,198.0
01-07,,129.0,145.0,195.0,166.0,,,223.0,198.0
01-08,,133.0,145.0,195.0,166.0,,203.0,221.0,200.0
01-09,,133.0,145.0,195.0,,176.0,212.0,240.0,200.0
01-10,,133.0,145.0,,,175.0,212.0,240.0,211.0
01-11,,133.0,,,166.0,175.0,212.0,240.0,
01-12,,,,195.0,166.0,160.0,213.0,,
01-13,,,145.0,195.0,166.0,160.0,,,214.0
01-14,,130.0,145.0,195.0,166.0,,,240.25,214.0
01-15,,130.0,145.0,195.0,166.0,,,240.25,215.0
01-16,,137.0,145.0,195.0,,,213.0,240.25,215.6000061035156
01-17,,137.0,145.0,,,170.0,213.0,240.25,214.0
01-18,,137.0,,,,170.0,220.0,240.25,
01-19,,,,,166.0,170.0,220.0,,
01-20,,,,195.0,166.0,161.0,,,
01-21,,,145.0,192.0,166.0,,,,214.0
01-22,,130.0,145.0,192.0,166.0,,220.0,240.25,214.0
01-23,,130.0,145.0,192.0,,161.0,220.0,230.0,200.0200042724609
01-24,,130.0,145.0,,,161.0,220.0,230.0,200.0200042724609
01-25,,130.0,,,166.0,161.0,220.0,230.0,
01-26,,,,192.0,166.0,161.0,220.0,,
01-27,,,145.0,185.0,166.0,161.0,,,200.0200042724609
01-28,,130.0,145.0,176.0,166.0,,,230.0,203.5399932861328
01-29,,130.0,145.0,176.0,166.0,,220.0,230.0,203.5399932861328
01-30,,130.0,145.0,176.0,,161.0,220.0,230.0,220.0
01-31,,130.0,145.0,,,161.0,220.0,230.0,220.0
02-01,,130.0,,,166.0,161.0,220.0,230.0,
02-02,,,,176.0,166.0,161.0,220.0,,
02-03,,,175.0,192.0,166.0,165.0,,,218.22999572753903
02-04,,130.0,175.0,145.0,166.0,,,230.0,217.0
02-05,,130.0,175.0,175.0,166.0,,220.0,230.0,217.0
02-06,,130.0,175.0,175.0,,165.0,217.0,230.0,217.0
02-07,,133.0,175.0,,,165.0,217.0,230.0,217.0
02-08,,133.0,,,166.0,165.0,217.0,230.0,
02-09,,,,175.0,166.0,165.0,217.0,,
02-10,,,175.0,175.0,145.0,165.0,,,220.0
02-11,,133.0,175.0,176.0,145.0,,,230.0,220.0
02-12,,133.0,175.0,175.0,145.0,,217.0,230.0,218.0
02-13,,133.0,175.0,175.0,,178.0,217.0,230.0,218.0
02-14,,133.0,175.0,,,178.0,217.0,230.0,218.0
02-15,,139.0,,,,178.0,217.0,230.0,
02-16,,,,,145.0,178.0,217.0,,
02-17,,,,175.0,145.0,178.0,,,
02-18,,,175.0,175.0,145.0,,,,218.0
02-19,,139.0,175.0,175.0,153.0,,,224.0,218.0
02-20,,139.0,175.0,175.0,,,217.0,224.0,218.0
02-21,,139.0,175.0,,,178.0,217.0,224.0,216.3000030517578
02-22,,139.0,,,153.0,185.0,217.0,224.0,
02-23,,,,165.0,164.0,185.0,217.0,,
02-24,,,175.0,165.0,170.0,185.0,,,216.3000030517578
02-25,,139.0,136.05000305175778,165.0,170.0,,,200.0,216.3000030517578
02-26,,139.0,136.05000305175778,165.0,170.0,,217.0,204.0,216.3000030517578
02-27,,139.0,136.05000305175778,165.0,,185.0,221.0,205.0,216.0
02-28,,139.0,136.05000305175778,,,185.0,221.0,205.0,220.0
02-29,,,,,170.0,,,,
03-01,,139.0,,,170.0,185.0,221.0,205.0,
03-02,,,,165.0,170.0,185.0,221.0,,216.0
03-03,,,136.05000305175778,165.0,170.0,185.0,,,216.0
03-04,,139.0,136.05000305175778,165.0,170.0,,,205.0,216.0
03-05,,139.0,136.05000305175778,165.0,,,221.0,205.0,219.9900054931641
03-06,,139.0,136.05000305175778,165.0,,185.0,221.0,220.0,219.9900054931641
03-07,,139.0,136.05000305175778,,170.0,185.0,221.0,202.0,
03-08,,139.0,,,170.0,180.0,221.0,202.0,
03-09,,,,165.0,170.0,182.0,221.0,,220.0
03-10,,,136.05000305175778,165.0,187.0,182.0,,,208.0
03-11,,139.0,136.05000305175778,170.0,187.0,,,206.0,206.0
03-12,,139.0,140.0,170.0,,,221.0,206.0,200.0
03-13,,139.0,140.0,170.0,,182.0,221.0,206.0,190.0
03-14,,139.0,140.0,,189.0,182.0,221.0,206.0,
03-15,,139.0,,,189.0,182.0,221.0,206.0,
03-16,,,,170.0,190.0,182.0,221.0,,184.0
03-17,,,140.0,170.0,190.0,182.0,,,183.0
03-18,,139.0,165.0,170.0,190.0,,,206.0,180.0
03-19,,128.0,165.0,170.0,,,221.0,206.0,180.0
03-20,,128.0,165.0,170.0,,182.0,230.0,206.0,182.9900054931641
03-21,,131.0,150.0,,193.0,182.0,230.0,206.0,
03-22,,131.0,,,193.0,182.0,230.0,206.0,
03-23,,,,170.0,193.0,182.0,230.0,,180.0
03-24,,,150.0,170.0,193.0,182.0,,,180.0
03-25,,131.0,150.0,170.0,,,,206.0,200.0
03-26,,131.0,150.0,171.0,,,219.0,206.0,200.0
03-27,,131.0,160.0,171.0,,182.0,219.0,206.0,200.0
03-28,,135.0,160.0,,193.0,182.0,219.0,206.0,
03-29,,,,,199.0,182.0,219.0,206.0,
03-30,,,,171.0,195.0,182.0,,,200.0
03-31,,,145.0,170.0,195.0,182.0,,,200.0
04-01,,135.0,145.0,170.0,189.0,,,206.0,200.0
04-02,,135.0,145.0,170.0,,,219.0,206.0,200.0
04-03,,135.0,145.0,,,182.0,219.0,215.0,200.0
