,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,7.888888835906982,7.111111164093018,9.037036895751953,,,,15.44444465637207,16.94444465637207,30.45833396911621,,,29.33333396911621,30.86000061035156,31.83333396911621,39.7400016784668,,,,71.27999877929688,45.15999984741211,,,,87.66000366210938,127.23999786376952,129.16000366210938,,,199.8800048828125,150.38999938964844,209.7700042724609
01-03,7.962963104248048,7.0,9.11111068725586,,11.074073791503906,13.370369911193848,15.166666984558105,17.16666603088379,,,32.54166793823242,30.0,31.36666679382324,31.85333251953125,,49.78666687011719,44.43333435058594,51.2066650390625,71.83999633789062,,,87.52999877929688,78.83000183105469,88.33999633789062,127.25,,,142.5500030517578,201.50999450683597,144.83999633789062,206.82000732421875
01-04,8.185185432434082,7.0,,9.074073791503906,11.074073791503906,13.222222328186035,15.05555534362793,,,22.20833396911621,31.25,30.58333396911621,31.733333587646484,,,48.7400016784668,45.70000076293945,50.7933349609375,70.22000122070311,,54.52000045776367,87.47000122070312,78.5,88.81999969482422,,,96.66000366210938,142.63999938964844,202.42999267578125,151.3300018310547,
01-05,8.074073791503906,,,9.148148536682127,11.185185432434082,13.481481552124025,15.333333015441895,,30.25,21.91666603088379,31.25,29.91666603088379,,,40.47999954223633,47.87333297729492,45.30666732788086,50.91999816894531,,45.34000015258789,54.2599983215332,87.5999984741211,78.94000244140625,,,123.62000274658205,95.05999755859376,141.3699951171875,203.80999755859372,,
01-06,,,9.29629611968994,9.29629611968994,11.259259223937988,13.777777671813965,,16.94444465637207,30.375,23.16666603088379,31.83333396911621,,,32.53333282470703,40.06666564941406,48.08666610717773,47.7933349609375,,,45.86000061035156,54.02999877929688,85.91000366210938,77.63999938964844,,125.8499984741211,121.80999755859376,93.8000030517578,141.49000549316406,,,206.91000366210938
01-07,,7.111111164093018,9.0,9.55555534362793,11.29629611968994,,,16.83333396911621,30.875,22.625,34.75,,31.76000022888184,31.406665802001953,40.48666763305664,47.606666564941406,,,67.87999725341797,43.02999877929688,54.66999816894531,86.05000305175781,,88.25,127.62999725341795,122.76000213623048,92.20999908447266,,,151.8800048828125,206.4900054931641
01-08,8.074073791503906,6.888888835906982,9.259259223937988,9.629630088806152,,,15.55555534362793,16.777778625488278,31.75,22.91666603088379,,29.58333396911621,31.10000038146973,30.226667404174805,40.61333465576172,,,51.2066650390625,66.01000213623047,43.20000076293945,56.22000122070313,,,88.31999969482422,127.68000030517578,126.63999938964844,90.5500030517578,,205.5500030517578,155.0500030517578,206.6300048828125
01-09,8.074073791503906,6.777777671813965,9.148148536682127,,,14.0,16.11111068725586,17.55555534362793,29.58333396911621,,,29.33333396911621,31.29333305358887,30.33333396911621,39.71333312988281,,48.17333221435547,51.46666717529297,66.61000061035156,42.27000045776367,,,78.81999969482422,90.16999816894531,126.93000030517578,125.8499984741211,,140.77999877929688,207.32000732421875,156.25,207.1300048828125
01-10,8.111110687255861,6.814815044403076,9.11111068725586,,11.370369911193848,14.074073791503904,16.11111068725586,17.55555534362793,,,34.33333206176758,29.41666603088379,31.16666603088379,30.373332977294922,,47.88000106811523,49.38000106811523,51.5,65.68000030517578,,,87.25,81.22000122070312,89.5999984741211,127.1999969482422,,,141.8300018310547,206.6100006103516,157.9600067138672,205.30999755859372
01-11,8.222222328186035,6.962963104248048,,9.29629611968994,11.55555534362793,13.925926208496096,16.0,,,22.0,33.45833206176758,29.5,30.6733341217041,,,47.599998474121094,48.97333145141602,51.86000061035156,64.47000122070311,,57.81999969482422,87.79000091552734,81.72000122070312,89.04000091552734,,,90.37000274658205,145.2100067138672,208.3500061035156,157.97999572753906,
01-12,8.074073791503906,,,9.222222328186037,11.629630088806152,13.88888931274414,15.94444465637207,,30.625,21.54166603088379,33.91666793823242,29.0,,,39.393333435058594,47.86000061035156,48.12666702270508,52.06666564941406,,40.849998474121094,57.93999862670898,88.66000366210938,83.08000183105469,,,125.79000091552734,90.51000213623048,143.75,210.0399932861328,,
01-13,,,8.88888931274414,9.185185432434082,11.44444465637207,13.88888931274414,,17.83333396911621,31.375,21.41666603088379,33.5,,,30.56666755676269,39.0533332824707,48.106666564941406,47.9466667175293,,,40.61999893188477,58.25,89.2300033569336,82.44000244140625,,125.62000274658205,124.16999816894531,89.72000122070312,146.25,,,208.0800018310547
01-14,,6.925925731658936,8.925926208496094,9.222222328186037,11.29629611968994,,,17.83333396911621,31.33333396911621,20.625,33.08333206176758,,30.10000038146973,30.01333427429199,39.91999816894531,48.95333480834961,,,67.30000305175781,38.97000122070313,58.790000915527344,89.6500015258789,,89.31999969482422,127.76000213623048,122.37000274658205,90.6500015258789,,,156.1699981689453,206.75999450683597
01-15,8.074073791503906,7.111111164093018,9.185185432434082,9.222222328186037,,,15.777777671813965,17.33333396911621,32.29166793823242,20.95833396911621,,,30.34000015258789,29.64666748046875,40.01333236694336,,,,66.09999847412111,39.77000045776367,58.56000137329102,,,89.63999938964844,128.96000671386722,119.93000030517578,87.98999786376953,,,154.39999389648438,205.33999633789062
01-16,8.037036895751951,7.0740742683410645,9.481481552124023,,,13.851851463317873,15.44444465637207,18.0,31.91666603088379,,,29.25,29.10000038146973,29.31999969482422,40.459999084472656,,,52.246665954589844,65.87000274658203,39.77000045776367,,,,89.83999633789062,129.16999816894528,120.0,,,209.91000366210938,155.82000732421875,207.75
01-17,7.962963104248048,7.148148059844972,9.259259223937988,,11.11111068725586,14.333333015441895,14.666666984558105,18.66666603088379,,,,29.375,30.16666603088379,28.70000076293945,,,48.80666732788086,54.22000122070313,61.11000061035156,,,,83.47000122070312,91.36000061035156,127.43000030517578,,,143.6199951171875,210.8000030517578,159.52000427246094,207.0
01-18,8.037036895751951,7.111111164093018,,9.333333015441896,10.925926208496094,14.518518447875975,14.88888931274414,,,,31.125,28.95833396911621,30.15333366394043,,,44.060001373291016,48.22000122070313,53.97333145141602,61.7599983215332,,,91.91000366210938,85.05999755859375,93.6999969482422,,,,144.39999389648438,210.5399932861328,162.49000549316406,
01-19,8.0,,,9.370369911193848,10.962963104248047,14.259259223937988,14.88888931274414,,,21.16666603088379,31.91666603088379,28.625,,,,44.253334045410156,49.31999969482422,54.56666564941406,,,61.41999816894531,91.08000183105469,84.97000122070312,,,,87.87000274658203,143.75,210.94000244140625,,
01-20,,,9.29629611968994,9.259259223937988,11.074073791503906,14.333333015441895,,18.88888931274414,28.125,21.125,31.70833396911621,,,,38.51333236694336,43.253334045410156,48.33333206176758,,,40.290000915527344,60.61000061035156,85.51000213623047,81.5199966430664,,,121.12000274658205,86.51000213623047,142.52000427246094,,,
01-21,,7.111111164093018,9.074073791503906,9.370369911193848,11.074073791503906,,,19.0,29.16666603088379,20.33333396911621,31.16666603088379,,,27.946666717529297,39.06666564941406,42.79999923706055,,,,39.47000122070313,59.52000045776367,86.0,,,126.81999969482422,122.11000061035156,87.94999694824219,,,,202.0500030517578
01-22,7.962963104248048,7.222222328186035,9.11111068725586,9.55555534362793,,,15.333333015441895,18.83333396911621,28.91666603088379,19.75,,28.20833396911621,30.34000015258789,27.21999931335449,38.85333251953125,,,54.00666809082031,62.33000183105469,38.560001373291016,57.61999893188477,,,93.27999877929688,122.41999816894531,122.98999786376952,89.81999969482422,,210.22999572753903,158.35000610351562,198.7400054931641
01-23,7.888888835906982,7.222222328186035,9.074073791503906,,,14.29629611968994,15.38888931274414,18.72222137451172,29.375,,,28.70833396911621,30.10000038146973,27.76666641235352,38.43999862670898,,48.7933349609375,55.27999877929688,62.45000076293945,39.08000183105469,,,81.69999694824219,93.0500030517578,118.75,121.97000122070312,,142.5,209.3300018310547,156.80999755859375,201.80999755859372
01-24,7.851851940155028,7.4814815521240225,9.148148536682127,,11.074073791503906,14.222222328186035,15.44444465637207,18.77777862548828,,,29.54166603088379,29.04166603088379,31.11333274841309,27.07333374023437,,42.12666702270508,49.79999923706055,55.040000915527344,62.41999816894531,,,87.06999969482422,81.2699966430664,93.97000122070312,114.62999725341795,,,145.47999572753906,208.8300018310547,158.07000732421875,198.27999877929688
01-25,7.740740776062013,7.740740776062013,,9.481481552124023,11.185185432434082,14.333333015441895,15.0,,,20.58333396911621,28.75,29.75,31.78666687011719,,,41.98666763305664,49.313331604003906,54.38666534423828,64.02999877929689,,57.36999893188477,86.48999786376953,82.37000274658203,94.37000274658205,,,88.12000274658203,149.52000427246094,207.50999450683597,160.99000549316406,
01-26,7.888888835906982,,,9.518518447875977,11.185185432434082,14.333333015441895,14.38888931274414,,29.0,20.0,29.375,28.625,,,39.17333221435547,42.13333511352539,49.71333312988281,54.41333389282226,,38.849998474121094,56.599998474121094,88.19000244140625,81.5,,,122.76000213623048,91.7699966430664,149.10000610351562,209.66000366210938,,
01-27,,,9.407407760620117,9.481481552124023,11.148148536682127,14.11111068725586,,18.66666603088379,29.08333396911621,20.33333396911621,29.25,,,26.70000076293945,37.79999923706055,42.753334045410156,50.67333221435547,,,39.86000061035156,57.4000015258789,88.6500015258789,81.5,,114.37999725341795,121.3499984741211,91.69000244140624,149.27000427246094,,,194.0200042724609
01-28,,7.666666507720947,9.592592239379883,9.592592239379883,11.11111068725586,,,18.61111068725586,29.0,20.5,28.125,,32.27333450317383,27.040000915527344,37.29999923706055,42.58666610717773,,,64.0,41.790000915527344,56.31999969482422,87.19000244140625,,93.81999969482422,115.2300033569336,117.06999969482422,94.08000183105469,,,157.66000366210938,196.8000030517578
