,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,9.56671142578125,8.908673286437988,12.463170051574707,,,15.312148094177246,13.411683082580566,14.771842956542969
01-03,,7.768767833709717,9.997244834899902,9.56671142578125,8.691390991210938,,,12.53685188293457,15.312148094177246,13.411683082580566,14.771842956542969
01-04,,7.768767833709717,9.997244834899902,9.56671142578125,,,12.715047836303711,12.53685188293457,15.312148094177246,14.630928039550781,
01-05,,7.768767833709717,9.997244834899902,,,12.463170051574707,12.715047836303711,12.53685188293457,15.312148094177246,,
01-06,,7.768767833709717,9.997244834899902,,8.691390991210938,12.463170051574707,12.715047836303711,12.53685188293457,,,14.771842956542969
01-07,,7.768767833709717,,9.56671142578125,8.691390991210938,12.463170051574707,12.715047836303711,,,14.630928039550781,14.771842956542969
01-08,,,,9.56671142578125,8.691390991210938,12.463170051574707,12.715047836303711,,15.312148094177246,14.630928039550781,14.771842956542969
01-09,,,9.997244834899902,9.56671142578125,8.691390991210938,12.463170051574707,,12.53685188293457,15.312148094177246,14.630928039550781,14.771842956542969
01-10,,7.768767833709717,9.997244834899902,9.56671142578125,8.908673286437988,,,12.53685188293457,15.312148094177246,14.630928039550781,14.771842956542969
01-11,,7.768767833709717,9.997244834899902,9.56671142578125,,,12.851770401000977,12.630411148071289,15.312148094177246,14.630928039550781,
01-12,,7.768767833709717,9.997244834899902,,,12.463170051574707,12.715047836303711,12.630411148071289,15.312148094177246,,
01-13,,7.768767833709717,9.997244834899902,,8.908673286437988,12.463170051574707,12.532754898071289,12.630411148071289,,,14.771842956542969
01-14,,7.768767833709717,,9.56671142578125,9.169416427612305,12.463170051574707,12.532754898071289,,,14.630928039550781,14.921052932739258
01-15,,,,9.56671142578125,9.560527801513672,11.795499801635742,12.532754898071289,,,15.606322288513184,14.921052932739258
01-16,,,,9.141525268554688,9.560527801513672,11.795499801635742,,,15.312148094177246,15.606322288513184,14.841473579406738
01-17,,,9.997244834899902,9.141525268554688,9.560527801513672,,,12.630411148071289,15.312148094177246,15.606322288513184,14.841473579406738
01-18,,7.768767833709717,9.997244834899902,9.141525268554688,,,,12.621054649353027,15.312148094177246,15.606322288513184,
01-19,,7.768767833709717,9.997244834899902,,,,12.532754898071289,12.630411148071289,16.049049377441406,,
01-20,,7.768767833709717,9.997244834899902,,,11.795499801635742,11.84914779663086,12.630411148071289,,,
01-21,,7.768767833709717,,,9.560527801513672,11.572942733764648,11.84914779663086,,,,14.771842956542969
01-22,,,,9.141525268554688,9.560527801513672,11.572942733764648,11.84914779663086,,16.049049377441406,15.606322288513184,15.816315650939941
01-23,,,9.997244834899902,9.19283390045166,9.169416427612305,11.572942733764648,,12.630411148071289,16.74765968322754,15.606322288513184,15.816315650939941
01-24,,7.768767833709717,9.997244834899902,9.19283390045166,9.169416427612305,,,12.630411148071289,17.22616958618164,15.606322288513184,14.78178882598877
01-25,,7.768767833709717,10.047483444213867,9.19283390045166,,,11.84914779663086,12.705704689025879,17.22616958618164,15.606322288513184,
01-26,,7.768767833709717,10.047483444213867,,,11.572942733764648,11.84914779663086,13.035111427307129,17.22616958618164,,
01-27,,7.768767833709717,10.047483444213867,,9.169416427612305,11.572942733764648,11.922517776489258,13.129225730895996,,,15.169736862182617
01-28,,7.768767833709717,,9.19283390045166,9.169416427612305,11.572942733764648,11.922517776489258,,,15.606322288513184,14.921052932739258
01-29,,,,9.19283390045166,9.169416427612305,11.572942733764648,11.922517776489258,,17.22616958618164,15.313704490661621,14.921052932739258
01-30,,,10.047483444213867,9.19283390045166,9.169416427612305,11.572942733764648,,12.893937110900879,16.74765968322754,15.313704490661621,14.921052932739258
01-31,,7.768767833709717,10.047483444213867,9.19283390045166,9.169416427612305,,,12.893937110900879,17.785980224609375,15.313704490661621,15.318946838378906
02-01,,7.768767833709717,10.047483444213867,9.19283390045166,,,11.922517776489258,12.893937110900879,17.785980224609375,15.313704490661621,
02-02,,7.768767833709717,10.047483444213867,,,11.572942733764648,11.922517776489258,12.893937110900879,17.785980224609375,,
02-03,,7.768767833709717,10.047483444213867,,9.169416427612305,11.572942733764648,11.922517776489258,12.893937110900879,,,15.119999885559082
02-04,,7.768767833709717,,9.19283390045166,9.169416427612305,11.350384712219238,11.922517776489258,,,14.660189628601074,15.119999885559082
02-05,,,,9.19283390045166,9.169416427612305,11.127830505371094,11.922517776489258,,17.785980224609375,14.738638877868652,15.199999809265137
02-06,,,10.047483444213867,9.19283390045166,9.169416427612305,10.949783325195312,,12.893937110900879,17.785980224609375,14.738638877868652,15.199999809265137
02-07,,7.768767833709717,10.047483444213867,9.19283390045166,9.169416427612305,,,12.517470359802246,17.785980224609375,14.738638877868652,15.199999809265137
02-08,,7.768767833709717,10.047483444213867,9.19283390045166,,,11.922517776489258,12.517470359802246,17.785980224609375,14.738638877868652,
02-09,,7.768767833709717,10.047483444213867,,,10.949783325195312,12.381075859069824,12.517470359802246,16.824573516845703,,
02-10,,7.768767833709717,10.047483444213867,,8.734847068786621,11.572942733764648,12.381075859069824,12.517470359802246,,,15.199999809265137
02-11,,7.768767833709717,,9.19283390045166,8.734847068786621,11.572942733764648,11.693239212036133,,,15.1995267868042,15.199999809265137
02-12,,,,9.19283390045166,8.734847068786621,11.350384712219238,11.601527214050293,,16.824573516845703,15.1995267868042,15.199999809265137
02-13,,,10.047483444213867,9.19283390045166,8.734847068786621,11.350384712219238,,12.517470359802246,16.824573516845703,15.1995267868042,15.199999809265137
02-14,,7.768767833709717,10.047483444213867,9.19283390045166,8.734847068786621,,,12.940994262695312,16.824573516845703,16.180143356323242,15.199999809265137
02-15,,7.768767833709717,10.047483444213867,9.19283390045166,,,,12.988052368164062,16.824573516845703,16.180143356323242,
02-16,,7.768767833709717,10.047483444213867,,,,11.601527214050293,12.988052368164062,16.824573516845703,,
