,2014,2015,2016,2017,2018,2019,2020
01-02,,26.239999771118164,,,32.040000915527344,23.6200008392334,30.649999618530273
01-03,,,,27.649999618530273,32.290000915527344,22.93000030517578,30.40999984741211
01-04,,,25.84000015258789,27.93000030517578,32.220001220703125,23.809999465942383,
01-05,,26.68000030517578,26.010000228881836,27.809999465942383,32.77000045776367,,
01-06,,27.709999084472656,25.639999389648438,27.600000381469727,,,30.18000030517578
01-07,,26.860000610351562,25.0,,,23.920000076293945,30.549999237060547
01-08,,27.440000534057617,24.93000030517578,,32.849998474121094,24.579999923706055,30.549999237060547
01-09,,26.920000076293945,,27.610000610351562,32.90999984741211,24.979999542236328,30.530000686645508
01-10,,,,27.280000686645508,32.54999923706055,25.020000457763672,30.790000915527344
01-11,,,25.1299991607666,27.90999984741211,32.720001220703125,24.959999084472656,
01-12,,26.989999771118164,25.700000762939453,28.040000915527344,32.439998626708984,,
01-13,,27.65999984741211,25.059999465942383,28.18000030517578,,,31.219999313354492
01-14,,27.100000381469727,24.81999969482422,,,24.790000915527344,30.649999618530273
01-15,,26.43000030517578,23.75,,,24.209999084472656,30.219999313354492
01-16,,26.889999389648438,,,31.459999084472656,24.8700008392334,30.09000015258789
01-17,,,,28.059999465942383,31.079999923706055,25.209999084472656,30.31999969482422
01-18,,,,28.469999313354492,31.149999618530273,25.56999969482422,
01-19,,,22.690000534057617,28.600000381469727,31.65999984741211,,
01-20,,26.649999618530273,23.1299991607666,28.75,,,
01-21,,26.940000534057617,23.15999984741211,,,,29.610000610351562
01-22,,27.1299991607666,23.56999969482422,,31.010000228881836,25.239999771118164,29.360000610351562
01-23,,26.920000076293945,,28.75,30.959999084472656,24.979999542236328,29.260000228881836
01-24,,,,29.1299991607666,31.059999465942383,25.3799991607666,28.850000381469727
01-25,,,23.510000228881836,29.31999969482422,31.989999771118164,25.549999237060547,
01-26,,26.350000381469727,24.030000686645508,29.219999313354492,31.399999618530273,,
01-27,,25.81999969482422,23.420000076293945,29.229999542236328,,,28.260000228881836
01-28,,25.489999771118164,23.1299991607666,,,25.600000381469727,28.209999084472656
01-29,,26.0,23.809999465942383,,31.59000015258789,25.540000915527344,28.110000610351562
01-30,,25.670000076293945,,29.149999618530273,31.229999542236328,25.65999984741211,28.559999465942383
01-31,,,,29.0,31.5,25.6200008392334,28.809999465942383
02-01,,,24.6200008392334,29.40999984741211,31.309999465942383,25.84000015258789,
02-02,,25.280000686645508,23.239999771118164,29.510000228881836,30.84000015258789,,
02-03,,25.15999984741211,23.440000534057617,29.65999984741211,,,29.670000076293945
02-04,,25.15999984741211,23.399999618530273,,,25.799999237060547,29.729999542236328
02-05,,25.059999465942383,22.940000534057617,,29.809999465942383,26.260000228881836,29.8700008392334
02-06,,25.200000762939453,,29.479999542236328,30.270000457763672,26.239999771118164,29.729999542236328
02-07,,,,29.350000381469727,30.25,25.899999618530273,29.299999237060547
02-08,,,21.049999237060547,29.440000534057617,30.0,26.040000915527344,
02-09,,24.979999542236328,21.760000228881836,29.43000030517578,30.56999969482422,,
02-10,,24.989999771118164,23.579999923706055,29.229999542236328,,,28.809999465942383
02-11,,25.459999084472656,23.450000762939453,,,26.420000076293945,29.280000686645508
02-12,,25.639999389648438,23.3799991607666,,30.600000381469727,27.040000915527344,29.520000457763672
02-13,,25.260000228881836,,29.649999618530273,31.0,26.799999237060547,29.75
02-14,,,,29.65999984741211,30.84000015258789,26.469999313354492,29.889999389648438
02-15,,,,29.979999542236328,30.469999313354492,26.68000030517578,
02-16,,,24.549999237060547,29.65999984741211,30.559999465942383,,
02-17,,25.489999771118164,25.030000686645508,29.649999618530273,,,
02-18,,25.950000762939453,24.850000381469727,,,,29.81999969482422
02-19,,26.780000686645508,24.760000228881836,,,26.760000228881836,29.729999542236328
02-20,,26.93000030517578,,,30.989999771118164,26.920000076293945,29.649999618530273
02-21,,,,29.829999923706055,31.290000915527344,26.989999771118164,29.020000457763672
02-22,,,25.209999084472656,29.59000015258789,30.899999618530273,27.049999237060547,
02-23,,28.200000762939453,24.81999969482422,29.469999313354492,31.809999465942383,,
02-24,,28.040000915527344,24.940000534057617,29.3799991607666,,,28.170000076293945
02-25,,28.190000534057617,25.260000228881836,,,27.010000228881836,26.760000228881836
02-26,,27.889999389648438,25.8700008392334,,31.920000076293945,26.8799991607666,26.56999969482422
02-27,,28.399999618530273,,29.239999771118164,31.350000381469727,27.1200008392334,25.530000686645508
02-28,,,,29.110000610351562,30.799999237060547,26.729999542236328,24.920000076293945
02-29,,,25.959999084472656,,,,
03-01,,,26.290000915527344,29.739999771118164,30.739999771118164,26.979999542236328,
03-02,,28.1299991607666,26.239999771118164,29.209999084472656,31.110000610351562,,25.229999542236328
03-03,,27.459999084472656,26.280000686645508,29.530000686645508,,,24.899999618530273
03-04,,27.280000686645508,26.18000030517578,,,26.93000030517578,25.459999084472656
03-05,,27.389999389648438,,,31.520000457763672,26.479999542236328,24.010000228881836
03-06,,27.299999237060547,,29.239999771118164,31.899999618530273,26.440000534057617,23.6299991607666
03-07,,,27.0,29.049999237060547,32.099998474121094,25.8700008392334,
03-08,,,25.989999771118164,29.889999389648438,32.5,25.93000030517578,
03-09,,27.790000915527344,26.670000076293945,30.790000915527344,32.81999969482422,,21.030000686645508
03-10,,27.549999237060547,26.670000076293945,31.219999313354492,,,22.079999923706055
