,2018,2019,2020
01-02,,10.595999717712402,9.470000267028809
01-03,,10.740500450134277,9.0600004196167
01-04,,10.710000038146973,
01-06,,,8.789999961853027
01-07,,10.90779972076416,8.649999618530273
01-08,,11.138299942016602,8.936180114746094
01-09,,11.263400077819824,9.25
01-10,,11.302499771118164,9.399999618530273
01-11,,11.100000381469727,
01-13,,,9.5
01-14,,11.195599555969238,9.19890022277832
01-15,,11.196200370788574,10.09000015258789
01-16,,11.954000473022461,10.361800193786621
01-17,,11.817299842834473,10.345999717712402
01-18,,11.817299842834473,
01-21,,,10.39210033416748
01-22,,11.6899995803833,10.399999618530273
01-23,,11.619199752807617,10.640299797058105
01-24,,11.670599937438965,10.446200370788574
01-25,,11.66100025177002,
01-27,,,10.0
01-28,,11.66100025177002,10.295999526977539
01-29,,11.643699645996094,10.260000228881836
01-30,,11.52239990234375,9.890000343322754
01-31,,11.746999740600586,9.600000381469727
02-01,,11.774900436401367,
02-03,,,9.609999656677246
02-04,,12.550000190734863,9.34000015258789
02-05,,12.945699691772461,9.476900100708008
02-06,,12.5,9.350000381469727
02-07,,12.329999923706055,9.350000381469727
02-08,,12.030699729919434,
02-10,,,8.848979949951172
02-11,,11.899200439453125,8.869999885559082
02-12,,11.939000129699707,8.508700370788574
02-13,,12.044300079345703,8.5
02-14,,12.02180004119873,8.9399995803833
02-15,,12.03950023651123,
02-18,,,8.920000076293945
02-19,,12.047599792480469,9.020000457763672
02-20,,12.065299987792969,8.749549865722656
02-21,,11.999099731445312,8.550000190734863
02-22,,12.065500259399414,
02-24,,,8.319999694824219
02-25,,12.508700370788574,8.100000381469727
02-26,,13.152999877929688,8.100000381469727
02-27,,13.785099983215332,8.762299537658691
02-28,,15.0,9.199999809265137
03-01,,14.976099967956543,
03-02,,,9.149999618530273
03-03,,,8.628000259399414
03-04,,14.98390007019043,9.042790412902832
03-05,,14.52910041809082,8.550000190734863
03-06,,14.380000114440918,8.260000228881836
03-07,,14.368800163269043,
03-08,,14.216899871826172,
03-09,,,7.550000190734863
03-10,,,7.0
03-11,,14.4350004196167,6.699999809265137
03-12,,14.37660026550293,6.138879776000977
03-13,,14.26159954071045,6.188529968261719
03-14,,14.332900047302246,
03-15,,14.60890007019043,
03-16,,,4.577499866485596
03-17,,,4.550000190734863
03-18,,14.718799591064453,3.9000000953674316
03-19,,15.5802001953125,4.360000133514404
03-20,,15.149999618530273,4.25
03-21,,15.25,
03-22,,15.25,
03-23,,,3.9000000953674316
03-24,,,4.989999771118164
03-25,,15.396400451660156,6.168819904327393
03-26,,15.210000038146973,6.440000057220459
03-27,,15.293299674987793,6.5665998458862305
03-28,,15.441399574279785,
03-29,,15.32229995727539,
03-30,,,6.130000114440918
03-31,,,6.255000114440918
04-01,,15.513999938964844,6.048399925231934
04-02,,15.598999977111816,5.881800174713135
04-03,,16.170000076293945,5.800000190734863
04-04,,16.39699935913086,
04-05,,16.331499099731445,
04-06,,,5.871099948883057
04-07,,,5.6508002281188965
04-08,,15.790499687194824,5.7451300621032715
04-09,,16.049999237060547,5.400000095367432
04-10,,15.597900390625,
04-11,,15.319999694824219,
04-12,,15.75790023803711,
04-13,,,5.449999809265137
04-14,,,5.25
04-15,,15.19789981842041,5.0
04-16,,15.728300094604492,5.138460159301758
04-17,,16.299999237060547,5.046299934387207
04-18,,16.781200408935547,
04-20,,,5.010000228881836
04-21,,,5.0
04-22,,17.950000762939453,5.0
04-23,,17.344499588012695,5.139999866485596
04-24,,16.990800857543945,5.045000076293945
04-25,,17.034799575805664,
04-26,,17.023000717163086,
04-27,,,5.199999809265137
04-28,,,5.25
04-29,,16.992599487304688,5.809999942779541
04-30,,16.75,6.179190158843994
05-01,,16.799999237060547,5.5
05-02,,16.719999313354492,
05-03,,16.5,
05-04,,,5.5
05-05,,,6.0
05-06,,16.38800048828125,5.75
05-07,,15.25,5.610000133514404
05-08,,15.199999809265137,5.897930145263672
05-09,,14.994000434875488,
05-10,,14.989999771118164,
05-11,,,5.900000095367432
05-12,,,6.25
05-13,,14.963000297546387,6.0197601318359375
05-14,,17.072200775146484,5.949999809265137
05-15,,17.1200008392334,6.369900226593018
05-16,,15.975199699401855,
05-17,,16.100000381469727,
05-18,,,7.130000114440918
05-19,,,7.439990043640137
05-20,,16.649999618530273,7.309999942779541
05-21,,16.726999282836914,7.812049865722656
05-22,,16.510000228881836,8.413649559020996
05-23,,16.989999771118164,
05-24,,18.45009994506836,
05-26,,,8.140000343322754
05-27,,,8.0
05-28,,18.520000457763672,8.050000190734863
05-29,,17.703800201416016,8.5
05-30,,17.632099151611328,
05-31,,16.601499557495117,
06-01,,,8.300000190734863
06-02,,,8.4350004196167
06-03,,15.2568998336792,8.25
06-04,,15.404899597167969,7.699999809265137
06-05,,15.64009952545166,8.010000228881836
06-06,,15.314000129699707,
06-07,,15.4822998046875,
06-08,,,8.0
06-09,,,8.079999923706055
06-10,,15.25,8.199999809265137
06-11,,15.449999809265137,7.150000095367432
06-12,,15.140399932861328,7.25
06-13,,14.809700012207031,
06-14,,14.126999855041504,
06-15,,,7.232399940490723
06-16,,,7.360000133514404
06-17,,13.5600004196167,7.337069988250732
06-18,,13.923600196838379,7.286530017852783
06-19,,14.303600311279297,7.245800018310547
06-20,,14.006999969482422,
06-21,,14.84179973602295,
06-22,,,7.318600177764893
06-23,,,7.018579959869385
06-24,,14.387999534606934,7.0
06-25,,14.0,7.0792999267578125
06-26,,14.244999885559082,6.965000152587891
06-27,,13.918899536132812,
06-28,,14.144000053405762,
06-29,,,6.874000072479248
06-30,,,7.199999809265137
07-01,,14.739999771118164,7.478000164031982
07-02,,14.100000381469727,7.25
07-03,,14.0,
07-05,,14.02869987487793,
07-06,,,7.966839790344238
07-07,,,7.800000190734863
07-08,,13.661299705505371,7.599999904632568
07-09,,12.960000038146973,7.797299861907959
07-10,,12.5,7.75
07-11,,12.050000190734863,
07-12,,10.910400390625,
07-13,,,8.199999809265137
07-14,,,8.25
07-15,,11.270000457763672,8.279999732971191
07-16,,11.454000473022461,8.15999984741211
07-17,,10.824999809265137,8.119999885559082
07-18,,10.1899995803833,
07-19,,9.966279983520508,
07-20,,,8.010000228881836
07-21,,,8.100000381469727
07-22,,9.736000061035156,8.359999656677246
07-23,,9.170000076293945,8.104000091552734
07-24,,9.0,8.03499984741211
07-25,,10.5,
07-26,,11.25,
07-27,,,8.149999618530273
07-28,,,8.699999809265137
07-29,,10.329999923706055,8.75
07-30,,10.779999732971191,9.149999618530273
07-31,,10.704999923706055,9.100000381469727
08-01,,10.557999610900879,
08-02,,11.029500007629395,
08-03,,,9.15999984741211
08-04,,,9.5
08-05,,11.399999618530273,9.899999618530273
08-06,,10.800000190734863,9.770000457763672
08-07,,10.800000190734863,9.5
08-08,,11.046299934387207,
08-09,,11.349699974060059,
08-10,,,9.925000190734863
08-11,,,10.300000190734863
08-12,,11.3371000289917,10.800000190734863
08-13,,11.3371000289917,10.949999809265137
08-14,,11.277799606323242,11.630000114440918
08-15,,10.996999740600586,
08-16,,12.996500015258789,
08-17,,,12.022500038146973
08-18,,,11.850000381469727
08-19,,10.899999618530273,11.75
08-20,,11.25,11.300000190734863
08-21,,10.899999618530273,11.300000190734863
08-22,,10.918999671936035,
08-23,,10.998000144958496,
08-24,,,11.946499824523926
08-25,,,11.843500137329102
08-26,,11.149999618530273,10.998499870300293
08-27,,11.104399681091309,12.210000038146973
08-28,,10.5,12.569999694824219
08-29,,10.300000190734863,
08-30,,9.914999961853027,
08-31,,,13.17199993133545
09-01,,,13.109600067138672
09-02,,,13.0
09-03,,10.293800354003906,12.850000381469727
09-04,,10.372599601745605,13.038900375366211
09-05,,10.504799842834473,
09-06,,10.670000076293945,
09-08,,,13.215999603271484
09-09,,10.359999656677246,13.220000267028809
09-10,,10.380000114440918,12.475000381469727
09-11,,10.465999603271484,13.010000228881836
09-12,,10.180000305175781,
09-13,,10.550000190734863,
09-14,,,12.678999900817871
09-15,,,12.199999809265137
09-16,,9.951199531555176,12.779999732971191
09-17,,9.75,12.800000190734863
09-18,,9.800000190734863,12.770000457763672
09-19,,10.007200241088867,
09-20,,9.569999694824219,
09-21,,,12.25
09-22,,,12.5
09-23,,8.699999809265137,12.399999618530273
09-24,,8.692999839782715,12.347999572753906
09-25,,8.635700225830078,12.399999618530273
09-26,,8.470319747924805,
09-27,,8.392660140991211,
09-28,,,12.25
09-29,,,12.550000190734863
09-30,,10.0,12.550000190734863
10-01,,8.787300109863281,12.680000305175781
10-02,,8.600000381469727,12.699999809265137
10-03,,8.895219802856445,
10-04,,8.850000381469727,
10-05,,,12.693699836730957
10-06,,,12.75
10-07,,9.0,12.899999618530273
10-08,,8.880000114440918,14.0
10-09,,9.0,14.119099617004395
10-10,,8.260000228881836,
10-11,,8.800000190734863,
10-12,,,15.119999885559082
10-13,,,15.029999732971191
10-14,,8.800000190734863,15.0
10-15,,8.6899995803833,14.699999809265137
10-16,,8.699999809265137,14.550000190734863
10-17,,8.899999618530273,
10-18,,9.0,
10-19,,,14.600000381469727
10-20,,,14.961999893188477
10-21,,9.0,14.859999656677246
10-22,,9.0,14.930000305175781
