,2019,2020
01-02,,63.0
01-03,,63.0
01-06,,63.0
01-07,,63.0
01-08,,63.0
01-09,,63.0
01-10,,63.0
01-13,,63.0
01-14,,63.0
01-15,50.80130004882813,63.0
01-16,50.80130004882813,63.0
01-17,50.80130004882813,63.0
01-18,50.80130004882813,
01-21,,63.0
01-22,50.80130004882813,63.0
01-23,50.80130004882813,63.0
01-24,50.80130004882813,63.0
01-25,50.80130004882813,
01-27,,63.0
01-28,50.80130004882813,63.0
01-29,50.80130004882813,63.0
01-30,50.80130004882813,63.0
01-31,50.80130004882813,63.0
02-01,50.80130004882813,
02-03,,63.0
02-04,50.80130004882813,63.0
02-05,50.80130004882813,63.0
02-06,50.80130004882813,63.0
02-07,50.80130004882813,63.0
02-08,50.80130004882813,
02-10,,63.0
02-11,50.80130004882813,63.0
02-12,50.80130004882813,63.0
02-13,50.80130004882813,63.0
02-14,50.80130004882813,63.0
02-15,50.80130004882813,
02-18,,63.0
02-19,50.80130004882813,63.0
02-20,50.80130004882813,63.0
02-21,50.80130004882813,63.0
02-22,50.80130004882813,
02-24,,63.0
02-25,50.80130004882813,63.0
02-26,50.80130004882813,63.0
02-27,50.80130004882813,63.0
02-28,50.80130004882813,63.0
03-01,50.80130004882813,
03-02,,63.0
03-03,,63.0
03-04,50.80130004882813,63.0
03-05,50.80130004882813,63.0
03-06,50.80130004882813,63.0
03-07,50.80130004882813,
03-08,50.80130004882813,
03-09,,63.0
03-10,,63.0
03-11,50.80130004882813,63.0
03-12,50.80130004882813,63.0
03-13,50.80130004882813,63.0
03-14,50.80130004882813,
03-15,50.80130004882813,
03-16,,63.0
03-17,,63.0
03-18,50.80130004882813,63.0
03-19,50.80130004882813,63.0
03-20,50.80130004882813,63.0
03-21,50.80130004882813,
03-22,50.80130004882813,
03-23,,63.0
03-24,,63.0
03-25,50.80130004882813,63.0
03-26,50.80130004882813,63.0
03-27,50.80130004882813,63.0
03-28,50.80130004882813,
03-29,50.80130004882813,
03-30,,63.0
03-31,,63.0
04-01,50.80130004882813,63.0
04-02,50.80130004882813,63.0
04-03,50.80130004882813,63.0
04-04,50.80130004882813,
04-05,50.80130004882813,
04-06,,63.0
04-07,,63.0
04-08,50.80130004882813,63.0
04-09,50.80130004882813,63.0
04-10,50.80130004882813,
04-11,50.80130004882813,
04-12,50.80130004882813,
04-13,,63.0
04-14,,63.0
04-15,50.80130004882813,63.0
04-16,50.80130004882813,63.0
04-17,50.80130004882813,63.0
