,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,15.75,17.200000762939453
01-03,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,15.75,17.200000762939453
01-04,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,15.75,
01-05,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
01-06,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
01-07,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,15.75,17.200000762939453
01-08,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,15.75,17.200000762939453
01-09,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,15.75,17.200000762939453
01-10,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,15.75,17.200000762939453
01-11,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,15.75,
01-12,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
01-13,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
01-14,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,15.75,17.200000762939453
01-15,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,15.75,17.200000762939453
01-16,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,15.75,17.200000762939453
01-17,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,15.75,17.200000762939453
01-18,,,7.400000095367432,7.400000095367432,,,,12.25,20.639999389648438,15.75,
01-19,,,7.400000095367432,,,,12.25,12.25,20.639999389648438,,
01-20,,,7.400000095367432,,,12.25,12.25,12.25,,,
01-21,,,,,7.400000095367432,12.25,12.25,,,,17.200000762939453
01-22,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,15.75,17.200000762939453
01-23,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,15.75,17.200000762939453
01-24,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,15.75,17.200000762939453
01-25,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,15.75,
01-26,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
01-27,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
01-28,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,15.75,17.200000762939453
01-29,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,16.079999923706055,17.200000762939453
01-30,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
01-31,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-01,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
02-02,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
02-03,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
02-04,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
02-05,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,16.079999923706055,17.200000762939453
02-06,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-07,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-08,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
02-09,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
02-10,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
02-11,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
02-12,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,16.079999923706055,17.200000762939453
02-13,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-14,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-15,,,7.400000095367432,7.400000095367432,,,,12.25,20.639999389648438,16.079999923706055,
02-16,,,7.400000095367432,,,,12.25,12.25,20.639999389648438,,
02-17,,,7.400000095367432,,,12.25,12.25,12.25,,,
02-18,,,,,7.400000095367432,12.25,12.25,,,,17.200000762939453
02-19,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
02-20,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
02-21,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-22,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
02-23,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,
02-24,,,7.400000095367432,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
02-25,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
02-26,,,,7.400000095367432,7.400000095367432,12.25,12.25,,20.639999389648438,16.079999923706055,17.200000762939453
02-27,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-28,,,7.400000095367432,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
02-29,,,7.400000095367432,,,,12.25,,,,
03-01,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
03-02,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
03-03,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
03-04,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
03-05,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
03-06,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
03-07,,,7.400000095367432,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
03-08,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
03-09,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
03-10,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
03-11,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
03-12,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
03-13,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
03-14,,,7.400000095367432,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
03-15,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
03-16,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
03-17,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
03-18,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
03-19,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
03-20,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
03-21,,,7.400000095367432,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
03-22,,,7.400000095367432,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
03-23,,,7.400000095367432,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
03-24,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
03-25,,,,7.400000095367432,7.400000095367432,12.25,,,,16.079999923706055,17.200000762939453
03-26,,,7.400000095367432,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
03-27,,,,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
03-28,,,,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
03-29,,,,,,,12.25,12.25,20.639999389648438,16.079999923706055,
03-30,,,,,,12.25,12.25,12.25,,,17.200000762939453
03-31,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
04-01,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
04-02,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
04-03,,,,7.400000095367432,7.400000095367432,,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
04-04,,,,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
04-05,,,,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
04-06,,,,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
04-07,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
04-08,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
04-09,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
04-10,,,,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,
04-11,,,,7.400000095367432,7.400000095367432,,12.25,12.25,20.639999389648438,16.079999923706055,
04-12,,,,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
04-13,,,,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
04-14,,,,,7.400000095367432,12.25,12.25,,,,17.200000762939453
04-15,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
04-16,,,,7.400000095367432,7.400000095367432,12.25,,,20.639999389648438,16.079999923706055,17.200000762939453
04-17,,,,7.400000095367432,7.400000095367432,12.25,,12.25,20.639999389648438,16.079999923706055,17.200000762939453
04-18,,,,7.400000095367432,,,12.25,12.25,20.639999389648438,16.079999923706055,
04-19,,,,7.400000095367432,,,12.25,12.25,20.639999389648438,,
04-20,,,,,,12.25,12.25,12.25,20.639999389648438,,17.200000762939453
04-21,,,,,7.400000095367432,12.25,12.25,12.25,,,17.200000762939453
04-22,,,,7.400000095367432,7.400000095367432,12.25,12.25,,,16.079999923706055,17.200000762939453
