,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,10.972332000732422,10.934887886047363,14.90225887298584,,,20.19951820373535,17.5001277923584,15.135212898254395
01-03,,11.01800537109375,11.148550033569336,,,13.226019859313965,20.19951820373535,17.5001277923584,15.135212898254395
01-04,,11.01800537109375,,,15.160030364990234,13.226019859313965,20.19951820373535,17.5001277923584,
01-05,,,,14.581832885742188,15.160030364990234,13.226019859313965,19.24089813232422,,
01-06,,,11.148550033569336,14.581832885742188,15.160030364990234,13.226019859313965,,,15.135212898254395
01-07,,11.01800537109375,11.148550033569336,14.988344192504883,15.160030364990234,,,17.5001277923584,15.135212898254395
01-08,,11.01800537109375,11.148550033569336,15.294424057006836,15.160030364990234,,19.24089813232422,17.5001277923584,15.135212898254395
01-09,,11.01800537109375,11.020354270935059,15.332684516906738,,15.051634788513184,19.24089813232422,17.5001277923584,15.135212898254395
01-10,,11.01800537109375,11.020354270935059,,,15.051634788513184,21.148359298706055,17.5001277923584,15.135212898254395
01-11,,11.01800537109375,,,15.160030364990234,15.051634788513184,21.148359298706055,17.5001277923584,
01-12,,,,15.093562126159668,15.218823432922363,14.566100120544434,21.148359298706055,,
01-13,,,11.020354270935059,15.404420852661133,15.218823432922363,14.566100120544434,,,15.135212898254395
01-14,,11.01800537109375,11.020354270935059,15.404420852661133,15.218823432922363,,,17.5001277923584,15.025681495666504
01-15,,11.01800537109375,11.020354270935059,15.122255325317383,15.218823432922363,,,17.5001277923584,15.025681495666504
01-16,,11.01800537109375,11.020354270935059,15.437897682189941,,,21.148359298706055,17.5001277923584,15.025681495666504
01-17,,11.01800537109375,11.400202751159668,,,17.508451461791992,21.148359298706055,17.5001277923584,15.025681495666504
01-18,,11.01800537109375,,,,15.440064430236816,21.148359298706055,17.5001277923584,
01-19,,,,,15.218823432922363,15.440064430236816,18.83984375,,
01-20,,,,15.437897682189941,15.218823432922363,15.440064430236816,,,
01-21,,,11.400202751159668,15.437897682189941,15.218823432922363,,,,15.025681495666504
01-22,,11.01800537109375,11.632858276367188,15.437897682189941,15.218823432922363,,18.732240676879883,17.5001277923584,14.02994441986084
01-23,,11.01800537109375,11.476171493530273,15.437897682189941,,15.440064430236816,18.732240676879883,17.5001277923584,14.02994441986084
01-24,,11.01800537109375,11.476171493530273,,,15.440064430236816,18.732240676879883,17.5001277923584,14.02994441986084
01-25,,11.01800537109375,,,15.218823432922363,17.110313415527344,18.732240676879883,17.5001277923584,
01-26,,,,15.437897682189941,15.218823432922363,17.110313415527344,18.89853286743164,,
01-27,,,11.476171493530273,15.437897682189941,15.218823432922363,17.110313415527344,,,14.02994441986084
01-28,,11.01800537109375,11.044095993041992,15.437897682189941,15.218823432922363,,,17.64801597595215,14.02994441986084
01-29,,11.01800537109375,11.044095993041992,15.437897682189941,15.218823432922363,,18.89853286743164,17.64801597595215,14.02994441986084
01-30,,11.01800537109375,11.044095993041992,15.437897682189941,,17.110313415527344,18.89853286743164,17.64801597595215,14.02994441986084
01-31,,11.01800537109375,11.044095993041992,,,16.10039520263672,18.89853286743164,17.64801597595215,14.02994441986084
02-01,,11.01800537109375,,,15.218823432922363,16.10039520263672,18.89853286743164,17.64801597595215,
02-02,,,,15.437897682189941,12.500832557678223,17.479320526123047,20.3853759765625,,
02-03,,,11.044095993041992,15.437897682189941,12.500832557678223,17.479320526123047,,,14.02994441986084
02-04,,11.01800537109375,11.044095993041992,15.437897682189941,14.698356628417969,,,17.64801597595215,14.02994441986084
02-05,,11.01800537109375,11.044095993041992,15.437897682189941,13.763446807861328,,18.17467498779297,17.64801597595215,14.02994441986084
02-06,,11.01800537109375,11.044095993041992,15.437897682189941,,14.566100120544434,18.17467498779297,17.64801597595215,14.02994441986084
02-07,,11.01800537109375,11.044095993041992,,,14.566100120544434,18.17467498779297,17.64801597595215,14.02994441986084
02-08,,11.01800537109375,,,13.763446807861328,14.566100120544434,18.17467498779297,17.64801597595215,
02-09,,,,15.437897682189941,13.763446807861328,14.566100120544434,18.17467498779297,,
02-10,,,11.328981399536133,15.437897682189941,13.763446807861328,14.566100120544434,,,14.02994441986084
02-11,,11.01800537109375,11.328981399536133,15.437897682189941,13.763446807861328,,,17.64801597595215,14.02994441986084
02-12,,11.01800537109375,11.328981399536133,15.437897682189941,13.73453140258789,,18.17467498779297,17.64801597595215,14.02994441986084
02-13,,13.183937072753906,11.328981399536133,15.437897682189941,,14.566100120544434,18.17467498779297,17.64801597595215,14.02994441986084
02-14,,13.183937072753906,11.328981399536133,,,14.566100120544434,18.17467498779297,17.64801597595215,14.02994441986084
02-15,,13.183937072753906,,,,14.566100120544434,18.17467498779297,17.64801597595215,
02-16,,,,,13.73453140258789,14.566100120544434,18.17467498779297,,
02-17,,,,15.940064430236816,13.73453140258789,14.566100120544434,,,
02-18,,,11.917744636535645,15.940064430236816,13.73453140258789,,,,14.02994441986084
02-19,,13.183937072753906,11.917744636535645,15.940064430236816,13.73453140258789,,,17.64801597595215,15.264657974243164
02-20,,13.183937072753906,11.917744636535645,15.940064430236816,,,18.17467498779297,17.64801597595215,14.707045555114746
02-21,,13.183937072753906,11.917744636535645,,,14.566100120544434,18.17467498779297,17.64801597595215,14.707045555114746
02-22,,13.183937072753906,,,13.73453140258789,14.566100120544434,18.17467498779297,17.64801597595215,
02-23,,,,15.940064430236816,13.73453140258789,14.566100120544434,18.17467498779297,,
02-24,,,11.988966941833496,15.940064430236816,13.73453140258789,14.566100120544434,,,14.258963584899902
02-25,,13.183937072753906,11.988966941833496,15.940064430236816,13.73453140258789,,,17.64801597595215,14.258963584899902
02-26,,13.183937072753906,11.988966941833496,15.940064430236816,13.73453140258789,,21.52985191345215,17.64801597595215,14.258963584899902
02-27,,13.183937072753906,11.988966941833496,15.940064430236816,,14.566100120544434,21.52985191345215,17.64801597595215,13.920412063598633
02-28,,13.537080764770508,12.316587448120117,,,14.566100120544434,21.52985191345215,17.64801597595215,13.920412063598633
02-29,,,,,13.73453140258789,,,,
03-01,,13.537080764770508,,,13.75380802154541,14.566100120544434,21.52985191345215,17.64801597595215,
03-02,,,,15.940064430236816,13.75380802154541,14.566100120544434,20.31690216064453,,13.920412063598633
03-03,,,12.316587448120117,15.940064430236816,13.75380802154541,15.207008361816406,,,13.920412063598633
03-04,,13.537080764770508,11.9937162399292,15.940064430236816,13.75380802154541,,,17.64801597595215,13.920412063598633
03-05,,13.537080764770508,11.9937162399292,15.940064430236816,,,20.776649475097656,17.64801597595215,13.920412063598633
03-06,,13.537080764770508,11.9937162399292,15.940064430236816,,15.342957496643066,20.776649475097656,17.64801597595215,13.920412063598633
03-07,,13.136852264404297,11.9937162399292,,13.75380802154541,15.342957496643066,20.776649475097656,17.64801597595215,
03-08,,13.136852264404297,,,13.75380802154541,15.342957496643066,20.776649475097656,17.64801597595215,
03-09,,,,15.940064430236816,13.75380802154541,15.537172317504883,20.776649475097656,,13.920412063598633
03-10,,,11.9937162399292,15.940064430236816,13.75380802154541,15.595437049865723,,,13.920412063598633
03-11,,13.136852264404297,11.9937162399292,16.16005516052246,13.75380802154541,,,17.64801597595215,13.920412063598633
