,2012,2013,2014,2015,2016,2017,2018,2019
01-02,,13.399999618530273,2.0999999046325684,0.699999988079071,,,0.20000000298023224,0.20000000298023224
01-03,,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-04,,11.5,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-05,,,,0.699999988079071,0.20000000298023224,1.1799999475479126,0.20000000298023224,
01-06,,,2.0999999046325684,0.699999988079071,0.20000000298023224,1.1799999475479126,,
01-07,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
01-08,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,0.20000000298023224,0.20000000298023224
01-09,,11.5,2.0999999046325684,0.699999988079071,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-10,,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-11,,11.5,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-12,,,,0.699999988079071,0.20000000298023224,1.1799999475479126,0.20000000298023224,
01-13,,,2.0999999046325684,0.699999988079071,0.20000000298023224,1.1799999475479126,,
01-14,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
01-15,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
01-16,,11.5,2.0999999046325684,0.699999988079071,,,0.20000000298023224,0.20000000298023224
01-17,,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-18,,11.5,,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-19,,,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,
01-20,,,,0.699999988079071,0.20000000298023224,1.1799999475479126,,
01-21,,,2.0999999046325684,0.699999988079071,0.20000000298023224,,,
01-22,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,0.20000000298023224,0.20000000298023224
01-23,,11.5,2.0999999046325684,0.699999988079071,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-24,,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-25,,11.5,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-26,,,,0.699999988079071,0.20000000298023224,1.1799999475479126,0.20000000298023224,
01-27,,,2.0999999046325684,0.699999988079071,0.20000000298023224,1.1799999475479126,,
01-28,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
01-29,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,0.20000000298023224,0.20000000298023224
01-30,,11.5,2.0999999046325684,0.699999988079071,,1.1799999475479126,0.20000000298023224,0.20000000298023224
01-31,,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
02-01,,11.5,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,0.20000000298023224
02-02,,,,0.699999988079071,0.20000000298023224,1.1799999475479126,0.20000000298023224,
02-03,,,2.0999999046325684,0.699999988079071,0.20000000298023224,1.1799999475479126,,
02-04,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
02-05,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,0.20000000298023224,0.20000000298023224
02-06,,11.5,2.0999999046325684,0.699999988079071,,1.1799999475479126,0.20000000298023224,0.20000000298023224
02-07,34.0,11.5,2.0999999046325684,,,1.1799999475479126,0.20000000298023224,0.20000000298023224
02-08,34.0,11.5,,,0.20000000298023224,1.1799999475479126,0.20000000298023224,0.20000000298023224
02-09,34.0,,,0.699999988079071,0.20000000298023224,1.1799999475479126,0.20000000298023224,
02-10,34.0,,2.0999999046325684,0.699999988079071,0.20000000298023224,1.1799999475479126,,
02-11,,11.5,2.0999999046325684,0.699999988079071,0.20000000298023224,,,0.20000000298023224
