,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,2.5999999046325684,1.2760000228881836,0.20000000298023224,,,0.09849999845027924,0.09470000118017197,0.035999998450279236
01-03,,2.7100000381469727,1.5349999666213991,,,0.17499999701976776,0.09849999845027924,0.07829999923706055,0.035999998450279236
01-04,,3.1050000190734863,,,0.08900000154972076,0.1454000025987625,0.09849999845027924,0.07829999923706055,
01-05,,,,0.10599999874830246,0.08900000154972076,0.16820000112056732,0.09849999845027924,,
01-06,,,1.5349999666213991,0.10599999874830246,0.08900000154972076,0.16820000112056732,,,0.035999998450279236
01-07,,3.4600000381469727,0.9639999866485596,0.10599999874830246,0.08900000154972076,,,0.07829999923706055,0.035999998450279236
01-08,,3.0899999141693115,1.1519999504089355,0.10599999874830246,0.08900000154972076,,0.09849999845027924,0.07829999923706055,0.03999999910593033
01-09,,3.1749999523162837,1.1469999551773071,0.10599999874830246,,0.16820000112056732,0.09849999845027924,0.08352000266313553,0.03999999910593033
01-10,,3.0499999523162837,1.1390000581741333,,,0.1679999977350235,0.10209999978542328,0.08352000266313553,0.03999999910593033
01-11,,2.8980000019073486,,,0.08900000154972076,0.1679999977350235,0.10209999978542328,0.08352000266313553,
01-12,,,,0.10599999874830246,0.08900000154972076,0.25,0.10209999978542328,,
01-13,,,1.1440000534057615,0.10599999874830246,0.08900000154972076,0.2883000075817108,,,0.03999999910593033
01-14,,3.0629999637603764,1.1440000534057615,0.10599999874830246,0.08799999952316284,,,0.08352000266313553,0.04865000024437904
01-15,,3.608000040054321,1.1440000534057615,0.05000000074505806,0.08799999952316284,,,0.08352000266313553,0.03999999910593033
01-16,,3.5299999713897705,1.1390000581741333,0.05000000074505806,,,0.10209999978542328,0.08352000266313553,0.03999999910593033
01-17,,3.880000114440918,1.1349999904632568,,,0.2883000075817108,0.10209999978542328,0.08352000266313553,0.03999999910593033
01-18,,4.184000015258788,,,,0.21369999647140506,0.10209999978542328,0.08352000266313553,
01-19,,,,,0.08799999952316284,0.211899995803833,0.10209999978542328,,
01-20,,,,0.10199999809265137,0.059999998658895486,0.211899995803833,,,
01-21,,,1.1349999904632568,0.10199999809265137,0.059999998658895486,,,,0.03999999910593033
01-22,,3.67300009727478,1.100000023841858,0.10199999809265137,0.059999998658895486,,0.10209999978542328,0.08352000266313553,0.03999999910593033
01-23,,3.7000000476837163,1.100000023841858,0.1444000005722046,,0.19539999961853027,0.10999999940395357,0.08352000266313553,0.03999999910593033
01-24,,3.7000000476837163,1.100000023841858,,,0.1843000054359436,0.16099999845027926,0.08352000266313553,0.03999999910593033
01-25,,3.6679999828338623,,,0.059999998658895486,0.20069999992847445,0.16099999845027926,0.08352000266313553,
01-26,,,,0.1444000005722046,0.059999998658895486,0.20069999992847445,0.16099999845027926,,
