symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
WYNN,Wynn Resorts Ltd,95.29000092,FALSE,2009,,10-Dec,23-Feb,9,9,2,2,10-Dec,23-Feb,9.29563687,8-Dec,6-Feb,9,2,9,2,8-Dec,6-Feb,6.853943308,14-Mar,28-Apr,7,4,7,4,14-Mar,28-Apr,13.67907445,6-Apr,6-May,9,2,9,2,6-Apr,6-May,7.953380359,28-Mar,12-Apr,8,3,8,3,28-Mar,12-Apr,7.278640349
WYNMY,Wynn Macau Ltd,17.51000023,FALSE,2010,,4-Oct,18-Dec,7,7,3,3,4-Oct,18-Dec,6.322371462,1-Oct,30-Nov,5,5,5,5,1-Oct,30-Nov,8.900379029,14-Mar,28-Apr,5,5,5,5,14-Mar,28-Apr,10.22077288,29-Mar,28-Apr,7,3,7,3,28-Mar,27-Apr,7.112215093,29-Mar,13-Apr,6,4,6,4,29-Mar,13-Apr,5.622476006
WYNMF,Wynn Macau Ltd,1.75,FALSE,2010,,27-Mar,10-Jun,7,7,3,3,5-Feb,20-Apr,7.74413965,1-Oct,30-Nov,5,5,5,5,1-Oct,30-Nov,9.632568765,14-Mar,28-Apr,5,5,5,5,14-Mar,28-Apr,10.65410605,28-Mar,27-Apr,7,3,7,3,28-Mar,27-Apr,7.642838668,31-Mar,15-Apr,5,5,5,5,31-Mar,15-Apr,5.166029126
WYND,Wyndham Destinations Inc,41.95999908,FALSE,2009,,28-Oct,11-Jan,9,9,2,2,28-Oct,11-Jan,9.195988151,29-Oct,28-Dec,7,4,7,4,29-Oct,28-Dec,9.082964661,24-Oct,8-Dec,6,5,6,5,28-Oct,12-Dec,7.789398059,28-Jun,28-Jul,6,5,6,5,28-Jun,28-Jul,6.507838755,26-Oct,10-Nov,5,6,5,6,26-Oct,10-Nov,4.983519781
WW,WW International Inc,27.44000053,FALSE,2009,,6-Sep,20-Nov,4,4,7,7,6-Sep,20-Nov,10.82605729,22-Mar,21-May,5,6,5,6,22-Mar,21-May,9.207806252,6-Sep,21-Oct,5,6,5,6,6-Sep,21-Oct,11.68116245,8-Sep,8-Oct,5,6,5,6,8-Sep,8-Oct,4.58481178,20-Apr,5-May,7,4,7,4,20-Apr,5-May,5.854892475
WVFC,WVS Financial Corp,15.38000011,FALSE,2009,,29-Oct,12-Jan,5,5,6,6,29-Mar,12-Jun,-0.454577564,31-Mar,30-May,7,4,6,5,18-Apr,17-Jun,1.974482061,17-Apr,1-Jun,6,5,6,5,13-Nov,28-Dec,2.443613336,18-Apr,18-May,6,5,6,5,18-Apr,18-May,3.247766604,30-Oct,14-Nov,7,4,7,4,21-Apr,6-May,2.450156424
WTBFB,WTB Financial A,309,FALSE,2009,,25-Nov,8-Feb,9,9,2,2,25-Nov,8-Feb,6.436021717,6-Nov,5-Jan,8,3,8,3,6-Nov,5-Jan,5.203373028,7-Apr,22-May,8,3,8,3,7-Apr,22-May,4.117852345,3-Nov,3-Dec,7,4,7,4,3-Nov,3-Dec,3.569168768,18-Jan,2-Feb,6,5,6,5,18-Jan,2-Feb,4.416453984
WSFS,WSFS Financial Corp,38.72999954,FALSE,2009,,8-Sep,22-Nov,6,6,5,5,8-Sep,22-Nov,8.313069868,2-Oct,1-Dec,6,5,6,5,2-Oct,1-Dec,9.578167953,8-Oct,22-Nov,6,5,6,5,24-Jun,8-Aug,5.660437424,24-Oct,23-Nov,5,6,5,6,24-Oct,23-Nov,4.952544833,26-May,10-Jun,5,6,5,6,26-May,10-Jun,3.934885176
WRIT,WRIT Media Group Inc,0.0051,FALSE,2009,,22-Feb,7-May,4,4,7,7,22-Feb,7-May,-34.18750803,1-Mar,30-Apr,4,7,4,7,1-Mar,30-Apr,-33.13092229,12-Mar,26-Apr,4,7,4,7,12-Mar,26-Apr,-19.02891446,13-Apr,13-May,5,6,5,6,13-Apr,13-May,17.27515968,18-Mar,2-Apr,4,7,4,7,18-Mar,2-Apr,16.31334644
WRB,WR Berkley Corp,65.48000336,FALSE,2009,,4-May,18-Jul,7,7,4,4,7-Apr,21-Jun,2.966949894,24-Sep,23-Nov,7,4,7,4,24-Sep,23-Nov,3.525718039,22-May,6-Jul,7,4,7,4,25-Aug,9-Oct,1.072147643,9-Sep,9-Oct,8,3,8,3,9-Sep,9-Oct,1.070024636,2-Oct,17-Oct,4,7,4,7,2-Oct,17-Oct,0.31729706
WPP,WPP PLC,48.52000046,FALSE,2009,,27-Oct,10-Jan,6,6,5,5,12-Nov,26-Jan,6.471890438,15-Mar,14-May,7,4,7,4,15-Mar,14-May,7.398157543,19-Mar,3-May,5,6,5,6,19-Mar,3-May,6.775107062,4-Apr,4-May,7,4,7,4,4-Apr,4-May,4.885057121,6-Feb,21-Feb,6,5,6,5,6-Feb,21-Feb,3.593264816
