,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
166,HDELY,HeidelbergCement AG,14.01000023,False,2010.0,,25-Sep,9-Dec,7.0,7.0,3.0,3.0,25-Sep,9-Dec,4.567217905,11-Oct,10-Dec,7.0,3.0,7.0,3.0,11-Oct,10-Dec,4.311050551,28-Mar,12-May,7.0,3.0,7.0,3.0,28-Mar,12-May,2.5873393609999997,8-Feb,9-Mar,8.0,2.0,8.0,2.0,8-Feb,9-Mar,3.1802547239999996,26-Oct,10-Nov,5.0,5.0,5.0,5.0,26-Oct,10-Nov,3.326319028
167,HEI,Heico Corp,134.28999330000002,False,2009.0,,25-Oct,8-Jan,8.0,8.0,3.0,3.0,25-Oct,8-Jan,7.993794065,7-May,6-Jul,7.0,4.0,7.0,4.0,7-May,6-Jul,8.19299119,30-Oct,14-Dec,9.0,2.0,9.0,2.0,30-Oct,14-Dec,6.060463529,30-Oct,29-Nov,5.0,6.0,5.0,6.0,30-Oct,29-Nov,4.720503578,22-May,6-Jun,6.0,5.0,6.0,5.0,22-May,6-Jun,6.985445822000001
168,HL,Hecla Mining Co,5.010000229,False,2009.0,,27-Jun,10-Sep,4.0,4.0,7.0,7.0,27-Jun,10-Sep,5.639231779,13-Nov,12-Jan,5.0,6.0,5.0,6.0,13-Nov,12-Jan,9.094182444,7-Aug,21-Sep,5.0,6.0,5.0,6.0,7-Aug,21-Sep,7.38790189,30-Mar,29-Apr,4.0,7.0,4.0,7.0,30-Mar,29-Apr,6.37700634,31-Mar,15-Apr,7.0,4.0,7.0,4.0,31-Mar,15-Apr,5.169979922
169,HTLF,Heartland Financial USA Inc,39.5,False,2009.0,,22-May,5-Aug,7.0,7.0,4.0,4.0,22-May,5-Aug,8.94569016,1-Jun,31-Jul,6.0,5.0,5.0,6.0,1-Jun,31-Jul,6.46027357,24-Jun,8-Aug,4.0,7.0,4.0,7.0,24-Jun,8-Aug,6.397249496000001,6-Jul,5-Aug,7.0,4.0,7.0,4.0,6-Jul,5-Aug,5.128166858999999,16-Apr,1-May,6.0,5.0,6.0,5.0,16-Apr,1-May,6.26453652
170,HTLD,Heartland Express Inc,19.18000031,False,2009.0,,29-Oct,12-Jan,7.0,7.0,4.0,4.0,21-May,4-Aug,2.004495796,31-Oct,30-Dec,8.0,3.0,8.0,3.0,1-Oct,30-Nov,4.212941614,25-Jun,9-Aug,6.0,5.0,6.0,5.0,22-Jun,6-Aug,3.793816505,1-Nov,1-Dec,5.0,6.0,5.0,6.0,1-Nov,1-Dec,6.334747096,31-Oct,15-Nov,5.0,6.0,5.0,6.0,31-Oct,15-Nov,4.425378982
171,HLAN,Heartland Bancorp,71.5,False,2009.0,,19-Feb,4-May,10.0,10.0,1.0,1.0,29-Sep,13-Dec,7.877072721,18-May,17-Jul,8.0,3.0,8.0,3.0,17-May,16-Jul,7.241691304,6-Jun,21-Jul,9.0,2.0,9.0,2.0,28-Dec,11-Feb,6.182516262,17-Jun,17-Jul,8.0,3.0,8.0,3.0,24-Jun,24-Jul,6.297936846,2-Jul,17-Jul,9.0,2.0,9.0,2.0,2-Jul,17-Jul,6.746900476
172,HRTT,Heart Tronics Inc,0.215000004,False,2009.0,,23-Aug,6-Nov,1.0,1.0,10.0,10.0,23-Aug,6-Nov,-61.56234033,23-Aug,22-Oct,1.0,10.0,1.0,10.0,23-Aug,22-Oct,-61.53501243,17-Mar,1-May,0.0,11.0,0.0,11.0,17-Mar,1-May,35.69964688,4-Apr,4-May,0.0,11.0,0.0,11.0,4-Apr,4-May,19.92999467,24-Aug,8-Sep,0.0,11.0,0.0,11.0,24-Aug,8-Sep,-51.29093427
173,HRAL,Hear AtLast Holdings Inc,0.00825,False,2009.0,,27-Dec,12-Mar,4.0,4.0,7.0,7.0,27-Dec,12-Mar,3.792603026,29-Dec,27-Feb,6.0,5.0,6.0,5.0,29-Dec,27-Feb,-6.5888129939999995,12-Dec,26-Jan,5.0,6.0,5.0,6.0,12-Dec,26-Jan,7.045276437999999,21-Dec,20-Jan,4.0,7.0,4.0,7.0,21-Dec,20-Jan,8.771690454,2-Jun,17-Jun,4.0,7.0,4.0,7.0,2-Jun,17-Jun,1.190842641
174,HEWA,HealthWarehouse.com Inc,0.152600005,False,2009.0,,25-Mar,8-Jun,6.0,6.0,5.0,5.0,25-Mar,8-Jun,11.74723402,19-Feb,19-Apr,5.0,6.0,5.0,6.0,19-Feb,19-Apr,5.289172053,26-Mar,10-May,7.0,4.0,7.0,4.0,26-Mar,10-May,17.1740496,23-Dec,22-Jan,8.0,3.0,8.0,3.0,23-Dec,22-Jan,4.006062035,22-Apr,7-May,6.0,5.0,6.0,5.0,22-Apr,7-May,8.098420399
175,HSTM,HealthStream Inc,19.05999947,False,2009.0,,27-Mar,10-Jun,4.0,4.0,7.0,7.0,27-Mar,10-Jun,12.62126877,25-Aug,24-Oct,3.0,8.0,3.0,8.0,25-Aug,24-Oct,5.53063378,30-Apr,14-Jun,1.0,10.0,1.0,10.0,30-Apr,14-Jun,8.791028811,15-May,14-Jun,4.0,7.0,4.0,7.0,15-May,14-Jun,6.283653179,30-May,14-Jun,5.0,6.0,5.0,6.0,30-May,14-Jun,3.691487931
