,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,BGS,B&G Foods Inc,27.5237999,False,2009.0,,30-Oct,13-Jan,3.0,8.0,3.0,8.0,31-Mar,14-Jun,10.56255068,3-Apr,2-Jun,4.0,7.0,4.0,7.0,3-Apr,2-Jun,9.385297345,3-May,17-Jun,4.0,7.0,4.0,7.0,3-May,17-Jun,8.67614656,3-May,2-Jun,4.0,7.0,4.0,7.0,3-May,2-Jun,6.219157758,10-Dec,25-Dec,6.0,5.0,6.0,5.0,10-Dec,25-Dec,3.729657595
1,RILY,B. Riley Financial Inc,29.59000015,False,2009.0,,19-Mar,2-Jun,4.0,7.0,4.0,7.0,18-Mar,1-Jun,8.264470252,16-Oct,15-Dec,6.0,5.0,6.0,5.0,22-Dec,20-Feb,9.07202725,30-Oct,14-Dec,7.0,4.0,7.0,4.0,30-Oct,14-Dec,6.465105603,3-Jan,2-Feb,7.0,4.0,7.0,4.0,3-Jan,2-Feb,0.774837483,14-Jan,29-Jan,6.0,5.0,6.0,5.0,14-Jan,29-Jan,4.027816218
2,BTG,B2Gold Corp,6.0850000379999996,False,2009.0,,24-May,7-Aug,6.0,5.0,6.0,5.0,24-May,7-Aug,8.571278342000001,23-May,22-Jul,8.0,3.0,8.0,3.0,23-May,22-Jul,6.296068631,10-May,24-Jun,6.0,5.0,6.0,5.0,10-May,24-Jun,5.347650216,17-Jul,16-Aug,9.0,2.0,9.0,2.0,17-Jul,16-Aug,5.750061262999999,23-May,7-Jun,5.0,6.0,5.0,6.0,23-May,7-Jun,3.840709064
3,BABB,BAB Inc,0.560000002,False,2009.0,,7-Aug,21-Oct,5.0,6.0,5.0,6.0,6-Aug,20-Oct,5.958453805,18-Aug,17-Oct,4.0,7.0,4.0,7.0,6-Aug,5-Oct,6.02510289,8-Aug,22-Sep,1.0,10.0,1.0,10.0,8-Aug,22-Sep,5.916700214,28-Nov,28-Dec,2.0,9.0,2.0,9.0,13-Aug,12-Sep,4.091064785,5-Jun,20-Jun,3.0,8.0,3.0,8.0,26-Jun,11-Jul,3.5853578
4,PRYNF,Backstageplay Inc,0.064099997,False,2009.0,,21-Jan,5-Apr,8.0,3.0,8.0,3.0,21-Jan,5-Apr,24.48223532,30-Dec,28-Feb,7.0,4.0,7.0,4.0,30-Dec,28-Feb,26.07695825,21-Jan,6-Mar,3.0,8.0,3.0,8.0,21-Jan,6-Mar,20.78872121,5-Feb,6-Mar,1.0,10.0,1.0,10.0,5-Feb,6-Mar,11.11658958,17-Feb,3-Mar,0.0,11.0,0.0,11.0,17-Feb,3-Mar,12.14057417
5,BADFF,Badger Daylighting Ltd,27.19000053,False,2009.0,,25-Sep,9-Dec,7.0,4.0,7.0,4.0,25-Sep,9-Dec,8.103775867000001,12-Mar,11-May,7.0,4.0,7.0,4.0,12-Mar,11-May,8.810798788,19-Mar,3-May,8.0,3.0,8.0,3.0,19-Mar,3-May,9.259143713,1-Apr,1-May,7.0,4.0,7.0,4.0,30-Mar,29-Apr,6.922784477,24-Sep,9-Oct,5.0,6.0,5.0,6.0,16-Apr,1-May,2.729012687
6,BMI,Badger Meter Inc,77.18000031,False,2009.0,,20-Oct,3-Jan,6.0,5.0,6.0,5.0,20-Oct,3-Jan,7.478006105,21-Oct,20-Dec,7.0,4.0,6.0,5.0,21-Oct,20-Dec,5.937531239,20-Oct,4-Dec,6.0,5.0,6.0,5.0,20-Oct,4-Dec,5.007582037,23-May,22-Jun,5.0,6.0,5.0,6.0,21-Oct,20-Nov,3.586941603,22-May,6-Jun,5.0,6.0,5.0,6.0,22-May,6-Jun,2.955292281
7,BAESF,BAE Systems PLC,6.2100000379999996,False,2009.0,,15-Nov,29-Jan,6.0,5.0,6.0,5.0,15-Nov,29-Jan,4.97491722,29-Nov,28-Jan,6.0,5.0,6.0,5.0,29-Nov,28-Jan,5.145253479,14-Mar,28-Apr,8.0,3.0,8.0,3.0,17-Dec,31-Jan,6.329167912999999,31-Dec,30-Jan,10.0,1.0,10.0,1.0,31-Dec,30-Jan,4.865798068999999,1-Apr,16-Apr,7.0,4.0,7.0,4.0,1-Apr,16-Apr,3.089036638
8,BAESY,BAE Systems PLC,25.10000038,False,2009.0,,9-Nov,23-Jan,6.0,5.0,6.0,5.0,9-Nov,23-Jan,5.647838936,28-Nov,27-Jan,7.0,4.0,7.0,4.0,28-Nov,27-Jan,5.20589985,6-Aug,20-Sep,7.0,4.0,7.0,4.0,8-Aug,22-Sep,4.428297167,23-Aug,22-Sep,8.0,3.0,8.0,3.0,23-Aug,22-Sep,4.76012863,6-Sep,21-Sep,9.0,2.0,9.0,2.0,6-Sep,21-Sep,3.7393305580000002
9,BIDU,Baidu Inc,143.33000180000002,False,2009.0,,23-Aug,6-Nov,6.0,5.0,6.0,5.0,23-Aug,6-Nov,7.820144163999999,29-May,28-Jul,6.0,5.0,6.0,5.0,29-May,28-Jul,8.434605643,13-Jun,28-Jul,6.0,5.0,6.0,5.0,13-Jun,28-Jul,7.615522388,26-Jun,26-Jul,7.0,4.0,7.0,4.0,26-Jun,26-Jul,5.6145746889999995,7-Apr,22-Apr,8.0,3.0,8.0,3.0,7-Apr,22-Apr,3.6567968
10,BBBK,Baker Boyer Bancorp,69.25,False,2009.0,,13-May,27-Jul,7.0,4.0,7.0,4.0,4-Jan,19-Mar,5.710703337000001,26-Oct,25-Dec,7.0,4.0,7.0,4.0,3-Jan,3-Mar,8.956602744,6-Nov,21-Dec,5.0,6.0,5.0,6.0,18-Jan,3-Mar,9.245739813,23-May,22-Jun,5.0,6.0,5.0,6.0,26-Jan,25-Feb,5.034335418,7-Jun,22-Jun,3.0,8.0,3.0,8.0,5-Feb,20-Feb,3.56967627
11,BKR,Baker Hughes Co,17.51000023,False,2009.0,,9-Mar,23-May,6.0,5.0,6.0,5.0,9-Mar,23-May,3.882292993,13-Mar,12-May,6.0,5.0,6.0,5.0,13-Mar,12-May,4.73441743,28-Mar,12-May,6.0,5.0,6.0,5.0,28-Mar,12-May,6.4788284670000005,2-Apr,2-May,7.0,4.0,7.0,4.0,2-Apr,2-May,8.305393762000001,16-Apr,1-May,5.0,6.0,5.0,6.0,16-Apr,1-May,5.298108814
12,BWTX,Bakken Water Transfer Services Inc,0.01,False,2009.0,,2-Aug,16-Oct,5.0,6.0,5.0,6.0,2-Aug,16-Oct,27.99635388,3-Aug,2-Oct,5.0,6.0,5.0,6.0,3-Aug,2-Oct,26.07936589,29-May,13-Jul,4.0,7.0,4.0,7.0,29-May,13-Jul,-388.69001139999995,13-Jun,13-Jul,3.0,8.0,3.0,8.0,13-Jun,13-Jul,-50.68688712,17-Jun,2-Jul,4.0,7.0,4.0,7.0,17-Jun,2-Jul,18.08139713
13,BCPC,Balchem Corp,106.16999820000001,False,2009.0,,6-Aug,20-Oct,4.0,7.0,4.0,7.0,6-Aug,20-Oct,7.460516867000001,23-Aug,22-Oct,5.0,6.0,5.0,6.0,23-Aug,22-Oct,7.868430728,22-Aug,6-Oct,6.0,5.0,6.0,5.0,22-Aug,6-Oct,6.759484499,10-Mar,9-Apr,5.0,6.0,5.0,6.0,10-Mar,9-Apr,4.761820218,3-Sep,18-Sep,6.0,5.0,6.0,5.0,3-Sep,18-Sep,4.230614691
14,BAFBF,Balfour Beatty PLC,2.650000095,False,2010.0,,14-Dec,27-Feb,5.0,5.0,5.0,5.0,14-Dec,27-Feb,5.337856445,29-Dec,27-Feb,6.0,4.0,6.0,4.0,29-Dec,27-Feb,3.838558243,16-Aug,30-Sep,4.0,6.0,4.0,6.0,16-Aug,30-Sep,4.789116114,30-Nov,30-Dec,5.0,5.0,5.0,5.0,30-Nov,30-Dec,3.4357893789999996,12-Apr,27-Apr,5.0,5.0,5.0,5.0,12-Feb,27-Feb,3.817549845
15,BCNN,Balincan USA Inc,0.200000003,False,2009.0,,16-Mar,30-May,1.0,10.0,1.0,10.0,16-Mar,30-May,16.62698864,20-Mar,19-May,2.0,9.0,2.0,9.0,20-Mar,19-May,18.36045801,12-Apr,27-May,2.0,9.0,2.0,9.0,12-Apr,27-May,14.875474800000003,12-Dec,11-Jan,3.0,8.0,3.0,8.0,12-Dec,11-Jan,15.60442607,16-Aug,31-Aug,3.0,8.0,3.0,8.0,16-Aug,31-Aug,18.69702345
