,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,XTGRF,Xtra-Gold Resources Corp,0.948300004,False,2009.0,,7-May,21-Jul,6.0,5.0,6.0,5.0,7-May,21-Jul,13.09533657,22-Dec,20-Feb,5.0,6.0,5.0,6.0,22-Dec,20-Feb,14.67949078,21-May,5-Jul,5.0,6.0,5.0,6.0,21-May,5-Jul,7.3915332529999995,3-Jun,3-Jul,5.0,6.0,5.0,6.0,3-Jun,3-Jul,8.716141967,22-Jan,6-Feb,6.0,5.0,6.0,5.0,22-Jan,6-Feb,5.297630607
1,XTLB,XTL Biopharmaceuticals Ltd,2.329999924,False,2009.0,,4-May,18-Jul,5.0,6.0,5.0,6.0,4-May,18-Jul,5.433992021,5-Jun,4-Aug,6.0,5.0,6.0,5.0,5-Jun,4-Aug,10.463653,22-Jun,6-Aug,4.0,7.0,4.0,7.0,22-Jun,6-Aug,6.848031282000001,3-Jul,2-Aug,4.0,7.0,4.0,7.0,3-Jul,2-Aug,8.386310766,25-Oct,9-Nov,5.0,6.0,5.0,6.0,25-Oct,9-Nov,5.893423059
2,XRESF,Xtierra Inc,0.109999999,False,2010.0,,23-Dec,8-Mar,8.0,2.0,8.0,2.0,23-Dec,8-Mar,34.55381064,8-Jan,8-Mar,6.0,4.0,6.0,4.0,8-Jan,8-Mar,32.0226373,22-Dec,5-Feb,5.0,5.0,5.0,5.0,22-Dec,5-Feb,33.72422018,27-Jun,27-Jul,5.0,5.0,5.0,5.0,27-Jun,27-Jul,18.75164418,9-Aug,24-Aug,3.0,7.0,3.0,7.0,9-Aug,24-Aug,12.61145271
3,XTNT,Xtant Medical Holdings Inc,1.25999999,False,2010.0,,7-Jan,22-Mar,6.0,4.0,6.0,4.0,7-Jan,22-Mar,-12.1113626,27-Jun,26-Aug,6.0,4.0,6.0,4.0,27-Jun,26-Aug,-4.581159112,3-Jul,17-Aug,3.0,7.0,3.0,7.0,3-Jul,17-Aug,0.8708879420000001,2-Feb,3-Mar,4.0,6.0,4.0,6.0,2-Feb,3-Mar,7.871825577999999,16-Feb,2-Mar,6.0,4.0,6.0,4.0,16-Feb,2-Mar,5.736272272000001
4,XSPA,XpresSpa Group Inc,1.646600008,False,2010.0,,22-Dec,7-Mar,6.0,4.0,6.0,4.0,22-Dec,7-Mar,7.116542526,2-Jan,2-Mar,7.0,3.0,7.0,3.0,2-Jan,2-Mar,3.827856112,26-Aug,10-Oct,7.0,3.0,7.0,3.0,26-Aug,10-Oct,8.527767049,17-Jan,16-Feb,6.0,4.0,6.0,4.0,17-Jan,16-Feb,9.41737819,4-Sep,19-Sep,5.0,5.0,5.0,5.0,4-Sep,19-Sep,9.841494332
5,XPO,XPO Logistics Inc,105.0,False,2009.0,,13-Dec,26-Feb,7.0,4.0,7.0,4.0,13-Dec,26-Feb,10.98654294,21-Dec,19-Feb,8.0,3.0,8.0,3.0,21-Dec,19-Feb,9.450921709,13-Oct,27-Nov,8.0,3.0,8.0,3.0,13-Oct,27-Nov,6.680654747999999,13-Oct,12-Nov,5.0,6.0,5.0,6.0,13-Oct,12-Nov,6.994603991,3-Feb,18-Feb,4.0,7.0,4.0,7.0,3-Feb,18-Feb,5.359044581
6,XPER,Xperi Holding Corp,18.39999962,False,2009.0,,6-Oct,20-Dec,5.0,6.0,5.0,6.0,6-Oct,20-Dec,11.22800705,30-Oct,29-Dec,4.0,7.0,4.0,7.0,30-Oct,29-Dec,12.71615551,3-Nov,18-Dec,4.0,7.0,4.0,7.0,3-Nov,18-Dec,10.76206004,13-Nov,13-Dec,5.0,6.0,5.0,6.0,17-Nov,17-Dec,5.456011177000001,7-Mar,22-Mar,5.0,6.0,5.0,6.0,7-Mar,22-Mar,2.344380217
7,XOMA,XOMA Corp,32.09999847,False,2009.0,,3-Nov,17-Jan,5.0,6.0,5.0,6.0,3-Nov,17-Jan,7.498642766000001,20-Mar,19-May,5.0,6.0,5.0,6.0,20-Mar,19-May,6.529903589,29-Oct,13-Dec,4.0,7.0,4.0,7.0,29-Oct,13-Dec,9.56288486,2-Nov,2-Dec,5.0,6.0,5.0,6.0,2-Nov,2-Dec,11.688464100000001,26-Aug,10-Sep,7.0,4.0,7.0,4.0,26-Aug,10-Sep,5.871187647
8,EMDF,XL Rent Inc,0.0084,False,2009.0,,6-Jan,21-Mar,5.0,6.0,5.0,6.0,6-Jan,21-Mar,27.73002713,29-Jan,29-Mar,6.0,5.0,6.0,5.0,29-Jan,29-Mar,26.01829358,6-Jan,20-Feb,7.0,4.0,7.0,4.0,6-Jan,20-Feb,21.57234146,27-Jan,26-Feb,4.0,7.0,4.0,7.0,27-Jan,26-Feb,6.097018465,24-Sep,9-Oct,2.0,9.0,2.0,9.0,24-Sep,9-Oct,27.65164047
9,XIN,Xinyuan Real Estate Co Ltd,2.031899929,False,2009.0,,3-Nov,17-Jan,5.0,6.0,5.0,6.0,31-Jan,15-Apr,4.506094923,19-Jul,17-Sep,7.0,4.0,6.0,5.0,10-Feb,10-Apr,4.112556441000001,1-Oct,15-Nov,4.0,7.0,4.0,7.0,30-Jan,15-Mar,3.885248537,7-May,6-Jun,5.0,6.0,5.0,6.0,1-Feb,2-Mar,4.369087635,27-Oct,11-Nov,5.0,6.0,5.0,6.0,27-Oct,11-Nov,5.320873228
