symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
RTWIQ,RTW Retailwinds Inc,0.0339,FALSE,2009,,1-Feb,16-Apr,6,6,5,5,1-Feb,16-Apr,8.37012505,3-Mar,2-May,4,7,4,7,3-Mar,2-May,11.48401323,14-Mar,28-Apr,5,6,5,6,14-Mar,28-Apr,12.74723525,21-Feb,22-Mar,6,5,6,5,21-Feb,22-Mar,8.049792731,13-Apr,28-Apr,4,7,4,7,13-Apr,28-Apr,4.699597069
RPT,RPT Realty,6.879899979,FALSE,2009,,6-Oct,20-Dec,7,7,4,4,4-Oct,18-Dec,7.955135365,7-Oct,6-Dec,7,4,7,4,7-Oct,6-Dec,8.143408353,19-Oct,3-Dec,6,5,6,5,1-Oct,15-Nov,6.892008646,10-Mar,9-Apr,5,6,5,6,10-Oct,9-Nov,5.011199626,18-Mar,2-Apr,5,6,5,6,23-Jun,8-Jul,3.675162277
RPM,RPM International Inc,88.86000061,FALSE,2009,,5-Oct,19-Dec,6,6,5,5,15-Oct,29-Dec,7.447594855,5-Oct,4-Dec,5,6,4,7,5-Oct,4-Dec,7.006290563,12-Oct,26-Nov,3,8,3,8,17-Oct,1-Dec,5.984744496,13-Oct,12-Nov,4,7,3,8,1-Nov,1-Dec,3.869616213,11-Oct,26-Oct,4,7,4,7,30-Oct,14-Nov,3.518892298
RES,RPC Inc,3.045000076,FALSE,2009,,25-Oct,8-Jan,6,6,5,5,25-Oct,8-Jan,4.072335974,29-Oct,28-Dec,7,4,7,4,29-Oct,28-Dec,4.73140637,23-Mar,7-May,4,7,4,7,23-Mar,7-May,8.267586133,26-Mar,25-Apr,5,6,5,6,26-Mar,25-Apr,7.171969713,9-Feb,24-Feb,4,7,4,7,9-Feb,24-Feb,3.116537194
RVT,Royce Value Trust Inc,14.93999958,FALSE,2009,,14-Oct,28-Dec,9,6,2,5,13-Dec,26-Feb,5.370911011,1-Nov,31-Dec,7,4,7,4,5-Oct,4-Dec,4.395829875,23-Mar,7-May,7,4,7,4,14-Mar,28-Apr,6.150038623,3-Apr,3-May,7,4,7,4,3-Apr,3-May,4.195409344,17-Apr,2-May,8,3,8,3,17-Apr,2-May,2.612144483
RMT,Royce Micro-Cap Trust Inc,9.024999619,FALSE,2009,,1-Feb,16-Apr,7,5,4,6,13-Dec,26-Feb,4.547565591,5-Feb,5-Apr,6,5,6,5,23-May,22-Jul,2.590410128,14-Nov,29-Dec,6,5,6,5,19-Mar,3-May,5.842334011,23-May,22-Jun,6,5,6,5,14-Dec,13-Jan,3.735592151,19-Nov,4-Dec,8,3,8,3,19-Nov,4-Dec,2.32596381
ROYL,Royale Energy Inc,0.090000004,FALSE,2009,,3-Mar,17-May,6,6,5,5,3-Mar,17-May,-13.11209839,24-May,23-Jul,5,6,5,6,24-May,23-Jul,-0.919792355,7-Jun,22-Jul,5,6,5,6,7-Jun,22-Jul,1.22855654,8-Jun,8-Jul,5,6,5,6,8-Jun,8-Jul,1.495690007,4-Jun,19-Jun,3,8,3,8,4-Jun,19-Jun,4.143297194
RYSMF,Royal Standard Minerals Inc,0.100000001,FALSE,2009,,20-Nov,3-Feb,4,4,7,7,20-Nov,3-Feb,11.21633075,28-Nov,27-Jan,4,7,4,7,28-Nov,27-Jan,20.84289221,4-Dec,18-Jan,5,6,5,6,4-Dec,18-Jan,-242.9602654,5-May,4-Jun,5,6,5,6,5-May,4-Jun,-268.8070589,2-Jan,17-Jan,5,6,5,6,2-Jan,17-Jan,6.91726165
RYLPF,Royal Philips NV,52.34999847,FALSE,2009,,22-May,5-Aug,8,8,3,3,22-May,5-Aug,5.474743778,1-Jun,31-Jul,6,5,6,5,1-Jun,31-Jul,5.692514471,16-Jun,31-Jul,4,7,4,7,16-Jun,31-Jul,6.021285,1-Jul,31-Jul,5,6,5,6,1-Jul,31-Jul,5.765978773,26-Aug,10-Sep,5,6,5,6,26-Aug,10-Sep,0.396169337
PHG,Royal Philips NV,51.52000046,FALSE,2009,,23-May,6-Aug,7,7,4,4,22-May,5-Aug,6.312984047,1-Jun,31-Jul,5,6,5,6,1-Jun,31-Jul,6.416686408,14-Jun,29-Jul,4,7,4,7,22-Jun,6-Aug,7.174048188,27-Jun,27-Jul,6,5,6,5,27-Jun,27-Jul,7.998387431,19-Jul,3-Aug,7,4,7,4,19-Jul,3-Aug,3.563424232
