,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,DBOXF,D-Box Technologies Inc,0.079999998,FALSE,2010,,29-Mar,12-Jun,3,7,3,7,29-Mar,12-Jun,5.433268985,9-Mar,8-May,4,6,4,6,9-Mar,8-May,5.895747201,19-Mar,3-May,4,6,4,6,19-Mar,3-May,8.594777712,24-May,23-Jun,5,5,5,5,24-May,23-Jun,6.761376998,18-Feb,4-Mar,5,5,5,5,18-Feb,4-Mar,3.532776106
1,DHI,D.R. Horton Inc,73.26999664,FALSE,2009,,9-Nov,23-Jan,7,4,7,4,30-Oct,13-Jan,8.302376255,9-Nov,8-Jan,9,2,8,3,9-Nov,8-Jan,5.735322919,17-Mar,1-May,9,2,9,2,17-Mar,1-May,8.662670872,22-Jun,22-Jul,8,3,8,3,22-Jun,22-Jul,5.33658138,5-Feb,20-Feb,7,4,7,4,5-Feb,20-Feb,2.703598508
2,DAAT,DAC Technologies Group International Inc,0.349999994,FALSE,2009,,3-Nov,17-Jan,3,8,3,8,3-Nov,17-Jan,3.682627185,10-Apr,9-Jun,3,8,3,8,10-Apr,9-Jun,13.16272549,10-Apr,25-May,3,8,3,8,10-Apr,25-May,15.8039189,28-Apr,28-May,1,10,1,10,28-Apr,28-May,10.35016187,14-May,29-May,1,10,1,10,14-May,29-May,-44.74309671
3,DNPCF,Dai Nippon Printing Co Ltd,20.18000031,FALSE,2009,,24-Feb,9-May,7,4,6,5,26-May,9-Aug,5.00772536,24-Feb,24-Apr,8,3,7,4,21-Jul,19-Sep,4.192077004,23-Mar,7-May,7,4,7,4,26-Dec,9-Feb,1.374582914,1-Sep,1-Oct,4,7,4,7,10-Jan,9-Feb,1.709763105,16-Sep,1-Oct,3,8,3,8,9-Sep,24-Sep,2.916533155
4,DNPLY,Dai Nippon Printing Co Ltd,9.430000305,FALSE,2009,,15-Mar,29-May,6,5,6,5,16-Nov,30-Jan,3.959827754,1-Jun,31-Jul,6,5,6,5,1-Jun,31-Jul,3.056449312,4-Jun,19-Jul,7,4,7,4,4-Jun,19-Jul,4.155074282,20-Mar,19-Apr,9,2,9,2,18-Jun,18-Jul,2.844525702,17-Mar,1-Apr,8,3,8,3,4-Sep,19-Sep,2.622929635
5,DSKYF,Daiichi Sankyo Co Ltd,32.79000092,FALSE,2009,,26-Aug,9-Nov,6,5,6,5,14-Jun,28-Aug,8.784136067,11-Jan,11-Mar,7,4,5,6,18-Jun,17-Aug,8.372524645,23-Jan,8-Mar,8,3,6,5,16-Jun,31-Jul,7.604895112,28-Aug,27-Sep,5,6,5,6,12-Jun,12-Jul,4.464535871,9-Sep,24-Sep,4,7,4,7,16-Jun,1-Jul,3.473861494
6,DSNKY,Daiichi Sankyo Co Ltd,33.22999954,FALSE,2009,,4-Jun,18-Aug,6,5,6,5,5-Jun,19-Aug,8.273861276,16-Jun,15-Aug,5,6,5,6,16-Jun,15-Aug,6.611347315,15-Jun,30-Jul,7,4,7,4,15-Jun,30-Jul,6.055085448,12-Jun,12-Jul,8,3,8,3,12-Jun,12-Jul,4.783444244,4-Aug,19-Aug,6,5,6,5,4-Aug,19-Aug,3.244955881
7,DKILY,Daikin Industries Ltd,22.25,FALSE,2010,,21-Apr,5-Jul,4,6,4,6,21-Apr,5-Jul,8.027148126,24-Apr,23-Jun,6,4,6,4,24-Apr,23-Jun,6.53953839,14-Mar,28-Apr,6,4,6,4,1-Oct,15-Nov,5.806298737,14-Mar,13-Apr,5,5,5,5,8-May,7-Jun,4.620020955,27-Oct,11-Nov,5,5,5,5,27-Oct,11-Nov,4.080458582
8,DJCO,Daily Journal Corp,270.3999939,FALSE,2009,,7-Apr,21-Jun,5,6,5,6,7-Apr,21-Jun,9.520555146,20-Apr,19-Jun,3,8,3,8,20-Apr,19-Jun,7.661538251,9-May,23-Jun,3,8,3,8,9-May,23-Jun,7.162579231,21-May,20-Jun,5,6,5,6,21-May,20-Jun,3.874447259,21-Oct,5-Nov,2,9,2,9,21-Oct,5-Nov,2.634032579
9,DDAIF,Daimler AG,62.22999954,FALSE,2009,,26-Sep,10-Dec,5,6,5,6,26-Sep,10-Dec,5.317727809,1-Sep,31-Oct,7,4,7,4,1-Sep,31-Oct,7.268841784,22-Mar,6-May,7,4,7,4,1-Oct,15-Nov,4.778072647,20-Aug,19-Sep,7,4,7,4,20-Aug,19-Sep,5.748197033,9-Oct,24-Oct,8,3,8,3,9-Oct,24-Oct,2.307540498
10,DMLRY,Daimler AG,15.5,FALSE,2010,,26-Sep,10-Dec,5,5,5,5,26-Sep,10-Dec,5.322375608,1-Sep,31-Oct,7,3,7,3,1-Sep,31-Oct,5.156407217,26-Sep,10-Nov,7,3,7,3,26-Sep,10-Nov,5.274372895,29-Sep,29-Oct,7,3,7,3,29-Sep,29-Oct,4.421029883,9-Dec,24-Dec,8,2,8,2,9-Dec,24-Dec,1.978565892
