symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
OZMLF,Oz Minerals Ltd,10.77999973,FALSE,2010,,5-Dec,18-Feb,6,6,4,4,5-Dec,18-Feb,7.084582282,25-May,24-Jul,7,3,7,3,25-May,24-Jul,12.80455103,27-Dec,10-Feb,7,3,7,3,27-Dec,10-Feb,7.036234557,17-May,16-Jun,7,3,7,3,17-May,16-Jun,12.83310756,6-Oct,21-Oct,6,4,6,4,6-Oct,21-Oct,4.448518216
TBGNF,Oxurion NV,2.660000086,FALSE,2009,,3-Jan,18-Mar,8,8,3,3,3-Jan,18-Mar,9.078329037,14-Jan,14-Mar,7,4,7,4,14-Jan,14-Mar,5.98714531,3-Feb,19-Mar,6,5,6,5,3-Feb,19-Mar,3.842205477,27-Dec,26-Jan,7,4,7,4,27-Dec,26-Jan,9.464613875,6-Apr,21-Apr,3,8,3,8,6-Apr,21-Apr,3.288105697
OXSQ,Oxford Square Capital Corp,2.839999914,FALSE,2009,,5-Apr,19-Jun,7,7,4,4,16-Dec,1-Mar,4.522802518,19-Apr,18-Jun,8,3,8,3,14-Apr,13-Jun,5.818846255,3-Aug,17-Sep,6,5,6,5,25-Jun,9-Aug,2.047346742,25-Jan,24-Feb,5,6,5,6,25-Jan,24-Feb,3.545097641,24-Jun,9-Jul,7,4,7,4,24-Jun,9-Jul,2.85172851
OXM,Oxford Industries Inc,56.40000153,FALSE,2009,,27-Jun,10-Sep,7,7,4,4,9-Jul,22-Sep,9.190244016,12-Apr,11-Jun,5,6,5,6,12-Apr,11-Jun,8.179574147,17-Mar,1-May,4,7,4,7,1-Aug,15-Sep,11.10880211,13-May,12-Jun,6,5,6,5,13-May,12-Jun,9.241432131,16-Apr,1-May,7,4,7,4,23-Aug,7-Sep,5.211373221
OXBDF,Oxford BioMedica PLC,11.44999981,FALSE,2009,,5-Mar,19-May,7,7,3,3,5-Mar,19-May,-3.148366497,22-Dec,20-Feb,5,5,5,5,22-Dec,20-Feb,13.06236006,25-Oct,9-Dec,5,4,5,4,25-Oct,9-Dec,4.3249844,27-Dec,26-Jan,5,4,5,4,27-Dec,26-Jan,12.20475845,23-Oct,7-Nov,4,5,4,5,23-Oct,7-Nov,7.336767403
OXBC,Oxford Bank Corp,21.25,FALSE,2009,,21-Mar,4-Jun,7,7,4,4,21-Mar,4-Jun,8.168756681,11-Sep,10-Nov,7,4,7,4,11-Sep,10-Nov,4.365466055,5-Oct,19-Nov,7,4,7,4,5-Oct,19-Nov,7.03799401,11-May,10-Jun,7,4,7,4,11-May,10-Jun,-2.683281289,1-Nov,16-Nov,6,5,6,5,1-Nov,16-Nov,11.46059787
OC,Owens-Corning Inc,72.55999756,FALSE,2009,,9-Nov,23-Jan,7,7,4,4,9-Nov,23-Jan,9.226774956,1-Oct,30-Nov,7,4,7,4,25-Oct,24-Dec,7.300013697,26-Oct,10-Dec,7,4,7,4,26-Oct,10-Dec,6.346131441,9-Nov,9-Dec,7,4,7,4,9-Nov,9-Dec,5.038337449,12-Nov,27-Nov,9,2,8,3,12-Nov,27-Nov,3.967241002
OMI,Owens & Minor Inc,23.17000008,FALSE,2009,,11-Aug,25-Oct,5,5,6,6,10-Aug,24-Oct,8.684431423,25-Aug,24-Oct,7,4,7,4,6-May,5-Jul,3.528085648,25-Aug,9-Oct,8,3,8,3,28-Aug,12-Oct,6.513622653,22-Aug,21-Sep,6,5,6,5,14-Sep,14-Oct,4.6075509,6-Jan,21-Jan,7,4,7,4,6-Jan,21-Jan,4.373303557
OWCP,OWC Pharmaceutical Research Corp,0.0085,FALSE,2009,,23-Dec,8-Mar,6,6,5,5,23-Dec,8-Mar,-23.02555745,24-Dec,22-Feb,7,4,7,4,24-Dec,22-Feb,-16.40417835,4-Jan,18-Feb,7,4,7,4,4-Jan,18-Feb,9.677146792,19-Aug,18-Sep,4,7,4,7,19-Aug,18-Sep,7.105343905,7-Jun,22-Jun,4,7,4,7,7-Jun,22-Jun,5.022165653
OVV,Ovintiv Inc,12.27000046,FALSE,2009,,9-Mar,23-May,6,6,5,5,9-Mar,23-May,14.97125207,10-Mar,9-May,5,6,5,6,11-Mar,10-May,11.96693349,26-Sep,10-Nov,4,7,4,7,26-Sep,10-Nov,-0.109025534,19-Aug,18-Sep,5,6,5,6,19-Aug,18-Sep,7.963701538,6-Sep,21-Sep,6,5,6,5,28-Mar,12-Apr,5.910839216
