symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
VYST,Vystar Corp,0.043499999,FALSE,2010,,15-Dec,28-Feb,4,4,6,6,15-Dec,28-Feb,19.89965286,30-Nov,29-Jan,5,5,5,5,30-Nov,29-Jan,15.97763353,19-Dec,2-Feb,4,6,4,6,19-Dec,2-Feb,10.58932063,28-Dec,27-Jan,5,5,5,5,28-Dec,27-Jan,22.5923014,18-Sep,3-Oct,4,6,4,6,18-Sep,3-Oct,10.07755552
VUZI,Vuzix Corporation,3.880000114,FALSE,2010,,1-May,15-Jul,5,5,5,5,1-May,15-Jul,8.369203886,7-May,6-Jul,5,5,5,5,7-May,6-Jul,9.883542916,20-Aug,4-Oct,5,5,5,5,20-Aug,4-Oct,9.432574155,31-Aug,30-Sep,4,6,4,6,31-Aug,30-Sep,10.08970087,20-Aug,4-Sep,6,4,6,4,20-Aug,4-Sep,4.830440154
VULMF,Vulcan Minerals Inc,0.059799999,FALSE,2009,,23-Jul,6-Oct,2,2,9,9,23-Jul,6-Oct,5.365200165,11-Nov,10-Jan,6,5,6,5,11-Nov,10-Jan,11.93147811,22-Aug,6-Oct,6,4,6,4,22-Aug,6-Oct,8.955954658,2-Jan,1-Feb,6,4,6,4,2-Jan,1-Feb,5.582396163,27-Nov,12-Dec,4,6,4,6,27-Nov,12-Dec,6.152596409
VMC,Vulcan Materials Co,139.3899994,FALSE,2009,,24-Oct,7-Jan,6,6,5,5,21-Oct,4-Jan,8.825522776,28-Oct,27-Dec,6,5,6,5,28-Oct,27-Dec,7.894762685,22-Mar,6-May,6,5,6,5,22-Mar,6-May,7.344703748,25-Oct,24-Nov,7,4,7,4,6-Apr,6-May,4.485300148,28-Oct,12-Nov,6,5,6,5,28-Oct,12-Nov,4.273974019
VULC,Vulcan International Corp,150,FALSE,2009,,18-Sep,2-Dec,6,6,5,5,18-Sep,2-Dec,4.303596031,28-Aug,27-Oct,6,5,6,5,28-Aug,27-Oct,7.363289578,9-Sep,24-Oct,4,7,4,7,9-Sep,24-Oct,6.228858475,22-Apr,22-May,5,6,5,6,9-Sep,9-Oct,4.681042875,16-Nov,1-Dec,4,7,4,7,9-Sep,24-Sep,3.823913855
VSEC,VSE Corp,35.5,FALSE,2009,,24-Oct,7-Jan,6,6,5,5,1-Sep,15-Nov,6.577585773,17-Nov,16-Jan,7,4,7,4,17-Nov,16-Jan,5.385218294,14-Nov,29-Dec,4,7,4,7,14-Nov,29-Dec,3.80500355,25-Sep,25-Oct,4,7,4,7,25-Sep,25-Oct,3.608221984,13-Apr,28-Apr,5,6,5,6,13-Apr,28-Apr,5.074409079
VSBN,VSB Bancorp Inc,20.25,FALSE,2009,,28-Aug,11-Nov,8,8,3,3,21-Mar,4-Jun,3.965481591,30-Apr,29-Jun,6,5,6,5,25-Aug,24-Oct,2.648322642,29-Aug,13-Oct,7,4,7,4,13-Apr,28-May,3.119191776,13-Sep,13-Oct,7,4,7,4,13-Sep,13-Oct,1.088329628,7-Mar,22-Mar,6,5,6,5,7-Jan,22-Jan,1.987784596
VIH,VPC Impact Acquisition Holdings,10.19999981,FALSE,2009,,1-Mar,15-May,4,4,3,3,1-Mar,15-May,7.168619923,16-Mar,15-May,2,5,2,5,16-Mar,15-May,7.955796547,15-Sep,30-Oct,3,4,3,4,15-Sep,30-Oct,7.168799006,1-May,31-May,3,4,3,4,1-May,31-May,3.228629708,12-Oct,27-Oct,3,4,3,4,12-Oct,27-Oct,1.811973011
PPR,Voya Prime Rate Trust,4.409999847,FALSE,2009,,14-Dec,27-Feb,7,7,4,4,14-Dec,27-Feb,4.177322774,18-Mar,17-May,10,1,9,2,28-Dec,26-Feb,3.134814631,21-Mar,5-May,10,1,7,4,4-Jan,18-Feb,1.939403102,1-Apr,1-May,8,3,8,3,6-Jan,5-Feb,2.233374827,21-Dec,5-Jan,8,3,8,3,13-Apr,28-Apr,1.409725312
IRR,Voya Natural Resources Equity Income Fund,2.579999924,FALSE,2009,,22-Jan,6-Apr,8,8,3,3,15-Jan,30-Mar,-4.646980727,13-Mar,12-May,6,5,6,5,1-Feb,1-Apr,-3.787245815,27-Feb,12-Apr,7,4,7,4,8-Aug,22-Sep,2.452174626,14-Mar,13-Apr,7,4,7,4,21-Aug,20-Sep,2.385415567,10-Mar,25-Mar,7,4,7,4,10-Mar,25-Mar,-3.540117227
