symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
UWHR,Uwharrie Capital Corp,5.25,FALSE,2009,,18-Jan,2-Apr,2,2,9,9,18-Jan,2-Apr,7.36149206,2-Feb,2-Apr,2,9,2,9,2-Feb,2-Apr,10.82121426,18-Feb,3-Apr,1,10,1,10,18-Feb,3-Apr,9.471703628,6-Dec,5-Jan,4,7,4,7,6-Dec,5-Jan,12.71344228,19-Sep,4-Oct,0,11,0,11,19-Sep,4-Oct,4.011351762
UVFT,UV Flu Technologies Inc,0.0137,FALSE,2009,,11-Apr,25-Jun,7,7,4,4,11-Apr,25-Jun,13.82582456,11-Apr,10-Jun,7,4,7,4,11-Apr,10-Jun,12.79613286,8-Apr,23-May,7,4,7,4,8-Apr,23-May,10.75726676,28-Dec,27-Jan,5,6,5,6,28-Dec,27-Jan,9.758389723,8-May,23-May,3,8,3,8,8-May,23-May,13.08344164
UTSI,UTStarcom Holdings Corp,0.949999988,FALSE,2009,,6-Aug,20-Oct,3,3,8,8,6-Aug,20-Oct,6.340577719,25-Jul,23-Sep,5,6,5,6,25-Jul,23-Sep,-0.187540921,8-Aug,22-Sep,2,9,2,9,8-Aug,22-Sep,4.566979983,12-Aug,11-Sep,3,8,3,8,12-Aug,11-Sep,2.63181067,24-Aug,8-Sep,7,4,7,4,24-Aug,8-Sep,5.888036465
UTGN,UTG Inc,25,FALSE,2009,,5-May,19-Jul,3,3,8,8,5-May,19-Jul,7.591440254,25-Apr,24-Jun,2,9,2,9,25-Apr,24-Jun,4.908958662,13-Jun,28-Jul,3,8,3,8,13-Jun,28-Jul,6.10691367,23-May,22-Jun,0,11,0,11,23-May,22-Jun,2.06030288,27-May,11-Jun,3,8,3,8,27-May,11-Jun,3.67565967
UTMD,Utah Medical Products Inc,84.44000244,FALSE,2009,,13-Sep,27-Nov,5,5,6,6,13-Sep,27-Nov,5.238201762,20-Sep,19-Nov,5,6,5,6,20-Sep,19-Nov,4.484987062,20-Sep,4-Nov,4,7,4,7,20-Sep,4-Nov,3.514545791,13-Oct,12-Nov,4,7,4,7,13-Oct,12-Nov,4.123637865,13-Jun,28-Jun,5,6,5,6,7-Feb,22-Feb,3.453156064
USIO,Usio Inc,1.570000052,FALSE,2009,,11-Jul,24-Sep,6,6,5,5,11-Jul,24-Sep,11.8390851,16-Jun,15-Aug,8,3,8,3,16-Jun,15-Aug,15.11837208,30-Jun,14-Aug,7,4,7,4,30-Jun,14-Aug,18.35179695,25-Jul,24-Aug,7,4,7,4,25-Jul,24-Aug,15.89098586,30-Jul,14-Aug,4,7,4,7,30-Jul,14-Aug,13.94325079
USNZY,"Usinas Siderurgicas de Minas Gerais,S.A.",2.079999924,FALSE,2010,,27-Aug,10-Nov,6,6,4,4,27-Aug,10-Nov,5.399889574,23-Nov,22-Jan,4,6,4,6,23-Nov,22-Jan,7.790062074,29-Sep,13-Nov,4,6,4,6,29-Sep,13-Nov,3.905905616,26-Aug,25-Sep,5,5,5,5,26-Aug,25-Sep,9.160548659,4-Oct,19-Oct,5,5,5,5,25-Jun,10-Jul,5.555473132
USNA,Usana Health Sciences Inc,74.81999969,FALSE,2009,,13-May,27-Jul,3,3,8,8,13-May,27-Jul,3.929729231,21-Mar,20-May,5,6,5,6,21-Mar,20-May,12.62733709,27-Mar,11-May,4,7,4,7,27-Mar,11-May,10.53927986,28-Mar,27-Apr,3,8,3,8,28-Mar,27-Apr,9.034578279,13-Apr,28-Apr,3,8,3,8,13-Apr,28-Apr,7.778125076
USAK,USA Truck Inc,9.779999733,FALSE,2009,,19-Dec,4-Mar,8,8,3,3,19-Dec,4-Mar,6.431509409,8-Jan,8-Mar,7,4,7,4,8-Jan,8-Mar,1.843204172,19-Jan,4-Mar,6,5,6,5,19-Jan,4-Mar,2.775700493,23-Jan,22-Feb,6,5,6,5,23-Jan,22-Feb,6.415522258,6-Nov,21-Nov,9,2,9,2,6-Nov,21-Nov,5.439183247
USAT,USA Technologies Inc,8.260000229,FALSE,2009,,15-Nov,29-Jan,6,6,5,5,15-Nov,29-Jan,13.28486098,20-May,19-Jul,7,4,7,4,20-May,19-Jul,9.637873482,21-May,5-Jul,8,3,8,3,21-May,5-Jul,10.50951024,23-Mar,22-Apr,7,4,7,4,23-Mar,22-Apr,9.542583705,19-May,3-Jun,8,3,8,3,19-May,3-Jun,7.861325968
