symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
PZN,Pzena Investment Management Inc,6.389999866,FALSE,2009,,8-Sep,22-Nov,6,5,5,6,8-Sep,22-Nov,8.444954473,5-Sep,4-Nov,5,6,5,6,5-Sep,4-Nov,6.169085948,5-Sep,20-Oct,5,6,5,6,5-Sep,20-Oct,7.77380251,6-Jun,6-Jul,3,8,3,8,6-Jun,6-Jul,6.292009138,3-Feb,18-Feb,6,5,6,5,24-Jun,9-Jul,3.946685003
PYXSQ,Pyxus International Inc,0.150000006,FALSE,2009,,29-Jan,13-Apr,6,6,5,5,29-Jan,13-Apr,3.056146156,5-Feb,5-Apr,5,6,5,6,5-Feb,5-Apr,3.243237228,8-Feb,24-Mar,4,7,4,7,8-Feb,24-Mar,6.490848989,23-Feb,24-Mar,3,8,3,8,23-Feb,24-Mar,4.017683336,12-Mar,27-Mar,3,8,3,8,12-Mar,27-Mar,5.863336396
PVH,PVH Corp,78.53500366,FALSE,2009,,11-Feb,26-Apr,7,7,4,4,11-Feb,26-Apr,8.076656353,15-Mar,14-May,7,4,7,4,15-Mar,14-May,8.548679136,19-Mar,3-May,4,7,4,7,19-Mar,3-May,12.72790228,20-Mar,19-Apr,5,6,5,6,20-Mar,19-Apr,10.22435978,22-Mar,6-Apr,6,5,6,5,22-Mar,6-Apr,7.846711887
PPT,Putnam Premier Income Trust,4.635000229,FALSE,2009,,22-Feb,7-May,9,9,2,2,20-Jan,4-Apr,-0.310640093,4-Mar,3-May,9,2,8,3,15-Nov,14-Jan,1.200959504,23-Mar,7-May,8,3,8,3,20-Mar,4-May,1.620272706,3-Apr,3-May,8,3,7,4,23-Jan,22-Feb,0.942570783,18-Apr,3-May,7,4,7,4,22-Mar,6-Apr,1.102416532
PMO,Putnam Municipal Opportunities Trust,13.36950016,FALSE,2009,,15-Mar,29-May,7,6,4,5,8-Jun,22-Aug,1.758435886,23-Mar,22-May,10,1,9,2,23-Mar,22-May,4.060831715,19-Mar,3-May,9,2,9,2,6-Jul,20-Aug,2.132482563,22-Mar,21-Apr,9,2,9,2,22-Mar,21-Apr,3.380721652,18-Mar,2-Apr,10,1,10,1,21-Mar,5-Apr,2.105976489
PIM,Putnam Master Intermediate Income Trust,4.150000095,FALSE,2009,,28-Feb,13-May,9,8,2,3,25-Jan,9-Apr,-0.484064651,15-Mar,14-May,9,2,8,3,19-Mar,18-May,1.942292828,23-Mar,7-May,8,3,7,4,24-Mar,8-May,2.478896652,12-Dec,11-Jan,7,4,7,4,23-Jun,23-Jul,1.316654921,14-Dec,29-Dec,7,4,7,4,23-Mar,7-Apr,1.089707986
PMM,Putnam Managed Municipal Income Trust,7.880000114,FALSE,2009,,15-Mar,29-May,8,7,3,4,15-Mar,29-May,2.855087225,23-Mar,22-May,10,1,10,1,20-Mar,19-May,3.396500096,23-Mar,7-May,10,1,9,2,23-Mar,7-May,3.252199053,16-Mar,15-Apr,9,2,8,3,23-Mar,22-Apr,2.823714216,16-Mar,31-Mar,9,2,9,2,7-Aug,22-Aug,1.890197532
PURY,PureRay Corp,0.007,FALSE,2009,,15-Jul,28-Sep,6,6,4,4,15-Jul,28-Sep,27.60065784,22-Sep,21-Nov,5,5,5,5,22-Sep,21-Nov,29.31454173,12-Oct,26-Nov,3,7,3,7,12-Oct,26-Nov,24.61276547,22-Oct,21-Nov,2,8,2,8,22-Oct,21-Nov,26.88820597,19-Oct,3-Nov,1,9,1,9,19-Oct,3-Nov,9.8221595
PUMGF,Purepoint Uranium Group Inc,0.039999999,FALSE,2009,,4-Dec,17-Feb,6,6,5,5,4-Dec,17-Feb,27.13904162,19-Dec,17-Feb,8,3,8,3,19-Dec,17-Feb,28.83446247,19-Dec,2-Feb,8,3,8,3,19-Dec,2-Feb,25.53266177,22-Dec,21-Jan,8,3,8,3,22-Dec,21-Jan,22.4348458,8-Jan,23-Jan,7,4,7,4,8-Jan,23-Jan,18.86981079
PCRTF,PureCircle Ltd,1.00999999,FALSE,2010,,4-Dec,17-Feb,4,4,6,6,4-Dec,17-Feb,6.546163442,17-Dec,15-Feb,5,5,5,5,17-Dec,15-Feb,6.642366784,21-Jun,5-Aug,5,5,5,5,21-Jun,5-Aug,6.059713786,7-Jul,6-Aug,3,7,3,7,7-Jul,6-Aug,4.317184596,2-Jan,17-Jan,8,2,8,2,2-Jan,17-Jan,3.501946638
