symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
KYZN,Kyzen Corp,2.700000048,FALSE,2009,,5-May,19-Jul,6,6,5,5,5-May,19-Jul,11.42458099,22-Jun,21-Aug,5,6,5,6,22-Jun,21-Aug,11.88434505,3-May,17-Jun,5,6,5,6,3-May,17-Jun,6.96138833,24-Oct,23-Nov,5,6,5,6,24-Oct,23-Nov,7.26020988,25-Apr,10-May,3,8,3,8,25-Apr,10-May,1.329177084
KBPH,Kyto Technology And Life Science Inc,2,FALSE,2009,,21-Dec,6-Mar,1,1,10,10,21-Dec,6-Mar,11.73241524,5-Feb,5-Apr,0,11,0,11,5-Feb,5-Apr,2.089947315,18-Feb,3-Apr,0,11,0,11,18-Feb,3-Apr,2.089947315,9-Dec,8-Jan,0,11,0,11,9-Dec,8-Jan,11.37046221,15-Dec,30-Dec,0,11,0,11,15-Dec,30-Dec,11.37046221
KYOCY,Kyocera Corp,58.52999878,FALSE,2009,,16-Feb,1-May,5,5,6,6,16-Feb,1-May,7.160852781,15-Mar,14-May,6,5,6,5,14-Mar,13-May,6.740358806,19-Mar,3-May,6,5,6,5,19-Mar,3-May,7.426505514,20-Mar,19-Apr,5,6,5,6,31-Mar,30-Apr,3.738544217,18-Apr,3-May,6,5,6,5,18-Apr,3-May,4.685853081
KVHI,KVH Industries Inc,10.01000023,FALSE,2009,,8-May,22-Jul,7,7,4,4,8-May,22-Jul,6.252521034,19-Aug,18-Oct,5,6,5,6,19-Aug,18-Oct,7.578617325,7-Jun,22-Jul,6,5,6,5,7-Jun,22-Jul,5.510632214,19-Sep,19-Oct,6,5,6,5,19-Sep,19-Oct,6.573575486,16-Sep,1-Oct,5,6,5,6,16-Sep,1-Oct,3.373347029
BCDMF,KuuHubb Inc,0.079999998,FALSE,2009,,24-Jul,7-Oct,4,4,7,7,24-Jul,7-Oct,-13.19306617,24-Jul,22-Sep,4,7,4,7,24-Jul,22-Sep,16.35712702,26-Oct,10-Dec,4,7,4,7,26-Oct,10-Dec,-0.790426109,26-Oct,25-Nov,2,9,2,9,26-Oct,25-Nov,5.305124782,13-Apr,28-Apr,0,11,0,11,13-Apr,28-Apr,11.20496957
CSBTF,Kuros Biosciences Ltd,2.299999952,FALSE,2009,,3-May,17-Jul,3,3,7,7,3-May,17-Jul,6.304723489,24-Dec,22-Feb,3,7,3,7,24-Dec,22-Feb,12.02030736,24-Dec,7-Feb,4,6,4,6,24-Dec,7-Feb,9.180396553,5-Jan,4-Feb,3,7,3,7,5-Jan,4-Feb,8.913207364,9-Jan,24-Jan,2,8,2,8,9-Jan,24-Jan,10.24146912
KTWIF,Kurita Water Industries Ltd,30.23999977,FALSE,2009,,13-Jan,28-Mar,7,6,4,5,27-Aug,10-Nov,3.567321832,28-Jan,28-Mar,7,4,6,5,29-Aug,28-Oct,4.147508113,29-Mar,13-May,7,4,6,5,22-Mar,6-May,5.032321296,9-Aug,8-Sep,4,7,9,2,7-Apr,7-May,3.8799725,5-Feb,20-Feb,2,9,7,4,24-Apr,9-May,2.661690274
KURRY,Kuraray Co Ltd,32.28749847,FALSE,2010,,20-Oct,3-Jan,3,3,7,7,10-Sep,24-Nov,3.720743061,3-Nov,2-Jan,4,6,4,6,18-Mar,17-May,5.285959138,17-Mar,1-May,3,7,3,7,16-Mar,30-Apr,6.022681804,3-Nov,3-Dec,4,6,4,6,3-Nov,3-Dec,4.296792916,8-Sep,23-Sep,5,5,5,5,9-Sep,24-Sep,2.811895233
KUNUF,Kunlun Energy Co Ltd,0.779999971,FALSE,2010,,1-Oct,15-Dec,5,5,5,5,1-Oct,15-Dec,4.098518484,4-Oct,3-Dec,5,5,5,5,4-Oct,3-Dec,5.927052947,27-Sep,11-Nov,4,6,4,6,27-Sep,11-Nov,2.859663443,16-May,15-Jun,6,4,6,4,24-Dec,23-Jan,2.279356438,7-Jan,22-Jan,3,7,3,7,7-Jan,22-Jan,2.015415573
KIROY,Kumba Iron Ore Ltd,11.26000023,FALSE,2009,,24-Oct,7-Jan,6,6,5,5,24-Oct,7-Jan,11.59963882,31-Oct,30-Dec,6,5,6,5,31-Oct,30-Dec,9.013104176,12-Dec,26-Jan,6,5,6,5,12-Dec,26-Jan,5.131573377,11-Dec,10-Jan,5,6,5,6,11-Dec,10-Jan,9.346992045,4-Oct,19-Oct,8,3,8,3,4-Oct,19-Oct,5.613844428
