symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
IZNN,IZON Network Inc,0.00815,FALSE,2009,,20-Dec,5-Mar,3,3,8,8,20-Dec,5-Mar,-7.115845793,11-Mar,10-May,5,6,5,6,11-Mar,10-May,1.824724863,21-Dec,4-Feb,6,5,6,5,21-Dec,4-Feb,-1.716736146,4-Jun,4-Jul,3,8,3,8,4-Jun,4-Jul,12.72955777,8-Jun,23-Jun,3,8,3,8,8-Jun,23-Jun,15.18906694
PHYOF,IXICO PLC,0.670000017,FALSE,2009,,3-Jul,16-Sep,1,1,10,10,3-Jul,16-Sep,9.401877962,18-Jul,16-Sep,1,10,1,10,18-Jul,16-Sep,9.72085716,2-Aug,16-Sep,1,10,1,10,2-Aug,16-Sep,9.72085716,17-Aug,16-Sep,1,10,1,10,17-Aug,16-Sep,8.72085712,1-Sep,16-Sep,1,10,1,10,1-Sep,16-Sep,8.156898144
IWGFF,IWG PLC,4.5,FALSE,2009,,15-Feb,30-Apr,7,7,4,4,15-Feb,30-Apr,3.222273091,27-Dec,25-Feb,8,3,8,3,27-Dec,25-Feb,6.491243624,16-Mar,30-Apr,7,4,7,4,16-Mar,30-Apr,8.955354687,5-Apr,5-May,3,8,3,8,5-Apr,5-May,5.949494735,4-Apr,19-Apr,1,10,1,10,4-Apr,19-Apr,5.248774368
IVDA,Iveda Solutions Inc,0.319999993,FALSE,2009,,26-Jan,10-Apr,4,4,7,7,26-Jan,10-Apr,-1.566116134,22-Nov,21-Jan,4,7,4,7,22-Nov,21-Jan,10.49771182,24-Nov,8-Jan,3,8,3,8,24-Nov,8-Jan,18.99342345,22-Nov,22-Dec,1,10,1,10,22-Nov,22-Dec,12.5918909,20-Dec,4-Jan,1,10,1,10,20-Dec,4-Jan,10.5572841
ITVPY,ITV PLC,12.75,FALSE,2010,,30-Oct,13-Jan,6,6,4,4,30-Oct,13-Jan,8.684153644,5-Nov,4-Jan,7,3,7,3,5-Nov,4-Jan,5.947485143,21-Mar,5-May,7,3,7,3,20-Nov,4-Jan,6.127316522,5-Apr,5-May,8,2,8,2,5-Dec,4-Jan,5.111210139,16-Apr,1-May,7,3,7,3,6-Feb,21-Feb,2.966322237
ITVPF,ITV PLC,1,FALSE,2009,,30-Oct,13-Jan,7,7,4,4,30-Oct,13-Jan,7.501956662,2-Nov,1-Jan,8,3,8,3,2-Nov,1-Jan,5.878859736,14-Dec,28-Jan,8,3,8,3,14-Dec,28-Jan,7.214880594,4-Apr,4-May,8,3,8,3,16-Dec,15-Jan,5.778944931,8-Apr,23-Apr,9,2,9,2,8-Apr,23-Apr,4.393987108
ITRN,Ituran Location and Control Ltd,16.62000084,FALSE,2009,,22-Mar,5-Jun,5,8,6,3,27-Oct,10-Jan,5.895531225,22-Mar,21-May,4,7,7,4,11-Nov,10-Jan,4.71949206,25-Mar,9-May,6,5,7,4,22-Mar,6-May,3.597440316,19-May,18-Jun,6,5,7,4,27-Sep,27-Oct,3.5920148,29-Jun,14-Jul,3,8,8,3,29-Mar,13-Apr,3.418949064
ITT,ITT Inc,72.65000153,FALSE,2009,,30-Oct,13-Jan,6,6,5,5,30-Oct,13-Jan,9.091343574,9-Oct,8-Dec,8,3,8,3,9-Oct,8-Dec,8.862438895,12-Oct,26-Nov,5,6,5,6,12-Oct,26-Nov,8.67263392,30-Oct,29-Nov,6,5,6,5,12-Oct,11-Nov,7.832408265,30-Oct,14-Nov,8,3,8,3,30-Oct,14-Nov,7.829871751
ITRO,Itronics Inc,0.646000028,FALSE,2009,,6-Oct,20-Dec,5,5,6,6,6-Oct,20-Dec,3.832859361,24-Jul,22-Sep,6,5,6,5,24-Jul,22-Sep,4.496987854,4-Jan,18-Feb,7,4,7,4,4-Jan,18-Feb,16.03394843,15-Jul,14-Aug,6,5,6,5,15-Jul,14-Aug,18.52712818,31-Oct,15-Nov,5,6,5,6,31-Oct,15-Nov,5.419745639
ITRI,Itron Inc,75.83000183,FALSE,2009,,4-Aug,18-Oct,6,6,5,5,4-Aug,18-Oct,5.467438521,3-Aug,2-Oct,6,5,6,5,3-Aug,2-Oct,3.399482621,6-Aug,20-Sep,6,5,6,5,6-Aug,20-Sep,4.364748504,22-Aug,21-Sep,6,5,6,5,22-Aug,21-Sep,5.012352823,6-Sep,21-Sep,8,3,8,3,6-Sep,21-Sep,3.349617138
ITMC,Itoco Inc,0.108999997,FALSE,2009,,14-Aug,28-Oct,3,3,7,7,14-Aug,28-Oct,24.78378863,18-Aug,17-Oct,3,7,3,7,18-Aug,17-Oct,25.96150951,2-Sep,17-Oct,2,8,2,8,2-Sep,17-Oct,20.12328155,17-Jun,17-Jul,2,8,2,8,17-Jun,17-Jul,25.2406385,16-Mar,31-Mar,2,8,2,8,16-Mar,31-Mar,16.56017372
