symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
LYBC,Lyons Bancorp Inc,35,FALSE,2009,,28-Dec,13-Mar,8,8,3,3,28-Dec,13-Mar,11.204372,22-Dec,20-Feb,8,3,8,3,12-Jan,12-Mar,9.177329899,25-Sep,9-Nov,7,4,7,4,29-Dec,12-Feb,4.861566044,11-Jun,11-Jul,6,5,6,5,10-Feb,11-Mar,6.294368629,22-Jun,7-Jul,3,8,3,8,28-Feb,14-Mar,5.807342898
LYB,LyondellBasell Industries NV,82.19999695,FALSE,2010,,24-Aug,7-Nov,8,8,2,2,4-Sep,18-Nov,5.338106983,12-Sep,11-Nov,7,3,7,3,12-Sep,11-Nov,4.897947228,7-Aug,21-Sep,7,3,7,3,7-Aug,21-Sep,7.714202786,27-Oct,26-Nov,6,4,6,4,25-Oct,24-Nov,3.293290873,21-Aug,5-Sep,6,4,6,4,26-Aug,10-Sep,2.589643394
LYSDY,Lynas Corp Ltd,2.539999962,FALSE,2010,,18-Dec,3-Mar,4,4,6,6,18-Dec,3-Mar,10.96128791,5-Dec,3-Feb,5,5,5,5,5-Dec,3-Feb,5.978143274,20-Dec,3-Feb,3,7,3,7,20-Dec,3-Feb,12.0818194,28-Jun,28-Jul,5,5,5,5,28-Jun,28-Jul,14.55596483,3-Oct,18-Oct,4,6,4,6,3-Oct,18-Oct,12.71653378
LYSCF,Lynas Corp Ltd,2.513000011,FALSE,2009,,17-May,31-Jul,4,4,7,7,17-May,31-Jul,9.444756442,9-Dec,7-Feb,5,6,5,6,9-Dec,7-Feb,5.172876563,5-Jul,19-Aug,4,7,4,7,5-Jul,19-Aug,8.625326384,28-Jun,28-Jul,4,7,4,7,28-Jun,28-Jul,12.92073596,30-Jun,15-Jul,6,5,6,5,30-Jun,15-Jul,7.882255961
LDL,Lydall Inc,24.12999916,FALSE,2009,,19-May,2-Aug,4,4,7,7,19-May,2-Aug,7.312668046,24-Jul,22-Sep,5,6,5,6,24-Jul,22-Sep,5.371872403,22-May,6-Jul,5,6,5,6,22-May,6-Jul,6.059488151,22-May,21-Jun,5,6,5,6,22-May,21-Jun,4.478568482,22-May,6-Jun,7,4,7,4,22-May,6-Jun,4.095561639
LVMUY,LVMH Moet Hennessy Louis Vuitton SE,114.7699966,FALSE,2009,,26-May,9-Aug,7,7,4,4,26-May,9-Aug,5.028474271,31-May,30-Jul,7,4,7,4,31-May,30-Jul,3.684216608,22-Mar,6-May,6,5,6,5,15-Jun,30-Jul,4.137046746,19-Mar,18-Apr,6,5,5,6,19-Mar,18-Apr,4.885065582,1-Apr,16-Apr,4,7,4,7,1-Apr,16-Apr,3.715793538
LVMHF,LVMH Moet Hennessy Louis Vuitton SE,574.289978,FALSE,2010,,9-Apr,23-Jun,6,6,4,4,26-May,9-Aug,4.782284568,31-May,30-Jul,7,3,7,3,31-May,30-Jul,3.877814167,15-Jun,30-Jul,6,4,6,4,15-Jun,30-Jul,3.491030869,7-Apr,7-May,5,5,5,5,7-Oct,6-Nov,5.886667502,17-Dec,1-Jan,2,8,2,8,17-Dec,1-Jan,1.755266132
LUPAQ,Lupatech SA,0.25999999,FALSE,2009,,23-Dec,8-Mar,4,4,7,7,23-Dec,8-Mar,15.92722853,13-Dec,11-Feb,7,4,7,4,13-Dec,11-Feb,11.57294019,29-Dec,12-Feb,9,2,9,2,29-Dec,12-Feb,10.52346452,3-Jan,2-Feb,7,4,7,4,3-Jan,2-Feb,11.24821686,18-Jan,2-Feb,5,6,5,6,18-Jan,2-Feb,6.566280817
LUNMF,Lundin Mining Corp,6.78000021,FALSE,2009,,26-Aug,9-Nov,7,7,4,4,26-Aug,9-Nov,4.098933475,25-Mar,24-May,5,6,5,6,25-Mar,24-May,8.48837794,26-Sep,10-Nov,5,6,5,6,26-Sep,10-Nov,7.589668747,28-Mar,27-Apr,6,5,6,5,28-Mar,27-Apr,7.113796407,28-Mar,12-Apr,8,3,8,3,28-Mar,12-Apr,4.982247805
FTMNF,Lundin Gold Inc,8.534999847,FALSE,2009,,10-Aug,24-Oct,6,6,5,5,10-Aug,24-Oct,6.816718839,17-Aug,16-Oct,5,6,5,6,17-Aug,16-Oct,7.038714494,10-Sep,25-Oct,5,6,5,6,10-Sep,25-Oct,7.776131993,18-Sep,18-Oct,4,7,4,7,18-Sep,18-Oct,5.160856912,5-Feb,20-Feb,5,6,5,6,5-Feb,20-Feb,6.328571557
