,2019,2020
01-02,,19.25
01-03,,19.25
01-06,,19.25
01-07,,19.25
01-08,,19.25
01-09,,19.25
01-10,,19.25
01-13,,19.25
01-14,,19.25
01-15,,19.25
01-16,,19.25
01-17,,17.25
01-21,,17.25
01-22,,17.25
01-23,,17.25
01-24,,17.25
01-27,,17.25
01-28,,17.25
01-29,,17.25
01-30,,17.25
01-31,,17.25
02-03,,17.25
02-04,,17.25
02-05,,17.25
02-06,,17.25
02-07,,17.25
02-10,,17.25
02-11,,17.25
02-12,,17.25
02-13,,17.25
02-14,,17.25
02-18,,17.25
02-19,,17.25
02-20,,17.25
02-21,,17.25
02-24,,17.25
02-25,,17.25
02-26,,17.25
02-27,,17.25
02-28,,17.25
03-02,,17.25
03-03,,17.25
03-04,,17.25
03-05,,17.25
03-06,,17.25
03-09,,17.25
03-10,,17.25
03-11,,17.25
03-12,,17.25
03-13,,17.25
03-16,,17.25
03-17,,17.25
03-18,,17.25
03-19,,17.25
03-20,,17.25
03-23,,17.25
03-24,,17.25
03-25,,17.25
03-26,,17.25
03-27,,17.25
03-30,,17.25
03-31,,17.25
04-01,,17.25
04-02,,17.25
04-03,,17.25
04-06,,17.25
04-07,,17.25
04-08,,17.25
04-09,,17.25
04-13,,17.25
04-14,,17.25
04-15,,17.25
04-16,,17.25
04-17,,17.25
04-20,,17.25
04-21,,17.25
04-22,,17.25
04-23,,17.25
04-24,,17.25
04-27,,17.25
04-28,,17.25
04-29,18.850000381469727,17.25
04-30,18.850000381469727,17.25
05-01,18.850000381469727,17.25
05-02,18.850000381469727,
05-03,18.850000381469727,
05-04,,17.25
05-05,,17.25
05-06,18.850000381469727,17.25
05-07,18.850000381469727,17.25
05-08,18.850000381469727,17.25
05-09,18.850000381469727,
05-10,18.850000381469727,
05-11,,17.25
05-12,,17.25
05-13,18.850000381469727,17.25
05-14,18.450000762939453,17.25
05-15,18.450000762939453,17.25
05-16,18.450000762939453,
05-17,18.450000762939453,
05-18,,17.25
05-19,,17.25
05-20,18.450000762939453,17.25
05-21,18.450000762939453,17.25
05-22,18.450000762939453,17.25
05-23,18.450000762939453,
05-24,18.450000762939453,
05-26,,17.25
05-27,,17.25
05-28,18.450000762939453,12.020000457763672
05-29,18.450000762939453,12.020000457763672
05-30,18.450000762939453,
05-31,18.450000762939453,
06-01,,12.020000457763672
06-02,,12.020000457763672
06-03,18.450000762939453,12.020000457763672
06-04,18.450000762939453,15.25
06-05,18.450000762939453,15.25
06-06,18.450000762939453,
06-07,18.450000762939453,
06-08,,15.25
06-09,,15.25
06-10,18.450000762939453,15.25
06-11,18.450000762939453,15.25
06-12,18.450000762939453,15.25
06-13,18.450000762939453,
06-14,18.450000762939453,
06-15,,15.25
06-16,,15.25
06-17,18.450000762939453,15.25
06-18,18.450000762939453,15.25
06-19,18.450000762939453,15.25
06-20,18.450000762939453,
06-21,18.450000762939453,
06-22,,15.25
06-23,,15.25
06-24,18.450000762939453,15.25
06-25,18.450000762939453,15.25
06-26,18.450000762939453,15.25
06-27,18.450000762939453,
06-28,18.450000762939453,
06-29,,15.25
06-30,,15.25
07-01,18.450000762939453,15.25
07-02,18.450000762939453,15.25
07-03,18.450000762939453,
07-05,18.450000762939453,
07-06,,15.25
07-07,,15.25
07-08,18.450000762939453,15.25
07-09,18.450000762939453,15.25
07-10,18.450000762939453,15.25
07-11,18.450000762939453,
07-12,18.450000762939453,
07-13,,15.25
07-14,,15.25
07-15,18.450000762939453,15.25
