,2019,2020
01-02,,4.119999885559082
01-03,,3.9200000762939453
01-06,,3.9700000286102295
01-07,,4.090000152587891
01-08,,4.579999923706055
01-09,,4.980000019073486
01-10,,4.989999771118164
01-13,,4.900000095367432
01-14,,4.670000076293945
01-15,,4.570000171661377
01-16,,4.880000114440918
01-17,,4.980000019073486
01-21,,5.059999942779541
01-22,,5.079999923706055
01-23,,5.079999923706055
01-24,,5.090000152587891
01-27,,5.239999771118164
01-28,,5.210000038146973
01-29,,5.070000171661377
01-30,,4.849999904632568
01-31,,4.840000152587891
02-03,,4.849999904632568
02-04,,4.75
02-05,,4.840000152587891
02-06,,4.909999847412109
02-07,,4.849999904632568
02-10,,4.710000038146973
02-11,,4.659999847412109
02-12,,4.71999979019165
02-13,,4.679999828338623
02-14,,4.639999866485596
02-18,,4.610000133514404
02-19,,4.619999885559082
02-20,,4.75
02-21,,4.949999809265137
02-24,,4.599999904632568
02-25,,4.539999961853027
02-26,,3.7300000190734863
02-27,,3.630000114440918
02-28,,3.765000104904175
03-02,,3.799999952316284
03-03,,3.380000114440918
03-04,,3.450000047683716
03-05,,3.5799999237060547
03-06,,3.759999990463257
03-09,,3.309999942779541
03-10,,3.2699999809265137
03-11,,3.319999933242798
03-12,,2.859999895095825
03-13,,3.0799999237060547
03-16,,2.490000009536743
03-17,,2.4000000953674316
03-18,,2.25
03-19,,2.390000104904175
03-20,,3.0
03-23,,2.700000047683716
03-24,,2.950000047683716
03-25,,2.799999952316284
03-26,,2.9800000190734863
03-27,,2.609999895095825
03-30,,3.4000000953674316
03-31,,3.4200000762939453
04-01,,2.940000057220459
04-02,,3.240000009536743
04-03,,3.380000114440918
04-06,,3.5
04-07,,3.4200000762939453
04-08,,3.4600000381469727
04-09,,3.490000009536743
04-13,,3.4200000762939453
04-14,,3.440000057220459
04-15,,3.25
04-16,,3.4700000286102295
04-17,,3.5
04-20,,3.799999952316284
04-21,,3.9200000762939453
04-22,,4.179999828338623
04-23,,4.380000114440918
