,2020
10-08,14.5
10-09,13.539999961853027
10-12,12.600000381469727
10-13,12.25
10-14,12.3100004196167
10-15,11.800000190734865
10-16,12.0
10-19,11.899999618530273
10-20,11.75
10-21,11.380000114440918
10-22,11.18000030517578
10-23,11.079999923706056
10-26,11.100000381469727
10-27,11.170000076293944
10-28,10.989999771118164
10-29,10.81999969482422
10-30,10.979999542236328
11-02,11.5
11-03,11.989999771118164
11-04,11.899999618530273
11-05,11.600000381469727
11-06,10.770000457763672
11-09,11.09000015258789
11-10,11.149999618530273
11-11,11.649999618530273
