,2015,2016,2017,2018,2019,2020
01-02,,,,42.47999954223633,8.680000305175781,4.949999809265137
01-03,,,98.4000015258789,41.439998626708984,8.399999618530273,4.909999847412109
01-04,,127.19999694824219,103.19999694824219,41.91999816894531,8.640000343322754,
01-05,,129.1999969482422,104.23999786376953,42.959999084472656,,
01-06,,129.44000244140625,105.5199966430664,,,5.070000171661377
01-07,,127.5199966430664,,,8.960000038146973,5.21999979019165
01-08,,129.83999633789062,,18.479999542236328,8.5600004196167,5.130000114440918
01-09,,,106.72000122070312,19.040000915527344,9.119999885559082,5.079999923706055
01-10,,,103.83999633789062,19.440000534057617,9.199999809265137,4.980000019073486
01-11,,128.0,101.12000274658203,18.15999984741211,8.880000114440918,
01-12,,132.24000549316406,101.91999816894531,16.719999313354492,,
01-13,,130.47999572753906,103.68000030517578,,,4.929999828338623
01-14,,140.63999938964844,,,8.399999618530273,4.909999847412109
01-15,,134.47999572753906,,,8.640000343322754,4.820000171661377
01-16,,,,16.8799991607666,8.800000190734863,4.650000095367432
01-17,,,98.4800033569336,16.559999465942383,8.15999984741211,4.429999828338623
01-18,,,99.91999816894531,16.479999542236328,8.079999923706055,
01-19,,135.27999877929688,99.68000030517578,16.239999771118164,,
01-20,,140.72000122070312,100.0,,,
01-21,,134.8000030517578,,,,4.565000057220459
01-22,,142.55999755859375,,17.600000381469727,7.679999828338623,4.489999771118164
01-23,,,97.76000213623047,18.559999465942383,7.679999828338623,4.130000114440918
01-24,,,98.08000183105469,17.84000015258789,7.71999979019165,3.9600000381469727
01-25,,135.75999450683594,100.0,17.360000610351562,8.15999984741211,
01-26,,136.8800048828125,97.44000244140625,17.280000686645508,,
01-27,,122.80000305175781,96.16000366210938,,,3.569999933242798
01-28,,119.91999816894531,,,7.97599983215332,3.680000066757202
01-29,,127.44000244140625,,17.200000762939453,8.079999923706055,3.880000114440918
01-30,,,94.55999755859375,16.559999465942383,8.239999771118164,3.859999895095825
01-31,,,98.0,16.239999771118164,8.399999618530273,3.8399999141693115
02-01,,133.1999969482422,98.08000183105469,16.239999771118164,8.880000114440918,
02-02,,109.27999877929688,95.68000030517578,15.359999656677246,,
02-03,,105.91999816894531,109.44000244140625,,,4.079999923706055
02-04,,107.12000274658203,,,9.279999732971191,4.099999904632568
02-05,,89.83999633789062,,15.84000015258789,9.359999656677246,4.440000057220459
02-06,,,103.76000213623047,16.31999969482422,10.800000190734863,4.360000133514404
02-07,,,103.27999877929688,16.0,9.760000228881836,4.340000152587891
02-08,,76.08000183105469,103.12000274658203,15.520000457763672,10.0,
02-09,,80.55999755859375,102.63999938964844,15.279999732971191,,
02-10,,83.76000213623047,101.36000061035156,,,4.400000095367432
02-11,,84.4800033569336,,,10.399999618530273,4.170000076293945
02-12,,87.68000030517578,,12.279999732971191,10.319999694824219,4.230000019073486
02-13,,,94.80000305175781,14.479999542236328,9.760000228881836,4.079999923706055
02-14,,,93.91999816894531,13.039999961853027,9.279999732971191,4.340000152587891
02-15,,,94.23999786376953,13.479999542236328,9.520000457763672,
02-16,,91.68000030517578,96.72000122070312,13.4399995803833,,
02-17,,100.4000015258789,97.12000274658203,,,
02-18,,99.19999694824219,,,,4.25
02-19,,101.91999816894531,,,9.600000381469727,4.380000114440918
02-20,,,,13.279999732971191,9.4399995803833,4.510000228881836
02-21,,,96.87999725341797,12.880000114440918,9.520000457763672,4.460000038146973
02-22,,102.0,96.80000305175781,12.960000038146973,10.399999618530273,
02-23,,97.83999633789062,94.72000122070312,11.600000381469727,,
02-24,,102.0,93.76000213623047,,,4.139999866485596
02-25,,100.4000015258789,,,10.720000267028809,3.930000066757202
02-26,,101.5999984741211,,12.5600004196167,10.640000343322754,3.7200000286102295
02-27,,,100.87999725341797,11.680000305175781,11.039999961853027,3.059999942779541
02-28,,,101.68000030517578,11.520000457763672,10.640000343322754,2.930000066757202
02-29,,100.87999725341797,,,,
03-01,,98.4000015258789,104.0,11.920000076293945,10.720000267028809,
03-02,,102.63999938964844,105.12000274658203,12.319999694824219,,2.8299999237060547
03-03,,98.31999969482422,104.4800033569336,,,2.819999933242798
03-04,,97.5199966430664,,,11.199999809265137,3.009999990463257
03-05,,,,12.399999618530273,10.960000038146973,3.0299999713897705
03-06,,,102.87999725341797,12.640000343322754,10.5600004196167,3.069999933242798
03-07,,100.08000183105469,103.19999694824219,12.479999542236328,11.279999732971191,
03-08,,97.44000244140625,106.0,12.720000267028809,11.84000015258789,
03-09,,90.80000305175781,107.36000061035156,13.119999885559082,,2.799999952316284
03-10,,90.0,108.31999969482422,,,2.819999933242798
03-11,,92.0,,,13.520000457763672,2.1500000953674316
03-12,,,,12.800000190734863,14.15999984741211,1.8300000429153442
03-13,,,109.5999984741211,12.239999771118164,14.0,2.0199999809265137
03-14,,92.23999786376953,111.91999816894531,12.0,11.359999656677246,
03-15,,91.12000274658203,121.44000244140625,11.680000305175781,11.359999656677246,
03-16,,89.91999816894531,120.72000122070312,12.079999923706055,,1.7699999809265137
03-17,,90.0,124.80000305175781,,,1.7899999618530273
03-18,,90.4800033569336,,,11.119999885559082,1.440000057220459
03-19,,,,11.84000015258789,11.199999809265137,1.5499999523162842
03-20,,,120.4800033569336,11.680000305175781,11.4399995803833,1.75
03-21,,90.72000122070312,114.4800033569336,11.920000076293945,11.520000457763672,
03-22,,92.16000366210938,113.83999633789062,11.600000381469727,11.119999885559082,
03-23,,89.19999694824219,118.0,11.4399995803833,,1.9700000286102295
03-24,,87.19999694824219,119.27999877929688,,,2.1500000953674316
03-25,,,,,10.880000114440918,2.440000057220459
03-26,,,,11.279999732971191,10.960000038146973,2.5
03-27,,,118.72000122070312,10.960000038146973,10.800000190734863,2.3299999237060547
03-28,,90.80000305175781,117.5199966430664,10.800000190734863,10.960000038146973,
03-29,,91.5199966430664,119.5999984741211,10.640000343322754,10.640000343322754,
03-30,,91.68000030517578,119.5199966430664,,,2.3499999046325684
03-31,,91.83999633789062,119.5199966430664,,,2.440000057220459
04-01,,95.19999694824219,,,10.079999923706055,2.3499999046325684
04-02,,,,9.84000015258789,10.479999542236328,2.549999952316284
04-03,,,120.4800033569336,9.520000457763672,10.0,2.490000009536743
04-04,,94.72000122070312,122.4000015258789,10.039999961853027,10.0,
04-05,,92.63999938964844,120.16000366210938,9.680000305175781,9.520000457763672,
04-06,,100.4000015258789,119.5199966430664,9.359999656677246,,2.6500000953674316
04-07,,101.5199966430664,121.04000091552734,,,2.5399999618530273
04-08,,94.87999725341797,,,9.359999656677246,2.6700000762939453
04-09,,,,9.119999885559082,9.119999885559082,3.0999999046325684
04-10,,,148.32000732421875,9.199999809265137,8.720000267028809,
04-11,,92.63999938964844,162.0,10.039999961853027,8.5600004196167,
04-12,,95.19999694824219,158.39999389648438,10.079999923706055,8.640000343322754,
04-13,,99.5199966430664,176.0,9.520000457763672,,3.259999990463257
04-14,,99.68000030517578,,,,3.609999895095825
04-15,,98.31999969482422,,,8.479999542236328,3.450000047683716
04-16,,,,9.359999656677246,8.479999542236328,3.559999942779541
04-17,,,172.0,9.4399995803833,8.319999694824219,3.759999990463257
04-18,,100.31999969482422,170.0800018310547,9.199999809265137,8.800000190734863,
04-19,,98.95999908447266,173.9199981689453,8.960000038146973,,
04-20,,99.83999633789062,174.9600067138672,8.640000343322754,,3.259999990463257
04-21,,102.55999755859375,172.32000732421875,,,3.119999885559082
04-22,,110.23999786376953,,,8.84000015258789,3.299999952316284
04-23,,,,8.399999618530273,9.199999809265137,3.3499999046325684
04-24,,,180.0,8.640000343322754,9.279999732971191,3.5399999618530273
04-25,,109.91999816894531,184.72000122070312,8.5600004196167,8.640000343322754,
04-26,,109.76000213623047,190.55999755859375,8.800000190734863,9.119999885559082,
04-27,,106.87999725341797,194.8000030517578,8.880000114440918,,3.4600000381469727
04-28,,105.04000091552734,193.9199981689453,,,3.630000114440918
04-29,,104.0,,,9.119999885559082,3.6500000953674316
04-30,,,,8.5600004196167,8.800000190734863,3.4200000762939453
05-01,,,196.8000030517578,8.399999618530273,8.800000190734863,3.190000057220459
05-02,,113.04000091552734,199.52000427246094,9.039999961853027,9.079999923706055,
05-03,,107.91999816894531,197.9199981689453,8.680000305175781,9.039999961853027,
05-04,,103.76000213623047,189.67999267578125,8.880000114440918,,3.190000057220459
05-05,,97.68000030517578,189.83999633789062,,,3.2300000190734863
05-06,,93.5199966430664,,,9.119999885559082,3.25
05-07,,,,11.199999809265137,8.720000267028809,3.069999933242798
05-08,,,189.52000427246094,9.119999885559082,8.720000267028809,3.0
05-09,,94.4000015258789,183.27999877929688,10.640000343322754,8.649999618530273,
05-10,,94.23999786376953,183.1199951171875,9.359999656677246,8.40999984741211,
05-11,,89.83999633789062,181.60000610351562,9.600000381469727,,3.240000009536743
05-12,,87.91999816894531,177.67999267578125,,,3.3499999046325684
05-13,,88.72000122070312,,,7.769999980926514,3.1700000762939453
05-14,,,,9.84000015258789,8.029999732971191,3.119999885559082
05-15,,,175.1999969482422,9.359999656677246,7.949999809265137,3.1700000762939453
05-16,,91.91999816894531,174.63999938964844,9.920000076293945,7.579999923706055,
05-17,,90.0,171.27999877929688,9.84000015258789,7.389999866485596,
05-18,,90.16000366210938,177.60000610351562,10.399999618530273,,3.3499999046325684
05-19,,88.16000366210938,174.0800018310547,,,3.259999990463257
05-20,,90.4800033569336,,,7.380000114440918,3.359999895095825
05-21,,,,9.760000228881836,7.699999809265137,3.369999885559082
05-22,,,181.36000061035156,9.84000015258789,7.5,3.380000114440918
05-23,,90.31999969482422,183.27999877929688,9.84000015258789,7.519999980926514,
05-24,,95.68000030517578,181.36000061035156,9.600000381469727,7.190000057220459,
05-25,,96.80000305175781,173.67999267578125,9.640000343322754,,
05-26,,102.0,173.83999633789062,,,3.3399999141693115
05-27,,102.4800033569336,,,,3.4100000858306885
05-28,,,,,7.03000020980835,3.309999942779541
05-29,,,,11.920000076293945,6.889999866485596,3.190000057220459
05-30,,,167.0399932861328,11.600000381469727,6.989999771118164,
05-31,,105.68000030517578,171.1199951171875,13.520000457763672,6.599999904632568,
06-01,,105.12000274658203,177.9199981689453,15.359999656677246,,3.369999885559082
06-02,,105.76000213623047,183.9199981689453,,,3.4000000953674316
06-03,,103.83999633789062,,,6.809999942779541,3.1600000858306885
06-04,,,,13.920000076293945,6.809999942779541,3.2100000381469727
06-05,,,179.36000061035156,14.0,6.809999942779541,3.2200000286102295
06-06,,105.19999694824219,177.67999267578125,36.400001525878906,5.690000057220459,
06-07,,113.76000213623047,180.39999389648438,38.400001525878906,4.480000019073486,
06-08,,119.5999984741211,178.39999389648438,38.400001525878906,,3.4800000190734863
06-09,,121.91999816894531,175.44000244140625,,,3.509999990463257
06-10,,118.4000015258789,,,4.019999980926514,3.450000047683716
06-11,239.1999969482422,,,40.08000183105469,3.940000057220459,3.2100000381469727
