,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,5.199999809265137,7.050000190734863,11.588000297546387,,,15.949999809265137,14.93690013885498,24.5
01-03,,5.199999809265137,7.050000190734863,,,12.0,15.949999809265137,16.03339958190918,24.5
01-04,,5.199999809265137,,,14.25,12.0,15.949999809265137,16.03339958190918,
01-05,,,,11.588000297546387,14.25,12.0,15.949999809265137,,
01-06,,,7.050000190734863,11.588000297546387,14.25,12.0,,,24.5
01-07,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,,16.03339958190918,24.5
01-08,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,15.949999809265137,16.03339958190918,24.5
01-09,,5.199999809265137,7.050000190734863,11.588000297546387,,12.0,15.949999809265137,16.03339958190918,24.5
01-10,,5.199999809265137,7.050000190734863,,,12.0,15.949999809265137,16.03339958190918,24.5
01-11,,5.199999809265137,,,14.25,12.0,15.949999809265137,16.03339958190918,
01-12,,,,11.588000297546387,14.25,12.0,15.949999809265137,,
01-13,,,7.050000190734863,11.588000297546387,14.25,12.0,,,24.5
01-14,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,,16.03339958190918,24.5
01-15,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,,16.03339958190918,24.5
01-16,,5.199999809265137,7.050000190734863,11.588000297546387,,,16.900100708007812,16.03339958190918,24.5
01-17,,5.199999809265137,7.050000190734863,,,12.0,16.900100708007812,16.03339958190918,24.5
01-18,,5.199999809265137,,,,12.0,16.900100708007812,16.03339958190918,
01-19,,,,,14.25,12.0,16.900100708007812,,
01-20,,,,11.588000297546387,14.25,12.0,,,
01-21,,,7.050000190734863,11.588000297546387,14.25,,,,24.5
01-22,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,16.900100708007812,16.03339958190918,24.5
01-23,,5.199999809265137,7.050000190734863,11.588000297546387,,12.0,16.900100708007812,16.03339958190918,24.5
01-24,,5.199999809265137,7.050000190734863,,,12.0,16.900100708007812,16.03339958190918,24.5
01-25,,5.199999809265137,,,14.25,12.0,16.900100708007812,16.03339958190918,
01-26,,,,11.588000297546387,14.25,12.0,18.148000717163086,,
01-27,,,7.050000190734863,11.588000297546387,14.25,12.0,,,24.5
01-28,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,,16.81570053100586,24.5
01-29,,5.199999809265137,7.050000190734863,11.588000297546387,14.25,,17.80030059814453,16.415700912475586,24.5
01-30,,5.199999809265137,7.050000190734863,11.588000297546387,,12.0,17.905799865722656,16.415700912475586,24.5
