,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,2.462277173995972,2.507676362991333,3.5746188163757324,,,,8.876008987426758,10.328633308410645,19.16848945617676,,,19.860658645629886,21.42010307312012,22.62445640563965,28.969074249267575,,,,55.95454788208008,36.05474090576172,,,,75.3872299194336,111.37642669677734,115.02092742919922,,,189.20982360839844,144.79568481445312,205.98779296875
01-03,2.485396385192871,2.4684927463531494,3.603918313980103,,5.370488166809082,7.044417381286621,8.716374397277832,10.464089393615724,,,21.47863006591797,20.312049865722656,21.77178955078125,22.6386661529541,,37.002742767333984,33.69596099853516,39.558692932128906,56.39414978027344,,,72.538330078125,66.48796844482422,75.97200012207031,111.38516998291016,,,132.74546813964844,190.7528076171875,139.4521484375,203.09097290039062
01-04,2.5547568798065186,2.4684927463531494,,3.990687131881714,5.370488166809082,6.96636438369751,8.65251350402832,,,14.31429386138916,20.62608337402344,20.70700454711914,22.026296615600586,,,36.22483444213867,34.65652847290039,39.2393913269043,55.122459411621094,,44.46215057373047,72.4886245727539,66.20964050292969,76.38483428955078,,,88.05159759521484,132.82925415039062,191.6237030029297,145.7007598876953,
01-05,2.5200774669647217,,,4.02326250076294,5.424371719360352,7.102957725524902,8.812154769897461,,19.037378311157227,14.126294136047365,20.62608337402344,20.255619049072266,,,29.508506774902344,35.58070755004883,34.358253479003906,39.33722686767578,,36.198463439941406,44.25011444091797,72.59635925292969,66.58077239990234,,,110.08737182617188,86.59407806396484,131.64659118652344,192.93002319335938,,
01-06,,,3.677168130874634,4.088417053222656,5.460291862487793,7.2590675354003915,,10.328633308410645,19.116043090820312,14.931979179382324,21.0111026763916,,,23.12195205688477,29.207195281982425,35.73923873901367,36.2440071105957,,,36.61362838745117,44.06254577636719,71.19581604003906,65.48430633544922,,110.1596908569336,108.4755401611328,85.4462890625,131.75836181640622,,,203.17935180664062
01-07,,2.507676362991333,3.5599668025970463,4.202437877655028,5.478255271911621,,,10.260904312133787,19.43071746826172,14.582852363586426,22.936206817626953,,22.0447998046875,22.321218490600586,29.513362884521484,35.38250732421875,,,53.28557586669922,34.35422134399414,44.58448791503906,71.31183624267578,,75.8946304321289,111.71780395507812,109.32154083251952,83.9979019165039,,,146.23031616210938,202.7669219970703
01-08,2.5200774669647217,2.4293100833892822,3.6625185012817374,4.2350144386291495,,,8.939863204956055,10.22703742980957,19.981380462646484,14.770843505859375,,20.029935836791992,21.586694717407227,21.482563018798828,29.60569000244141,,,39.558692932128906,51.81761932373047,34.489940643310554,45.84853744506836,,,75.95481872558594,111.76155853271484,112.77677917480469,82.48572540283203,,194.5771331787109,149.2823944091797,202.9044189453125
01-09,2.5200774669647217,2.3901288509368896,3.618565797805786,,,7.376147270202638,9.259145736694336,10.701139450073242,18.617820739746094,,,19.860658645629886,21.720874786376953,21.55837631225586,28.94962882995605,,36.53217315673828,39.75955581665039,52.28862380981445,33.747432708740234,,,66.47953796386719,77.54580688476562,111.10508728027344,112.07327270507812,,131.09718322753906,196.25267028808597,150.43772888183594,203.3953857421875
01-10,2.5316367149353027,2.4031896591186523,3.603918313980103,,5.514179229736328,7.415175437927246,9.259145736694336,10.701139450073242,,,22.661191940307614,19.91708755493164,21.63296890258789,21.58680725097656,,35.58564758300781,37.44726943969727,39.785301208496094,51.55858993530274,,,72.30628204345703,68.50382232666016,77.05561065673828,111.3414077758789,,,132.07496643066406,195.58053588867188,152.08413696289062,201.60818481445312
01-11,2.566316843032837,2.455432653427124,,4.088417053222656,5.603983879089356,7.337120532989503,9.195293426513672,,,14.180007934570312,22.083667755126953,19.973514556884766,21.290546417236328,,,35.37754821777344,37.138858795166016,40.06340408325195,50.60871887207031,,47.15336990356445,72.75381469726562,68.92551422119139,76.57402801513672,,,82.32176208496094,135.22251892089844,197.2276763916016,152.1033477783203,
