,2014,2015,2016,2017,2018,2019,2020
01-02,,10.0,,,9.75,0.9100000262260437,0.44999998807907104
01-03,,,,8.949999809265137,9.446000099182129,1.5299999713897705,0.38999998569488525
01-04,,,0.30000001192092896,8.399999618530273,7.900000095367432,1.340000033378601,
01-05,,10.0,0.30000001192092896,8.4399995803833,7.699999809265137,,
01-06,,10.0,0.800000011920929,8.875,,,0.4099999964237213
01-07,,10.0,0.7900000214576721,,,1.1799999475479126,0.4000000059604645
01-08,,10.0,0.75,,8.960000038146973,1.4199999570846558,0.4569999873638153
01-09,,10.0,,10.300000190734863,9.430000305175781,1.3600000143051147,0.48500001430511475
01-10,,,,11.739999771118164,8.850000381469727,1.399999976158142,0.5099999904632568
01-11,,,0.8299999833106995,15.0,8.699999809265137,1.3600000143051147,
01-12,,10.0,0.8299999833106995,19.0,8.380000114440918,,
01-13,,10.0,0.800000011920929,14.050000190734863,,,0.5099999904632568
01-14,,10.0,0.7900000214576721,,,1.3600000143051147,0.4749999940395355
01-15,,10.0,0.7900000214576721,,,1.2999999523162842,0.4399999976158142
01-16,,10.0,,,8.739999771118164,1.1399999856948853,0.4009999930858612
01-17,,,,10.399999618530273,8.289999961853027,1.1399999856948853,0.41200000047683716
01-18,,,,13.682000160217285,8.199999809265137,1.1200000047683716,
01-19,,,0.7900000214576721,13.100000381469727,8.130000114440918,,
01-20,,10.0,0.7900000214576721,13.199999809265137,,,
01-21,,10.0,0.7879999876022339,,,,0.3919999897480011
01-22,,10.0,0.7799999713897705,,8.0,1.159999966621399,0.3799999952316284
01-23,,10.0,,13.850000381469727,7.75,1.1100000143051147,0.3700000047683716
01-24,,,,13.600000381469727,7.909999847412109,1.0700000524520874,0.3700000047683716
01-25,,,0.6000000238418579,13.829999923706055,7.519999980926514,1.0399999618530273,
01-26,,10.0,0.7789999842643738,13.510000228881836,7.300000190734863,,
01-27,,10.0,0.7789999842643738,13.220000267028809,,,0.36500000953674316
01-28,,10.0,0.7900000214576721,,,1.0,0.38999998569488525
01-29,,10.0,0.7900000214576721,,7.315000057220459,1.0499999523162842,0.3700000047683716
01-30,,10.0,,13.446000099182129,7.239999771118164,0.9700000286102295,0.3499999940395355
01-31,,,,14.029999732971191,7.0,0.9800000190734863,0.34599998593330383
02-01,,,0.699999988079071,13.550000190734863,6.599999904632568,1.0499999523162842,
02-02,,10.0,0.5149999856948853,13.109999656677246,6.130000114440918,,
02-03,,10.0,0.5600000023841858,13.397000312805176,,,0.32899999618530273
02-04,,10.0,0.4000000059604645,,,1.4500000476837158,0.27000001072883606
