,2012,2013,2014,2015,2016,2017,2018,2019
01-02,,23.97205924987793,34.10785675048828,26.59012222290039,,,40.047996520996094,39.62300109863281
01-03,,23.97205924987793,34.10785675048828,,,38.027095794677734,40.047996520996094,39.62300109863281
01-04,,23.97205924987793,,,41.38884353637695,38.027095794677734,40.047996520996094,39.62300109863281
01-05,,,,26.59012222290039,41.38884353637695,38.027095794677734,40.047996520996094,
01-06,,,34.10785675048828,26.59012222290039,41.38884353637695,38.027095794677734,,
01-07,,23.97205924987793,34.08835220336914,26.59012222290039,41.38884353637695,,,39.62300109863281
01-08,,23.97205924987793,33.40560531616211,26.59012222290039,41.38884353637695,,40.047996520996094,39.62300109863281
01-09,,23.97205924987793,33.40560531616211,26.59012222290039,,38.027095794677734,40.047996520996094,39.62300109863281
01-10,,23.97205924987793,33.40560531616211,,,38.027095794677734,40.047996520996094,39.62300109863281
01-11,,23.97205924987793,,,41.38884353637695,38.027095794677734,40.047996520996094,39.62300109863281
01-12,,,,26.59012222290039,41.38884353637695,38.027095794677734,40.047996520996094,
01-13,,,33.40560531616211,26.59012222290039,41.38884353637695,38.027095794677734,,
01-14,,23.97205924987793,33.40560531616211,26.59012222290039,41.38884353637695,,,39.62300109863281
01-15,,23.97205924987793,33.40560531616211,26.59012222290039,41.38884353637695,,,39.62300109863281
01-16,,23.97205924987793,33.40560531616211,26.59012222290039,,,40.047996520996094,39.62300109863281
01-17,,23.97205924987793,33.40560531616211,,,38.027095794677734,40.047996520996094,39.62300109863281
01-18,,23.97205924987793,,,,38.027095794677734,40.047996520996094,39.62300109863281
01-19,,,,,41.38884353637695,38.027095794677734,40.047996520996094,
01-20,,,,26.59012222290039,41.38884353637695,38.027095794677734,,
01-21,,,33.40560531616211,26.59012222290039,41.38884353637695,,,
01-22,,23.97205924987793,32.8789176940918,26.59012222290039,41.38884353637695,,40.047996520996094,39.62300109863281
01-23,,23.97205924987793,32.8789176940918,26.59012222290039,,38.027095794677734,40.047996520996094,39.62300109863281
01-24,,23.97205924987793,32.8789176940918,,,38.027095794677734,40.047996520996094,39.62300109863281
01-25,,23.97205924987793,,,41.38884353637695,38.027095794677734,40.047996520996094,39.62300109863281
01-26,,,,26.59012222290039,41.38884353637695,38.027095794677734,40.047996520996094,
01-27,,,32.8789176940918,26.59012222290039,41.38884353637695,38.027095794677734,,
01-28,,23.931095123291016,32.8789176940918,26.59012222290039,41.38884353637695,,,39.62300109863281
01-29,,23.931095123291016,32.8789176940918,26.59012222290039,41.38884353637695,,40.047996520996094,39.62300109863281
01-30,,24.07154655456543,32.8789176940918,26.59012222290039,,38.027095794677734,40.047996520996094,39.62300109863281
01-31,,24.07154655456543,32.8789176940918,,,38.027095794677734,40.047996520996094,39.62300109863281
