,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.9140625,0.7578125,1.03125,,,,4.234375,4.375,5.921875,,,11.1875,22.684999465942386,19.674999237060547,26.95000076293945,,,,22.18000030517578,22.63999938964844,,,,36.18999862670898,49.43999862670898,67.69999694824219,,,91.62000274658205,92.2699966430664,120.45999908447266
01-03,0.91015625,0.7578125,1.03515625,,3.609375,4.28125,4.296875,4.390625,,,13.9375,13.25,22.125,18.459999084472656,,28.979999542236328,33.53499984741211,32.040000915527344,21.76000022888184,,,25.15999984741211,25.520000457763672,35.849998474121094,48.95000076293945,,,70.94999694824219,92.0199966430664,91.16999816894531,119.5999984741211
01-04,0.9140625,0.7578125,,1.5546875,3.6015625,4.203125,4.328125,,,12.703125,13.1875,13.40625,22.5,,,28.375,33.11999893188477,32.18000030517578,21.07999992370605,,23.15999984741211,24.559999465942386,26.46999931335449,35.58000183105469,,,75.27999877929688,71.80999755859375,92.73999786376952,93.87000274658205,
01-05,0.91796875,,,1.5546875,3.5,4.203125,3.9375,,5.8828125,12.71875,13.171875,12.953125,,,26.88500022888184,28.13500022888184,32.735000610351555,31.790000915527344,,22.959999084472656,22.920000076293945,24.68000030517578,26.3700008392334,,,66.08000183105469,75.44000244140625,71.06999969482422,94.73999786376952,,
01-06,,,1.0625,1.515625,3.390625,4.171875,,4.109375,5.859375,13.0625,13.140625,,,18.25,27.649999618530273,28.22500038146973,32.34999847412109,,,22.959999084472656,22.979999542236328,24.1299991607666,26.34000015258789,,48.2599983215332,66.23000335693361,73.94000244140625,70.94999694824219,,,120.3499984741211
01-07,,0.7578125,1.0859375,1.5546875,3.4453125,,,4.109375,5.734375,13.453125,13.4375,,22.225000381469727,18.475000381469727,27.649999618530273,28.32999992370605,,,21.11000061035156,22.1299991607666,23.63999938964844,23.989999771118164,,34.759998321533196,48.38000106811523,68.19999694824219,72.06999969482422,,,95.6500015258789,119.62999725341795
01-08,0.9296875,0.75390625,1.05078125,1.546875,,,3.6875,4.0625,5.6640625,13.671875,,12.34375,22.11000061035156,18.584999084472656,26.93000030517578,,,31.70000076293945,20.520000457763672,21.950000762939453,23.59000015258789,,,34.779998779296875,48.54999923706055,69.63999938964844,70.87999725341797,,93.70999908447266,97.62999725341795,121.52999877929688
01-09,0.92578125,0.74609375,1.0625,,,4.234375,3.765625,4.171875,5.515625,,,12.125,21.575000762939453,19.209999084472656,26.5,,32.540000915527344,31.8700008392334,20.65999984741211,21.190000534057614,,,26.10000038146973,34.880001068115234,48.75,68.33000183105469,,71.06999969482422,94.5500030517578,97.02999877929688,122.0500030517578
01-10,0.9140625,0.7421875,1.0859375,,3.6875,4.375,3.8125,4.515625,,,13.84375,12.59375,21.59000015258789,19.225000381469727,,28.920000076293945,32.970001220703125,32.470001220703125,20.780000686645508,,,24.309999465942386,26.43000030517578,35.54999923706055,49.68000030517578,,,71.20999908447266,94.16999816894531,95.9800033569336,121.0
01-11,0.87890625,0.74609375,,1.546875,3.7890625,4.609375,3.828125,,,13.3125,13.40625,12.484375,21.01499938964844,,,28.790000915527344,33.424999237060554,33.049999237060554,20.309999465942386,,23.38999938964844,24.38999938964844,26.53000068664551,35.83000183105469,,,72.68000030517578,71.26000213623047,95.73999786376952,97.3000030517578,
01-12,0.84375,,,1.5625,3.8203125,4.578125,3.703125,,5.5,13.296875,13.234375,12.59375,,,25.7549991607666,28.690000534057614,33.169998168945305,33.060001373291016,,20.229999542236328,23.32999992370605,24.440000534057614,26.38999938964844,,,67.84999847412111,73.2699966430664,71.58000183105469,100.86000061035156,,
01-13,,,1.1328125,1.5703125,3.7890625,4.546875,,4.421875,5.640625,12.921875,13.09375,,,19.024999618530273,26.17499923706055,28.21999931335449,33.11999893188477,,,20.299999237060547,23.21999931335449,24.54999923706055,26.31999969482422,,48.65999984741211,67.86000061035156,69.90000152587889,72.1500015258789,,,121.0500030517578
01-14,,0.7421875,1.2109375,1.5859375,3.84375,,,4.5625,5.734375,12.84375,13.53125,,21.3799991607666,18.864999771118164,26.459999084472656,28.434999465942386,,,20.84000015258789,19.559999465942386,23.190000534057614,25.0,,35.380001068115234,48.9000015258789,67.38999938964844,69.91000366210939,,,96.91000366210938,120.06999969482422
01-15,0.8203125,0.74609375,1.21875,1.6171875,,,3.71875,4.375,5.65625,12.65625,,,21.0,19.0,26.545000076293945,,,,20.770000457763672,20.540000915527344,23.1299991607666,,,35.93000030517578,48.290000915527344,66.34999847412111,68.98999786376953,,,94.91000366210938,119.5199966430664
01-16,0.828125,0.76171875,1.23828125,,,4.640625,3.765625,4.390625,5.8515625,,,12.375,20.524999618530273,18.90999984741211,26.44499969482422,,,33.400001525878906,21.6200008392334,21.040000915527344,,,,35.77000045776367,48.18000030517578,67.98999786376953,,,100.97000122070312,93.95999908447266,119.2699966430664
01-17,0.84375,0.80859375,1.2109375,,3.84375,4.703125,3.6875,4.375,,,,12.03125,20.850000381469727,18.350000381469727,,,32.665000915527344,33.200000762939446,21.790000915527344,,,,26.79999923706055,37.0,47.61000061035156,,,72.37999725341797,101.68000030517578,92.0500030517578,122.36000061035156
01-18,0.85546875,0.84375,,1.6328125,3.8046875,4.703125,3.625,,,,13.3125,11.53125,21.700000762939453,,,28.71999931335449,32.325000762939446,33.59000015258789,22.190000534057614,,,25.01000022888184,27.459999084472656,36.9900016784668,,,,71.37999725341797,101.36000061035156,94.9800033569336,
01-19,0.8671875,,,1.671875,3.71875,4.546875,3.625,,,12.796875,13.21875,11.09375,,,,28.565000534057614,32.35499954223633,33.709999084472656,,,23.11000061035156,24.399999618530273,27.32999992370605,,,,69.45999908447266,71.5999984741211,104.9499969482422,,
01-20,,,1.1953125,1.6640625,3.6875,4.578125,,4.328125,5.953125,13.046875,12.6875,,,,26.17499923706055,28.125,31.565000534057614,,,19.8700008392334,22.79999923706055,25.29999923706055,26.53000068664551,,,66.51999664306639,68.06999969482422,71.76000213623047,,,
01-21,,0.8671875,1.18359375,1.65625,3.828125,,,4.40625,5.984375,12.90625,11.84375,,,17.825000762939453,27.10000038146973,27.95499992370605,,,,20.25,22.88999938964844,25.01000022888184,,,47.81999969482422,67.31999969482422,69.31999969482422,,,,120.93000030517578
01-22,0.859375,0.84765625,1.203125,1.6953125,,,3.65625,4.390625,6.0078125,13.203125,,11.484375,21.950000762939453,17.575000762939453,27.604999542236328,,,33.43000030517578,24.540000915527344,20.290000915527344,22.309999465942386,,,37.43999862670898,47.75,69.55000305175781,70.5,,107.11000061035156,91.55999755859376,121.91000366210938
01-23,0.85546875,0.8359375,1.1953125,,,4.625,3.671875,4.234375,6.1015625,,,11.96875,22.350000381469727,17.5,27.63999938964844,,31.6299991607666,33.639999389648445,26.040000915527344,20.049999237060547,,,26.32999992370605,37.88000106811523,48.1500015258789,69.70999908447266,,72.58000183105469,107.11000061035156,91.83000183105469,122.70999908447266
01-24,0.84375,0.83984375,1.203125,,3.6875,4.640625,3.75,4.109375,,,11.6875,11.828125,22.30500030517578,17.059999465942386,,27.545000076293945,32.084999084472656,33.59000015258789,25.40999984741211,,,25.06999969482422,26.8799991607666,38.40999984741211,47.83000183105469,,,74.0,106.72000122070312,91.8000030517578,120.2300033569336
01-25,0.84375,0.82421875,,1.75,3.8125,4.71875,3.6875,,,13.3125,11.5,12.109375,22.350000381469727,,,27.82500076293945,31.895000457763672,33.080001831054695,24.709999084472656,,22.1200008392334,25.559999465942386,26.90999984741211,38.58000183105469,,,69.90000152587889,73.05999755859375,106.37999725341795,93.81999969482422,
01-26,0.84375,,,1.75,3.7890625,4.65625,3.6875,,6.1875,13.34375,11.65625,12.203125,,,27.809999465942386,28.020000457763672,32.595001220703125,32.580001831054695,,20.649999618530273,21.959999084472656,25.85000038146973,26.95000076293945,,,70.44000244140625,70.0,73.2300033569336,107.4000015258789,,
01-27,,,1.2109375,1.765625,3.7890625,4.71875,,4.015625,6.2578125,13.5,11.453125,,,17.200000762939453,27.76000022888184,27.95499992370605,32.55500030517578,,,19.940000534057614,22.1200008392334,26.239999771118164,26.90999984741211,,48.0,69.84999847412111,69.55000305175781,73.25,,,119.76000213623048
01-28,,0.81640625,1.23828125,1.734375,3.8046875,,,4.015625,6.2421875,14.09375,11.140625,,22.895000457763672,17.299999237060547,26.899999618530273,28.09000015258789,,,25.399999618530273,19.940000534057614,21.979999542236328,25.25,,38.349998474121094,46.959999084472656,69.22000122070311,69.23000335693361,,,93.1500015258789,121.1500015258789
01-29,0.828125,0.79296875,1.25,1.7265625,,,3.703125,4.03125,6.296875,14.578125,,12.449999809265135,21.875,17.309999465942386,26.649999618530273,,,32.669998168945305,25.790000915527344,19.3700008392334,21.649999618530273,,,38.22999954223633,45.97000122070313,69.93000030517578,71.66000366210938,,106.83999633789062,93.43000030517578,120.41999816894531
01-30,0.8203125,0.8125,1.26171875,,,4.703125,3.78125,4.171875,6.3203125,,,12.69499969482422,22.395000457763672,17.0,26.774999618530273,,31.989999771118164,32.5,25.34000015258789,18.270000457763672,,,26.81999969482422,38.209999084472656,46.5,67.76000213623047,,73.56999969482422,105.18000030517578,95.75,119.72000122070312
01-31,0.8515625,0.796875,1.28125,,3.8125,4.59375,3.890625,4.140625,,,11.15625,13.362500190734865,23.03499984741211,17.09000015258789,,28.4950008392334,31.774999618530273,33.709999084472656,26.43000030517578,,,24.79999923706055,26.82999992370605,38.18999862670898,46.290000915527344,,,73.08000183105469,104.7300033569336,96.16000366210938,116.23999786376952
02-01,0.85546875,0.78515625,,1.703125,3.796875,4.71875,3.828125,,,14.265625,11.765625,13.625,22.85000038146973,,,28.540000915527344,31.665000915527344,34.240001678466804,25.54999923706055,,21.989999771118164,25.0,26.8799991607666,38.560001373291016,,,72.66000366210938,72.3499984741211,103.86000061035156,97.11000061035156,
02-02,0.8515625,,,1.734375,3.796875,4.8125,3.796875,,6.5703125,14.0,11.8125,13.460000038146973,,,26.864999771118164,28.649999618530273,32.084999084472656,34.150001525878906,,18.40999984741211,22.57999992370605,24.26000022888184,26.81999969482422,,,68.41000366210939,71.87000274658203,71.94999694824219,101.5,,
02-03,,,1.31640625,1.8046875,3.7890625,4.8125,,4.125,6.5234375,14.09375,11.78125,,,17.649999618530273,26.614999771118164,28.63500022888184,31.76000022888184,,,18.940000534057614,22.11000061035156,24.5,27.20000076293945,,45.599998474121094,69.62999725341797,67.41999816894531,73.29000091552734,,,117.18000030517578
02-04,,0.8203125,1.30078125,1.84375,3.7265625,,,4.125,6.46875,14.03125,12.09375,,23.18000030517578,17.395000457763672,26.78000068664551,29.32500076293945,,,24.78000068664551,18.40999984741211,21.600000381469727,24.709999084472656,,37.93999862670898,44.900001525878906,70.66999816894531,67.95999908447266,,,97.87000274658205,119.3499984741211
