,2018,2019,2020
01-02,,0.28600001335144043,0.13199999928474426
01-03,,0.2899999916553497,0.15000000596046448
01-04,,0.2870000004768372,
01-06,,,0.13699999451637268
01-07,,0.296999990940094,0.1340000033378601
01-08,,0.30300000309944153,0.14000000059604645
01-09,,0.3330000042915344,0.1379999965429306
01-10,,0.3350000083446503,0.14000000059604645
01-11,,0.31700000166893005,
01-13,,,0.14100000262260434
01-14,,0.2980000078678131,0.1379999965429306
01-15,,0.2809999883174896,0.13099999725818634
01-16,,0.30000001192092896,0.13500000536441806
01-17,,0.2849999964237213,0.13500000536441806
01-18,,0.26499998569488525,
01-21,,,0.1340000033378601
01-22,,0.2639999985694885,0.13199999928474426
01-23,,0.239999994635582,0.12300000339746475
01-24,,0.23199999332427976,0.12999999523162842
01-25,,0.2450000047683716,
01-27,,,0.1289999932050705
01-28,,0.2700000107288361,0.125
01-29,,0.2899999916553497,0.12600000202655792
01-30,,0.2809999883174896,0.12999999523162842
01-31,,0.30000001192092896,0.12099999934434892
02-01,,0.2849999964237213,
02-03,,,0.12099999934434892
02-04,,0.27900001406669617,0.12999999523162842
02-05,,0.27900001406669617,0.119999997317791
02-06,,0.2750000059604645,0.11100000143051147
02-07,,0.2930000126361847,0.11800000071525575
02-08,,0.2809999883174896,
02-10,,,0.11299999803304672
02-11,,0.2750000059604645,0.1040000021457672
02-12,,0.27799999713897705,0.1040000021457672
02-13,,0.2849999964237213,0.11299999803304672
02-14,,0.27300000190734863,0.1120000034570694
02-15,,0.2630000114440918,
02-18,,,0.10199999809265137
02-19,,0.2700000107288361,0.1040000021457672
02-20,,0.2709999978542328,0.10700000077486037
02-21,,0.2770000100135803,0.1040000021457672
02-22,,0.2800000011920929,
02-24,,,0.1080000028014183
02-25,,0.27300000190734863,0.10899999737739564
02-26,,0.2639999985694885,0.10499999672174454
02-27,,0.2590000033378601,0.10000000149011612
02-28,,0.2800000011920929,0.1040000021457672
03-01,,0.25999999046325684,
03-02,,,0.10999999940395357
03-03,,,0.1080000028014183
03-04,,0.2460000067949295,0.09600000083446504
03-05,,0.25999999046325684,0.10000000149011612
03-06,,0.25,0.09000000357627869
