,2019,2020
01-02,,17.510000228881836
01-03,,17.510000228881836
01-06,,17.510000228881836
01-07,,17.510000228881836
01-08,,17.510000228881836
01-09,,17.510000228881836
01-10,,17.510000228881836
01-13,,17.510000228881836
01-14,,17.510000228881836
01-15,,17.510000228881836
01-16,,17.510000228881836
01-17,,17.510000228881836
01-21,,17.510000228881836
01-22,,17.510000228881836
01-23,,17.510000228881836
01-24,,17.510000228881836
01-27,,17.510000228881836
01-28,,17.510000228881836
01-29,,17.510000228881836
01-30,,17.510000228881836
01-31,,17.510000228881836
02-03,,17.510000228881836
02-04,,17.510000228881836
02-05,,17.510000228881836
02-06,,17.510000228881836
02-07,,17.510000228881836
02-10,,17.510000228881836
02-11,,17.510000228881836
02-12,,17.510000228881836
02-13,,17.510000228881836
02-14,,17.510000228881836
02-18,,17.510000228881836
02-19,,17.510000228881836
02-20,,17.510000228881836
02-21,,17.510000228881836
02-24,,17.510000228881836
02-25,,17.510000228881836
02-26,,17.510000228881836
02-27,,17.510000228881836
02-28,,17.510000228881836
03-02,,17.510000228881836
03-03,,17.510000228881836
03-04,,17.510000228881836
03-05,,17.510000228881836
03-06,,17.510000228881836
03-09,,17.510000228881836
03-10,,17.510000228881836
03-11,,17.510000228881836
03-12,,17.510000228881836
03-13,,17.510000228881836
03-14,13.03969955444336,
03-15,13.03969955444336,
03-16,,17.510000228881836
03-17,,17.510000228881836
03-18,13.03969955444336,17.510000228881836
03-19,13.03969955444336,17.510000228881836
03-20,13.03969955444336,17.510000228881836
03-21,13.03969955444336,
03-22,13.03969955444336,
03-23,,17.510000228881836
03-24,,17.510000228881836
03-25,13.03969955444336,17.510000228881836
03-26,13.03969955444336,17.510000228881836
03-27,13.03969955444336,17.510000228881836
03-28,13.03969955444336,
03-29,13.03969955444336,
03-30,,17.510000228881836
03-31,,17.510000228881836
04-01,13.03969955444336,17.510000228881836
04-02,13.03969955444336,17.510000228881836
04-03,13.03969955444336,17.510000228881836
04-04,13.03969955444336,
04-05,13.03969955444336,
04-06,,17.510000228881836
04-07,,17.510000228881836
04-08,13.03969955444336,17.510000228881836
04-09,13.03969955444336,17.510000228881836
04-10,13.03969955444336,
04-11,13.03969955444336,
04-12,13.03969955444336,
04-13,,17.510000228881836
04-14,,17.510000228881836
04-15,13.03969955444336,17.510000228881836
04-16,13.03969955444336,17.510000228881836
04-17,13.03969955444336,17.510000228881836
04-18,13.03969955444336,
04-20,,17.510000228881836
04-21,,17.510000228881836
04-22,13.03969955444336,17.510000228881836
04-23,13.03969955444336,17.510000228881836
04-24,13.03969955444336,17.510000228881836
04-25,13.03969955444336,
04-26,13.03969955444336,
04-27,,17.510000228881836
04-28,,17.510000228881836
04-29,13.03969955444336,17.510000228881836
04-30,13.03969955444336,17.510000228881836
05-01,13.03969955444336,17.510000228881836
05-02,13.03969955444336,
05-03,13.03969955444336,
05-04,,17.510000228881836
05-05,,17.510000228881836
05-06,13.03969955444336,17.510000228881836
05-07,13.03969955444336,17.510000228881836
05-08,13.03969955444336,17.510000228881836
05-09,13.03969955444336,
05-10,13.03969955444336,
05-11,,17.510000228881836
05-12,,17.510000228881836
05-13,13.03969955444336,17.510000228881836
05-14,13.03969955444336,17.510000228881836
05-15,13.03969955444336,17.510000228881836
05-16,13.03969955444336,
05-17,13.03969955444336,
05-18,,17.510000228881836
05-19,,17.510000228881836
05-20,13.03969955444336,17.510000228881836
05-21,13.03969955444336,17.510000228881836
05-22,13.03969955444336,17.510000228881836
05-23,13.03969955444336,
05-24,13.03969955444336,
05-26,,17.510000228881836
05-27,,17.510000228881836
05-28,13.03969955444336,17.510000228881836
05-29,13.03969955444336,17.510000228881836
05-30,13.03969955444336,
05-31,13.03969955444336,
06-01,,17.510000228881836
06-02,,17.510000228881836
06-03,13.03969955444336,17.510000228881836
06-04,13.03969955444336,17.510000228881836
06-05,13.03969955444336,17.510000228881836
06-06,13.03969955444336,
06-07,13.03969955444336,
06-08,,17.510000228881836
06-09,,17.510000228881836
06-10,13.03969955444336,17.510000228881836
06-11,13.03969955444336,17.510000228881836
06-12,13.03969955444336,17.510000228881836
06-13,13.03969955444336,
06-14,13.03969955444336,
06-15,,17.510000228881836
06-16,,17.510000228881836
06-17,13.03969955444336,17.510000228881836
06-18,13.03969955444336,17.510000228881836
06-19,13.03969955444336,17.510000228881836
06-20,13.03969955444336,
06-21,13.03969955444336,
06-22,,17.510000228881836
06-23,,17.510000228881836
06-24,13.03969955444336,17.510000228881836
06-25,13.03969955444336,17.510000228881836
06-26,13.03969955444336,17.510000228881836
06-27,13.03969955444336,
06-28,13.03969955444336,
06-29,,17.510000228881836
06-30,,17.510000228881836
07-01,13.03969955444336,17.510000228881836
07-02,17.510000228881836,17.510000228881836
07-03,17.510000228881836,
07-05,17.510000228881836,
07-06,,17.510000228881836
07-07,,17.510000228881836
07-08,17.510000228881836,17.510000228881836
07-09,17.510000228881836,17.510000228881836
07-10,17.510000228881836,17.510000228881836
07-11,17.510000228881836,
07-12,17.510000228881836,
07-13,,17.510000228881836
07-14,,17.510000228881836
07-15,17.510000228881836,17.510000228881836
07-16,17.510000228881836,17.510000228881836
07-17,17.510000228881836,17.510000228881836
07-18,17.510000228881836,
07-19,17.510000228881836,
07-20,,17.510000228881836
07-21,,17.510000228881836
07-22,17.510000228881836,17.510000228881836
07-23,17.510000228881836,17.510000228881836
07-24,17.510000228881836,17.510000228881836
07-25,17.510000228881836,
07-26,17.510000228881836,
07-27,,17.510000228881836
07-28,,17.510000228881836
07-29,17.510000228881836,17.510000228881836
07-30,17.510000228881836,17.510000228881836
07-31,17.510000228881836,17.510000228881836
08-01,17.510000228881836,
08-02,17.510000228881836,
08-03,,17.510000228881836
08-04,,17.510000228881836
08-05,17.510000228881836,17.510000228881836
08-06,17.510000228881836,17.510000228881836
08-07,17.510000228881836,17.510000228881836
08-08,17.510000228881836,
08-09,17.510000228881836,
08-10,,17.510000228881836
08-11,,17.510000228881836
08-12,17.510000228881836,17.510000228881836
08-13,17.510000228881836,17.510000228881836
08-14,17.510000228881836,17.510000228881836
08-15,17.510000228881836,
08-16,17.510000228881836,
08-17,,17.510000228881836
08-18,,17.510000228881836
08-19,17.510000228881836,17.510000228881836
08-20,17.510000228881836,17.510000228881836
08-21,17.510000228881836,17.510000228881836
08-22,17.510000228881836,
08-23,17.510000228881836,
08-24,,17.510000228881836
08-25,,17.510000228881836
08-26,17.510000228881836,17.510000228881836
08-27,17.510000228881836,17.510000228881836
08-28,17.510000228881836,17.510000228881836
08-29,17.510000228881836,
08-30,17.510000228881836,
08-31,,17.510000228881836
09-01,,17.510000228881836
09-02,,17.510000228881836
09-03,17.510000228881836,17.510000228881836
09-04,17.510000228881836,17.510000228881836
09-05,17.510000228881836,
09-06,17.510000228881836,
09-08,,17.510000228881836
09-09,17.510000228881836,17.510000228881836
09-10,17.510000228881836,17.510000228881836
09-11,17.510000228881836,17.510000228881836
09-12,17.510000228881836,
09-13,17.510000228881836,
09-14,,17.510000228881836
09-15,,17.510000228881836
09-16,17.510000228881836,17.510000228881836
09-17,17.510000228881836,17.510000228881836
09-18,17.510000228881836,
09-19,17.510000228881836,
09-20,17.510000228881836,
09-21,,17.510000228881836
09-22,,17.510000228881836
09-23,17.510000228881836,17.510000228881836
09-24,17.510000228881836,17.510000228881836
09-25,17.510000228881836,17.510000228881836
09-26,17.510000228881836,
09-27,17.510000228881836,
09-28,,17.510000228881836
09-29,,17.510000228881836
09-30,17.510000228881836,17.510000228881836
10-01,17.510000228881836,17.510000228881836
10-02,17.510000228881836,17.510000228881836
10-03,17.510000228881836,
10-04,17.510000228881836,
10-05,,17.510000228881836
10-06,,17.510000228881836
10-07,17.510000228881836,17.510000228881836
10-08,17.510000228881836,17.510000228881836
10-09,17.510000228881836,17.510000228881836
10-10,17.510000228881836,
10-11,17.510000228881836,
10-12,,17.510000228881836
10-13,,17.510000228881836
10-14,17.510000228881836,17.510000228881836
10-15,17.510000228881836,17.510000228881836
10-16,17.510000228881836,17.510000228881836
10-17,17.510000228881836,
10-18,17.510000228881836,
10-19,,17.510000228881836
10-20,,17.510000228881836
10-21,17.510000228881836,17.510000228881836
10-22,17.510000228881836,17.510000228881836
10-23,17.510000228881836,17.510000228881836
10-24,17.510000228881836,
10-25,17.510000228881836,
10-26,,17.510000228881836
10-27,,17.510000228881836
10-28,17.510000228881836,17.510000228881836
10-29,17.510000228881836,17.510000228881836
10-30,17.510000228881836,17.510000228881836
10-31,17.510000228881836,
11-01,17.510000228881836,
11-02,,17.510000228881836
11-03,,17.510000228881836
11-04,17.510000228881836,17.510000228881836
11-05,17.510000228881836,17.510000228881836
11-06,17.510000228881836,17.510000228881836
11-07,17.510000228881836,
11-08,17.510000228881836,
11-09,,17.510000228881836
11-10,,17.510000228881836
11-11,17.510000228881836,17.510000228881836
11-12,17.510000228881836,
11-13,17.510000228881836,
11-14,17.510000228881836,
11-15,17.510000228881836,
11-18,17.510000228881836,
11-19,17.510000228881836,
11-20,17.510000228881836,
11-21,17.510000228881836,
11-22,17.510000228881836,
11-25,17.510000228881836,
11-26,17.510000228881836,
11-27,17.510000228881836,
11-29,17.510000228881836,
12-02,17.510000228881836,
12-03,17.510000228881836,
12-04,17.510000228881836,
12-05,17.510000228881836,
12-06,17.510000228881836,
12-09,17.510000228881836,
12-10,17.510000228881836,
12-11,17.510000228881836,
12-12,17.510000228881836,
12-13,17.510000228881836,
12-16,17.510000228881836,
12-17,17.510000228881836,
12-18,17.510000228881836,
12-19,17.510000228881836,
12-20,17.510000228881836,
12-23,17.510000228881836,
12-24,17.510000228881836,
12-26,17.510000228881836,
12-27,17.510000228881836,
12-30,17.510000228881836,
12-31,17.510000228881836,
