,2017,2018,2019,2020
01-02,,21.570600509643555,10.149999618530273,10.149999618530273
01-03,,21.570600509643555,10.149999618530273,10.149999618530273
01-04,,21.570600509643555,10.149999618530273,
01-05,,21.570600509643555,,
01-06,,,,10.149999618530273
01-07,,,10.149999618530273,10.149999618530273
01-08,,21.570600509643555,10.149999618530273,10.149999618530273
01-09,,21.570600509643555,10.149999618530273,10.149999618530273
01-10,,21.570600509643555,10.149999618530273,10.149999618530273
01-11,,21.570600509643555,10.149999618530273,
01-12,,21.570600509643555,,
01-13,,,,10.149999618530273
01-14,,,10.149999618530273,10.149999618530273
01-15,,,10.149999618530273,10.149999618530273
01-16,,21.570600509643555,10.149999618530273,10.149999618530273
01-17,,21.570600509643555,10.149999618530273,10.149999618530273
01-18,,21.570600509643555,10.149999618530273,
01-19,,21.570600509643555,,
01-21,,,,10.149999618530273
01-22,,21.570600509643555,10.149999618530273,10.149999618530273
01-23,,21.570600509643555,10.149999618530273,10.149999618530273
01-24,,21.570600509643555,10.149999618530273,10.149999618530273
01-25,,21.570600509643555,10.149999618530273,
01-26,,21.570600509643555,,
01-27,,,,10.149999618530273
01-28,,,10.149999618530273,10.149999618530273
01-29,,21.570600509643555,10.149999618530273,10.149999618530273
01-30,,21.570600509643555,10.149999618530273,10.149999618530273
01-31,,21.570600509643555,10.149999618530273,10.149999618530273
02-01,,21.570600509643555,10.149999618530273,
02-02,,21.570600509643555,,
02-03,,,,10.149999618530273
02-04,,,10.149999618530273,10.149999618530273
02-05,,21.570600509643555,10.149999618530273,10.149999618530273
02-06,,21.570600509643555,10.149999618530273,10.149999618530273
02-07,,21.570600509643555,10.149999618530273,10.149999618530273
02-08,,21.570600509643555,10.149999618530273,
02-09,,21.570600509643555,,
02-10,,,,10.149999618530273
02-11,,,10.149999618530273,10.149999618530273
02-12,,21.570600509643555,10.149999618530273,10.149999618530273
02-13,,21.570600509643555,10.149999618530273,10.149999618530273
02-14,,21.570600509643555,10.149999618530273,10.149999618530273
02-15,,21.570600509643555,10.149999618530273,
02-16,,21.570600509643555,,
02-18,,,,10.149999618530273
02-19,,,10.149999618530273,10.149999618530273
02-20,,21.570600509643555,10.149999618530273,10.149999618530273
02-21,,21.570600509643555,10.149999618530273,10.149999618530273
02-22,,21.570600509643555,10.149999618530273,
02-23,,21.570600509643555,,
02-24,,,,10.149999618530273
02-25,,,10.149999618530273,10.149999618530273
02-26,,21.570600509643555,10.149999618530273,10.149999618530273
02-27,,21.570600509643555,10.149999618530273,10.149999618530273
02-28,,21.570600509643555,10.149999618530273,10.149999618530273
03-01,,21.570600509643555,10.149999618530273,
03-02,,21.570600509643555,,10.149999618530273
03-03,,,,10.149999618530273
03-04,,,10.149999618530273,10.149999618530273
03-05,,21.570600509643555,10.149999618530273,10.149999618530273
03-06,,21.570600509643555,10.149999618530273,10.149999618530273
03-07,,21.570600509643555,10.149999618530273,
03-08,,21.570600509643555,10.149999618530273,
03-09,,21.570600509643555,,10.149999618530273
03-10,,,,10.149999618530273
03-11,,,10.149999618530273,10.149999618530273
03-12,,21.570600509643555,10.149999618530273,10.149999618530273
03-13,,21.570600509643555,10.149999618530273,10.149999618530273
03-14,,21.570600509643555,10.149999618530273,
03-15,,21.570600509643555,10.149999618530273,
03-16,,21.570600509643555,,10.149999618530273
03-17,,,,10.149999618530273
03-18,,,10.149999618530273,10.149999618530273
03-19,,21.570600509643555,10.149999618530273,10.149999618530273
03-20,,21.570600509643555,10.149999618530273,10.149999618530273
03-21,,21.570600509643555,10.149999618530273,
03-22,,21.570600509643555,10.149999618530273,
03-23,,21.570600509643555,,10.149999618530273
03-24,,,,10.149999618530273
03-25,,,10.149999618530273,10.149999618530273
03-26,,21.570600509643555,10.149999618530273,10.149999618530273
03-27,,21.570600509643555,10.149999618530273,10.149999618530273
03-28,,21.570600509643555,10.149999618530273,
03-29,,21.570600509643555,10.149999618530273,
03-30,,,,10.149999618530273
03-31,,,,10.149999618530273
04-01,,,10.149999618530273,10.149999618530273
04-02,,21.570600509643555,10.149999618530273,10.149999618530273
04-03,,21.570600509643555,10.149999618530273,10.149999618530273
04-04,,21.570600509643555,10.149999618530273,
04-05,,21.570600509643555,10.149999618530273,
04-06,,21.570600509643555,,10.149999618530273
04-07,,,,10.149999618530273
04-08,,,10.149999618530273,10.149999618530273
04-09,,21.570600509643555,10.149999618530273,10.149999618530273
04-10,,21.570600509643555,10.149999618530273,
04-11,,21.570600509643555,10.149999618530273,
04-12,,21.570600509643555,10.149999618530273,
04-13,,21.570600509643555,,10.149999618530273
04-14,,,,10.149999618530273
04-15,,,10.149999618530273,10.149999618530273
04-16,,21.570600509643555,10.149999618530273,10.149999618530273
04-17,,21.570600509643555,10.149999618530273,10.149999618530273
04-18,,21.570600509643555,10.149999618530273,
04-19,,21.570600509643555,,
04-20,,21.570600509643555,,10.149999618530273
04-21,,,,10.149999618530273
04-22,,,10.149999618530273,10.149999618530273
04-23,,21.570600509643555,10.149999618530273,10.149999618530273
04-24,,21.570600509643555,10.149999618530273,10.149999618530273
04-25,,21.570600509643555,10.149999618530273,
04-26,,21.570600509643555,10.149999618530273,
04-27,,21.570600509643555,,10.149999618530273
04-28,,,,10.149999618530273
04-29,,,10.149999618530273,10.149999618530273
04-30,,21.570600509643555,10.149999618530273,10.149999618530273
05-01,,21.570600509643555,10.149999618530273,10.149999618530273
05-02,,21.570600509643555,10.149999618530273,
05-03,,21.570600509643555,10.149999618530273,
05-04,,21.570600509643555,,10.149999618530273
05-05,,,,10.149999618530273
05-06,,,10.149999618530273,10.149999618530273
05-07,,21.570600509643555,10.149999618530273,10.149999618530273
05-08,,21.570600509643555,10.149999618530273,10.149999618530273
05-09,,21.570600509643555,10.149999618530273,
05-10,,21.570600509643555,10.149999618530273,
05-11,,21.570600509643555,,10.149999618530273
05-12,,,,10.149999618530273
05-13,,,10.149999618530273,10.149999618530273
05-14,,21.570600509643555,10.149999618530273,10.149999618530273
05-15,,21.570600509643555,10.149999618530273,10.149999618530273
05-16,22.5,21.570600509643555,10.149999618530273,
05-17,22.5,21.570600509643555,10.149999618530273,
05-18,22.5,21.570600509643555,,10.149999618530273
05-19,22.5,,,10.149999618530273
05-20,,,10.149999618530273,10.149999618530273
05-21,,21.570600509643555,10.149999618530273,10.149999618530273
05-22,22.5,21.570600509643555,10.149999618530273,10.149999618530273
05-23,22.5,21.570600509643555,10.149999618530273,
05-24,22.5,21.570600509643555,10.149999618530273,
05-25,22.5,21.570600509643555,,
05-26,22.5,,,10.149999618530273
05-27,,,,10.149999618530273
05-28,,,10.149999618530273,10.149999618530273
05-29,,21.570600509643555,10.149999618530273,10.149999618530273
05-30,22.5,21.570600509643555,10.149999618530273,
05-31,22.5,21.570600509643555,10.149999618530273,
06-01,22.5,21.570600509643555,,10.149999618530273
06-02,22.5,,,10.149999618530273
06-03,,,10.149999618530273,10.149999618530273
06-04,,21.570600509643555,10.149999618530273,10.149999618530273
06-05,22.5,21.570600509643555,10.149999618530273,10.149999618530273
06-06,22.5,21.570600509643555,10.149999618530273,
06-07,22.5,21.570600509643555,10.149999618530273,
06-08,22.5,21.570600509643555,,10.149999618530273
06-09,22.5,,,10.149999618530273
06-10,,,10.149999618530273,10.149999618530273
06-11,,21.570600509643555,10.149999618530273,10.149999618530273
06-12,22.5,21.570600509643555,10.149999618530273,10.149999618530273
06-13,22.5,21.570600509643555,10.149999618530273,
06-14,22.5,21.570600509643555,10.149999618530273,
06-15,22.5,21.570600509643555,,10.149999618530273
06-16,22.5,,,10.149999618530273
06-17,,,10.149999618530273,10.149999618530273
06-18,,21.570600509643555,10.149999618530273,10.149999618530273
06-19,22.5,21.570600509643555,10.149999618530273,10.149999618530273
06-20,22.5,21.570600509643555,10.149999618530273,
06-21,22.5,21.570600509643555,10.149999618530273,
06-22,22.5,21.570600509643555,,10.149999618530273
06-23,22.5,,,10.149999618530273
06-24,,,10.149999618530273,10.149999618530273
06-25,,21.570600509643555,10.149999618530273,10.149999618530273
06-26,22.5,21.570600509643555,10.149999618530273,10.149999618530273
06-27,22.5,21.570600509643555,10.149999618530273,
06-28,22.5,21.570600509643555,10.149999618530273,
06-29,22.5,21.570600509643555,,10.149999618530273
06-30,22.5,,,10.149999618530273
07-01,,,10.149999618530273,10.149999618530273
07-02,,21.570600509643555,10.149999618530273,10.149999618530273
07-03,22.5,21.570600509643555,10.149999618530273,
07-05,22.5,21.570600509643555,10.149999618530273,
07-06,22.5,21.570600509643555,,10.149999618530273
07-07,22.5,,,10.149999618530273
07-08,,,10.149999618530273,10.149999618530273
07-09,,21.570600509643555,10.149999618530273,10.149999618530273
07-10,22.5,21.570600509643555,10.149999618530273,10.149999618530273
07-11,22.5,21.570600509643555,10.149999618530273,
07-12,22.5,21.570600509643555,10.149999618530273,
07-13,22.5,21.570600509643555,,10.149999618530273
07-14,22.5,,,10.149999618530273
07-15,,,10.149999618530273,10.149999618530273
07-16,,21.570600509643555,10.149999618530273,10.149999618530273
07-17,22.5,21.570600509643555,10.149999618530273,10.149999618530273
07-18,22.5,21.570600509643555,10.149999618530273,
07-19,22.5,21.570600509643555,10.149999618530273,
07-20,22.5,21.570600509643555,,10.149999618530273
07-21,22.5,,,10.149999618530273
07-22,,,10.149999618530273,10.149999618530273
07-23,,21.570600509643555,10.149999618530273,10.149999618530273
07-24,22.5,10.149999618530273,10.149999618530273,10.149999618530273
07-25,22.5,10.149999618530273,10.149999618530273,
07-26,22.5,10.149999618530273,10.149999618530273,
07-27,22.5,10.149999618530273,,10.149999618530273
07-28,22.5,,,10.149999618530273
07-29,,,10.149999618530273,10.149999618530273
07-30,,10.149999618530273,10.149999618530273,10.149999618530273
07-31,22.5,10.149999618530273,10.149999618530273,10.149999618530273
08-01,22.5,10.149999618530273,10.149999618530273,
08-02,22.5,10.149999618530273,10.149999618530273,
08-03,22.5,10.149999618530273,,10.149999618530273
08-04,22.5,,,10.149999618530273
08-05,,,10.149999618530273,10.149999618530273
08-06,,10.149999618530273,10.149999618530273,10.149999618530273
08-07,22.5,10.149999618530273,10.149999618530273,10.149999618530273
08-08,22.5,10.149999618530273,10.149999618530273,
08-09,22.5,10.149999618530273,10.149999618530273,
08-10,22.5,10.149999618530273,,10.149999618530273
08-11,22.5,,,10.149999618530273
08-12,,,10.149999618530273,10.149999618530273
08-13,,10.149999618530273,10.149999618530273,10.149999618530273
08-14,22.5,10.149999618530273,10.149999618530273,10.149999618530273
08-15,22.5,10.149999618530273,10.149999618530273,
08-16,22.5,10.149999618530273,10.149999618530273,
08-17,22.5,10.149999618530273,,10.149999618530273
08-18,22.5,,,10.149999618530273
