,2018,2019,2020
07-16,29.06999969482422,19.15999984741211,18.270000457763672
07-17,29.020000457763672,22.899999618530273,18.399999618530273
07-18,33.90999984741211,23.440000534057617,
07-19,34.5,21.989999771118164,
07-20,37.54999923706055,,19.149999618530273
07-21,,,18.90999984741211
07-22,,22.950000762939453,19.09000015258789
07-23,38.310001373291016,22.75,18.790000915527344
07-24,38.790000915527344,22.959999084472656,18.280000686645508
07-25,39.0099983215332,23.079999923706055,
07-26,33.349998474121094,22.479999542236328,
07-27,31.530000686645508,,19.40999984741211
07-28,,,18.81999969482422
07-29,,22.56999969482422,17.790000915527344
07-30,32.08000183105469,22.8799991607666,18.020000457763672
07-31,32.0,21.219999313354492,16.950000762939453
08-01,31.829999923706055,20.450000762939453,
08-02,32.650001525878906,19.3799991607666,
08-03,34.91999816894531,,17.360000610351562
08-04,,,16.030000686645508
08-05,,18.690000534057617,16.31999969482422
08-06,36.90999984741211,17.940000534057617,16.8700008392334
08-07,37.349998474121094,17.920000076293945,16.5
08-08,38.970001220703125,20.040000915527344,
08-09,38.060001373291016,19.239999771118164,
08-10,40.970001220703125,,17.760000228881836
08-11,,,17.049999237060547
08-12,,18.31999969482422,17.56999969482422
08-13,41.380001068115234,18.31999969482422,17.3799991607666
08-14,41.15999984741211,18.239999771118164,16.940000534057617
08-15,40.75,17.860000610351562,
08-16,40.65999984741211,18.360000610351562,
08-17,40.0,,17.579999923706055
08-18,,,17.270000457763672
08-19,,19.3799991607666,17.3700008392334
08-20,38.66999816894531,19.34000015258789,17.700000762939453
08-21,38.97999954223633,19.75,17.15999984741211
08-22,38.9900016784668,18.84000015258789,
08-23,38.68000030517578,17.90999984741211,
08-24,39.310001373291016,,16.760000228881836
08-25,,,16.989999771118164
08-26,,18.530000686645508,16.979999542236328
08-27,37.72999954223633,18.110000610351562,17.049999237060547
08-28,36.689998626708984,20.059999465942383,17.399999618530273
08-29,35.599998474121094,19.540000915527344,
08-30,34.75,19.479999542236328,
08-31,34.349998474121094,,17.31999969482422
09-01,,,16.399999618530273
09-02,,,15.850000381469727
09-03,,18.790000915527344,15.930000305175781
09-04,32.650001525878906,19.579999923706055,16.420000076293945
09-05,31.790000915527344,20.6200008392334,
09-06,32.650001525878906,20.979999542236328,
09-07,33.2400016784668,,
09-08,,,16.219999313354492
09-09,,20.8700008392334,16.579999923706055
09-10,33.02000045776367,20.309999465942383,16.110000610351562
09-11,35.439998626708984,20.5,15.010000228881836
09-12,36.84000015258789,20.200000762939453,
09-13,36.72999954223633,19.729999542236328,
09-14,39.630001068115234,,15.529999732971191
09-15,,,16.329999923706055
09-16,,18.540000915527344,16.18000030517578
09-17,41.310001373291016,18.719999313354492,16.43000030517578
09-18,41.5,18.81999969482422,16.0
09-19,45.0,18.200000762939453,
09-20,48.0,18.040000915527344,
09-21,49.25,,15.0
09-22,,,14.8100004196167
09-23,,18.079999923706055,13.510000228881836
09-24,50.13999938964844,17.139999389648438,13.100000381469727
09-25,52.2599983215332,16.81999969482422,13.59000015258789
09-26,52.70000076293945,16.079999923706055,
09-27,52.59000015258789,15.1899995803833,
09-28,51.869998931884766,,12.989999771118164
09-29,,,13.329999923706055
09-30,,14.119999885559082,13.020000457763672
10-01,25.1299991607666,13.470000267028809,13.460000038146973
10-02,20.479999542236328,13.609999656677246,12.789999961853027
10-03,23.540000915527344,14.25,
10-04,23.3799991607666,13.880000114440918,
10-05,24.889999389648438,,14.170000076293945
10-06,,,14.449999809265137
10-07,,13.75,14.289999961853027
10-08,25.549999237060547,14.0,15.600000381469727
10-09,24.15999984741211,14.0,15.119999885559082
10-10,23.75,14.0,
10-11,23.610000610351562,14.34000015258789,
10-12,25.170000076293945,,15.130000114440918
10-13,,,15.850000381469727
10-14,,14.039999961853027,15.539999961853027
10-15,26.399999618530273,14.0,15.8100004196167
10-16,29.1200008392334,13.869999885559082,15.680000305175781
10-17,30.530000686645508,14.020000457763672,
10-18,28.719999313354492,13.800000190734863,
10-19,27.440000534057617,,16.139999389648438
10-20,,,15.609999656677246
10-21,,14.210000038146973,15.529999732971191
10-22,27.739999771118164,14.25,16.5
10-23,28.829999923706055,14.59000015258789,16.68000030517578
10-24,30.059999465942383,14.399999618530273,
10-25,32.70000076293945,14.680000305175781,
10-26,30.229999542236328,,16.18000030517578
10-27,,,16.100000381469727
10-28,,14.59000015258789,14.609999656677246
10-29,29.18000030517578,14.550000190734863,14.930000305175781
10-30,28.780000686645508,14.510000228881836,14.279999732971191
10-31,30.059999465942383,14.520000457763672,
11-01,29.610000610351562,14.930000305175781,
11-02,29.399999618530273,,13.84000015258789
11-03,,,15.510000228881836
11-04,,14.520000457763672,16.65999984741211
11-05,29.780000686645508,14.460000038146973,14.90999984741211
11-06,29.84000015258789,14.399999618530273,14.6899995803833
11-07,29.739999771118164,14.550000190734863,
11-08,30.139999389648438,15.390000343322754,
11-09,28.56999969482422,,16.239999771118164
11-10,,,16.190000534057617
11-11,,14.149999618530273,15.640000343322754
11-12,28.31999969482422,13.5,
11-13,29.959999084472656,13.350000381469727,
11-14,29.3799991607666,13.050000190734863,
11-15,28.0,13.3100004196167,
11-16,26.8700008392334,,
11-18,,13.220000267028809,
11-19,24.100000381469727,13.479999542236328,
11-20,22.059999465942383,14.789999961853027,
11-21,24.079999923706055,16.56999969482422,
11-22,,16.489999771118164,
11-23,24.75,,
11-25,,16.030000686645508,
11-26,26.190000534057617,15.640000343322754,
11-27,25.079999923706055,16.18000030517578,
11-28,24.280000686645508,,
11-29,25.690000534057617,16.040000915527344,
11-30,26.790000915527344,,
12-02,,15.960000038146973,
12-03,26.75,16.709999084472656,
12-04,26.829999923706055,17.360000610351562,
12-05,,17.770000457763672,
12-06,27.260000228881836,17.979999542236328,
12-07,25.1200008392334,,
12-09,,18.09000015258789,
12-10,23.670000076293945,18.959999084472656,
12-11,24.579999923706055,19.969999313354492,
12-12,24.3700008392334,21.440000534057617,
12-13,24.93000030517578,21.8799991607666,
12-14,24.3799991607666,,
12-16,,21.729999542236328,
12-17,21.760000228881836,20.670000076293945,
12-18,21.329999923706055,20.079999923706055,
12-19,19.649999618530273,20.079999923706055,
12-20,17.989999771118164,19.989999771118164,
12-21,15.8100004196167,,
12-23,,20.290000915527344,
12-24,15.430000305175781,20.290000915527344,
12-26,16.469999313354492,19.790000915527344,
12-27,17.219999313354492,19.579999923706055,
12-28,16.75,,
12-30,,20.049999237060547,
12-31,16.649999618530273,20.1299991607666,
