,2018,2019,2020
01-02,,15.649999618530273,20.610000610351562
01-03,,16.0,20.5
01-04,,16.719999313354492,
01-06,,,20.68000030517578
01-07,,15.779999732971191,20.139999389648438
01-08,,13.039999961853027,20.489999771118164
01-09,,14.079999923706055,20.59000015258789
01-10,,14.0,19.850000381469727
01-11,,13.920000076293945,
01-13,,,17.969999313354492
01-14,,14.050000190734863,18.450000762939453
01-15,,14.300000190734863,19.829999923706055
01-16,,13.699999809265137,20.790000915527344
01-17,,12.619999885559082,22.780000686645508
01-18,,13.359999656677246,
01-21,,,22.290000915527344
01-22,,13.5,22.760000228881836
01-23,,14.239999771118164,20.690000534057617
01-24,,13.1899995803833,19.600000381469727
01-25,,12.710000038146973,
01-27,,,19.690000534057617
01-28,,12.5,22.690000534057617
01-29,,12.899999618530273,21.440000534057617
01-30,,12.949999809265137,20.639999389648438
01-31,,12.460000038146973,21.729999542236328
02-01,,13.420000076293945,
02-03,,,20.190000534057617
02-04,,14.149999618530273,22.549999237060547
02-05,,15.649999618530273,23.600000381469727
02-06,,15.15999984741211,24.510000228881836
02-07,,14.279999732971191,23.90999984741211
02-08,,13.869999885559082,
02-10,,,26.209999084472656
02-11,,13.890000343322754,27.209999084472656
02-12,,14.359999656677246,26.90999984741211
02-13,,13.729999542236328,23.0
02-14,,14.680000305175781,24.15999984741211
02-15,,15.300000190734863,
02-18,,,22.790000915527344
02-19,,15.5,22.600000381469727
02-20,,15.010000228881836,22.760000228881836
02-21,,14.420000076293945,22.75
02-22,,13.960000038146973,
02-24,,,22.0
02-25,,16.979999542236328,18.770000457763672
02-26,,17.1200008392334,18.239999771118164
02-27,,16.700000762939453,17.969999313354492
02-28,,16.65999984741211,19.299999237060547
03-01,,17.6299991607666,
03-02,,,20.979999542236328
03-03,,,20.329999923706055
03-04,,15.970000267028809,21.440000534057617
03-05,,15.0,20.6200008392334
03-06,,13.979999542236328,20.420000076293945
03-07,,13.319999694824219,
03-08,,13.550000190734863,
03-09,,,19.1299991607666
03-10,,,18.690000534057617
03-11,,13.949999809265137,18.020000457763672
03-12,,13.930000305175781,14.149999618530273
03-13,,14.210000038146973,14.880000114440918
03-14,,14.90999984741211,
03-15,,15.680000305175781,
03-16,,,10.079999923706055
03-17,,,11.09000015258789
03-18,,17.6299991607666,10.470000267028809
03-19,,18.600000381469727,13.760000228881836
03-20,,18.6299991607666,13.649999618530273
03-21,,19.030000686645508,
03-22,,18.200000762939453,
03-23,,,14.390000343322754
03-24,,,14.5
03-25,,17.780000686645508,15.050000190734863
03-26,,18.020000457763672,14.649999618530273
03-27,,19.950000762939453,14.869999885559082
03-28,,20.760000228881836,
03-29,,22.049999237060547,
03-30,,,16.530000686645508
03-31,,,15.5600004196167
04-01,,22.040000915527344,12.1899995803833
04-02,,22.309999465942383,13.34000015258789
04-03,,24.299999237060547,13.510000228881836
04-04,,24.420000076293945,
04-05,,26.959999084472656,
04-06,,,14.979999542236328
04-07,,,13.449999809265137
04-08,,27.290000915527344,13.739999771118164
04-09,,24.68000030517578,13.979999542236328
04-10,,22.09000015258789,
04-11,,21.950000762939453,
04-12,,21.6299991607666,
04-13,,,13.260000228881836
04-14,,,14.25
04-15,,20.709999084472656,13.399999618530273
04-16,,20.690000534057617,12.510000228881836
04-17,,20.020000457763672,13.319999694824219
04-18,,20.18000030517578,
04-20,,,14.170000076293945
04-21,,,13.829999923706055
04-22,,19.6200008392334,14.220000267028809
04-23,,20.040000915527344,14.0600004196167
04-24,,20.0,14.479999542236328
04-25,,19.93000030517578,
04-26,,19.8799991607666,
04-27,,,14.869999885559082
04-28,,,13.850000381469727
04-29,,19.350000381469727,14.520000457763672
04-30,,18.809999465942383,12.869999885559082
05-01,,18.399999618530273,13.149999618530273
05-02,,18.530000686645508,
05-03,,19.010000228881836,
05-04,,,13.65999984741211
05-05,,,15.710000038146973
05-06,,19.399999618530273,15.260000228881836
05-07,,18.579999923706055,14.59000015258789
05-08,,21.079999923706055,14.369999885559082
05-09,,19.600000381469727,
05-10,,19.540000915527344,
05-11,,,16.809999465942383
05-12,,,17.0
05-13,,19.15999984741211,16.75
05-14,,18.209999084472656,15.579999923706055
05-15,,18.399999618530273,15.25
05-16,,19.59000015258789,
05-17,,17.889999389648438,
05-18,,,15.09000015258789
05-19,,,15.600000381469727
05-20,,17.920000076293945,17.020000457763672
05-21,,16.1200008392334,17.31999969482422
05-22,,15.760000228881836,17.600000381469727
05-23,,15.770000457763672,
05-24,,15.579999923706055,
05-26,,,20.239999771118164
05-27,,,20.610000610351562
05-28,,15.59000015258789,19.18000030517578
05-29,,15.039999961853027,20.219999313354492
05-30,,14.670000076293945,
05-31,,14.15999984741211,
06-01,,,20.90999984741211
06-02,,,21.059999465942383
06-03,,14.359999656677246,21.56999969482422
06-04,,14.640000343322754,21.90999984741211
06-05,,14.34000015258789,22.84000015258789
06-06,,14.050000190734863,
06-07,,14.260000228881836,
06-08,,,22.700000762939453
06-09,,,22.959999084472656
06-10,,14.039999961853027,22.530000686645508
06-11,,13.600000381469727,21.6299991607666
06-12,,13.460000038146973,21.940000534057617
06-13,,13.829999923706055,
06-14,,13.539999961853027,
06-15,,,20.549999237060547
06-16,,,21.510000228881836
06-17,,13.5,21.18000030517578
06-18,,13.210000038146973,22.0
06-19,,14.609999656677246,22.139999389648438
06-20,,14.579999923706055,
06-21,31.200000762939453,14.899999618530273,
06-22,30.739999771118164,,22.06999969482422
06-23,,,20.5
06-24,,14.829999923706055,18.920000076293945
06-25,30.479999542236328,15.510000228881836,19.530000686645508
06-26,30.829999923706055,14.380000114440918,18.489999771118164
06-27,30.540000915527344,15.359999656677246,
06-28,28.079999923706055,16.260000228881836,
06-29,28.559999465942383,,17.559999465942383
06-30,,,17.450000762939453
07-01,,16.139999389648438,17.829999923706055
07-02,27.350000381469727,15.260000228881836,17.770000457763672
07-03,26.950000762939453,15.920000076293945,
07-05,27.479999542236328,15.279999732971191,
07-06,28.350000381469727,,17.8799991607666
07-07,,,17.84000015258789
07-08,,15.0,17.440000534057617
07-09,27.989999771118164,14.739999771118164,17.510000228881836
07-10,28.6200008392334,14.520000457763672,17.40999984741211
07-11,28.020000457763672,14.479999542236328,
07-12,29.6200008392334,14.279999732971191,
07-13,28.100000381469727,,16.440000534057617
07-14,,,16.829999923706055
07-15,,16.420000076293945,17.979999542236328
