,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,-1.2830713987350464,11.799642562866211,11.643794059753418,,,17.67572021484375,18.38410758972168,22.32074546813965
01-03,,-1.2830713987350464,11.799642562866211,,,14.533341407775879,17.67572021484375,18.38410758972168,22.32074546813965
01-04,,-1.2830713987350464,,,17.266786575317383,14.533341407775879,17.67572021484375,18.38410758972168,
01-05,,,,11.643794059753418,17.266786575317383,14.533341407775879,17.67572021484375,,
01-06,,,11.740466117858887,11.643794059753418,17.266786575317383,14.533341407775879,,,22.32074546813965
01-07,,-1.2830713987350464,11.740466117858887,11.643794059753418,17.266786575317383,,,18.38410758972168,22.32074546813965
01-08,,-1.2830713987350464,11.740466117858887,11.643794059753418,17.266786575317383,,17.67572021484375,18.38410758972168,22.32074546813965
01-09,,-1.2830713987350464,11.409083366394043,11.643794059753418,,14.533341407775879,17.67572021484375,18.38410758972168,22.32074546813965
01-10,,-1.2830713987350464,11.409083366394043,,,14.533341407775879,17.67572021484375,18.38410758972168,22.32074546813965
01-11,,-1.2830713987350464,,,17.266786575317383,14.533341407775879,17.67572021484375,18.38410758972168,
01-12,,,,11.643794059753418,17.266786575317383,14.533341407775879,17.67572021484375,,
01-13,,,11.409083366394043,11.643794059753418,17.266786575317383,14.533341407775879,,,22.32074546813965
01-14,,-1.2830713987350464,11.409083366394043,11.643794059753418,17.266786575317383,,,17.404956817626953,22.32074546813965
01-15,,-1.2830713987350464,11.409083366394043,11.643794059753418,17.266786575317383,,,17.404956817626953,22.32074546813965
01-16,,-1.2830713987350464,11.409083366394043,11.643794059753418,,,17.67572021484375,17.404956817626953,22.32074546813965
01-17,,-1.2830713987350464,11.409083366394043,,,14.533341407775879,17.67572021484375,17.404956817626953,22.32074546813965
01-18,,-1.2830713987350464,,,,14.533341407775879,17.67572021484375,17.404956817626953,
01-19,,,,,17.266786575317383,14.533341407775879,17.67572021484375,,
01-20,,,,11.643794059753418,17.266786575317383,14.533341407775879,,,
01-21,,,11.409083366394043,11.643794059753418,17.266786575317383,,,,22.32074546813965
01-22,,-1.2830713987350464,11.409083366394043,11.643794059753418,17.266786575317383,,17.67572021484375,17.404956817626953,22.32074546813965
01-23,,-1.2830713987350464,11.409083366394043,11.643794059753418,,14.533341407775879,17.67572021484375,17.404956817626953,22.32074546813965
01-24,,-1.2830713987350464,11.409083366394043,,,14.533341407775879,17.67572021484375,17.404956817626953,22.32074546813965
01-25,,-1.2830713987350464,,,17.266786575317383,14.533341407775879,17.67572021484375,17.404956817626953,
