,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,21.040000915527344,10.760000228881836,,,3.9600000381469727,3.380000114440918,1.6699999570846558
01-03,,21.010000228881836,,,4.71999979019165,3.950000047683716,3.1500000953674316,1.6699999570846558
01-04,,,,3.5,4.519999980926514,4.050000190734863,3.1500000953674316,
01-05,,,10.5600004196167,3.490000009536743,4.650000095367432,4.099999904632568,,
01-06,,20.700000762939453,10.649999618530273,3.609999895095825,4.650000095367432,,,1.659999966621399
01-07,,20.600000381469727,10.350000381469727,3.490000009536743,,,3.200000047683716,1.6200000047683716
01-08,,20.520000457763672,10.229999542236328,3.559999942779541,,4.099999904632568,3.2300000190734863,1.6200000047683716
01-09,,20.299999237060547,10.210000038146973,,4.630000114440918,4.0,3.299999952316284,1.6100000143051147
01-10,,20.350000381469727,,,4.5,4.0,3.390000104904175,1.6699999570846558
01-11,,,,3.5,4.320000171661377,4.099999904632568,3.390000104904175,
01-12,,,10.069999694824219,3.5,4.400000095367432,4.0,,
01-13,,19.8799991607666,10.0,3.4000000953674316,4.309999942779541,,,1.5299999713897705
01-14,,20.350000381469727,10.170000076293945,3.4700000286102295,,,3.299999952316284,1.6799999475479126
01-15,,20.479999542236328,10.15999984741211,3.319999933242798,,,3.25,1.5199999809265137
01-16,,20.600000381469727,10.430000305175781,,,4.099999904632568,3.240000009536743,1.5199999809265137
01-17,,20.5,,,4.400000095367432,4.150000095367432,3.240000009536743,1.5199999809265137
01-18,,,,,4.650000095367432,4.119999885559082,3.059999942779541,
01-19,,,,3.4200000762939453,4.550000190734863,4.010000228881836,,
01-20,,,10.75,3.4200000762939453,4.380000114440918,,,
01-21,,20.459999084472656,10.720000267028809,3.450000047683716,,,,1.5199999809265137
01-22,,20.399999618530273,10.819999694824219,3.450000047683716,,4.090000152587891,3.299999952316284,1.5199999809265137
01-23,14.149999618530273,20.459999084472656,10.649999618530273,,4.489999771118164,4.079999923706055,3.299999952316284,1.4900000095367432
01-24,14.149999618530273,20.149999618530273,,,4.400000095367432,4.090000152587891,3.25,1.4900000095367432
01-25,13.979999542236328,,,3.4700000286102295,4.400000095367432,4.070000171661377,3.309999942779541,
01-26,,,10.6899995803833,3.4100000858306885,4.380000114440918,4.079999923706055,,
01-27,,20.040000915527344,10.6899995803833,3.5,4.409999847412109,,,1.4900000095367432
01-28,13.979999542236328,19.799999237060547,10.75,3.509999990463257,,,3.4000000953674316,1.3200000524520874
01-29,13.979999542236328,19.389999389648438,10.649999618530273,3.5,,4.079999923706055,3.5,1.399999976158142
01-30,14.239999771118164,19.15999984741211,10.829999923706055,,4.25,4.050000190734863,3.3299999237060547,1.4800000190734863
01-31,14.199999809265137,19.190000534057617,,,4.25,4.059999942779541,3.359999895095825,1.4700000286102295
02-01,14.199999809265137,,,3.5399999618530273,4.119999885559082,4.099999904632568,3.440000057220459,
02-02,,,10.850000381469727,3.4600000381469727,4.150000095367432,4.099999904632568,,
02-03,,18.950000762939453,11.630000114440918,3.549999952316284,4.199999809265137,,,1.399999976158142
02-04,14.199999809265137,19.049999237060547,11.449999809265137,3.559999942779541,,,3.4000000953674316,1.399999976158142
02-05,14.199999809265137,19.100000381469727,11.140000343322754,3.5999999046325684,,4.0,3.5,1.3600000143051147
02-06,14.199999809265137,19.399999618530273,11.390000343322754,,4.25,4.059999942779541,3.309999942779541,1.3600000143051147
02-07,14.199999809265137,19.420000076293945,,,4.179999828338623,4.019999980926514,3.700000047683716,1.3600000143051147
02-08,14.199999809265137,,,3.5399999618530273,4.190000057220459,4.079999923706055,3.6700000762939453,
02-09,,,11.729999542236328,3.5199999809265137,4.150000095367432,4.0,,
02-10,,19.420000076293945,11.850000381469727,3.549999952316284,4.150000095367432,,,1.2999999523162842
02-11,14.199999809265137,19.56999969482422,11.4399995803833,3.509999990463257,,,3.6700000762939453,1.2899999618530273
02-12,15.479999542236328,19.549999237060547,12.199999809265137,3.5899999141693115,,3.9700000286102295,3.6700000762939453,1.2999999523162842
02-13,15.539999961853027,19.420000076293945,12.539999961853027,,4.199999809265137,4.039999961853027,3.5999999046325684,1.3200000524520874
02-14,14.84000015258789,19.5,,,4.5,3.9600000381469727,3.8299999237060547,1.3200000524520874
02-15,14.84000015258789,,,,4.329999923706055,3.880000114440918,3.7799999713897705,
02-16,,,,3.5,4.5,3.9600000381469727,,
02-17,,,11.149999618530273,3.430000066757202,4.489999771118164,,,
02-18,,19.6299991607666,10.949999809265137,3.4200000762939453,,,,1.2100000381469727
02-19,14.84000015258789,19.959999084472656,10.619999885559082,3.4000000953674316,,,3.7799999713897705,1.1799999475479126
02-20,14.84000015258789,19.81999969482422,10.779999732971191,,,3.799999952316284,3.799999952316284,1.2300000190734863
02-21,14.84000015258789,20.100000381469727,,,4.269999980926514,3.799999952316284,3.859999895095825,1.2699999809265137
02-22,14.84000015258789,,,3.4000000953674316,4.230000019073486,3.799999952316284,3.9000000953674316,
02-23,,,10.5,3.140000104904175,4.119999885559082,3.690000057220459,,
02-24,,20.170000076293945,10.619999885559082,3.069999933242798,4.130000114440918,,,1.2400000095367432
02-25,14.84000015258789,20.260000228881836,10.720000267028809,3.069999933242798,,,3.9000000953674316,1.1799999475479126
02-26,14.84000015258789,20.450000762939453,9.5,3.3399999141693115,,3.700000047683716,3.9800000190734863,1.149999976158142
02-27,14.84000015258789,20.329999923706055,9.859999656677246,,4.150000095367432,3.700000047683716,3.9800000190734863,1.1799999475479126
02-28,14.84000015258789,20.719999313354492,,,4.079999923706055,4.070000171661377,4.119999885559082,1.1100000143051147
02-29,,,,3.2300000190734863,,,,
03-01,14.84000015258789,,,3.380000114440918,4.019999980926514,4.099999904632568,3.950000047683716,
03-02,,,9.819999694824219,3.259999990463257,4.050000190734863,4.099999904632568,,1.090000033378601
03-03,,20.600000381469727,9.829999923706055,3.309999942779541,4.050000190734863,,,1.0
03-04,14.84000015258789,19.84000015258789,9.600000381469727,3.4700000286102295,,,3.950000047683716,1.0399999618530273
03-05,14.84000015258789,19.770000457763672,9.670000076293945,,,4.199999809265137,3.690000057220459,1.0399999618530273
03-06,14.84000015258789,19.860000610351562,9.550000190734863,,4.039999961853027,4.300000190734863,3.5,1.0199999809265137
03-07,14.84000015258789,19.75,,3.5199999809265137,4.230000019073486,4.199999809265137,3.490000009536743,
03-08,14.84000015258789,,,3.4800000190734863,4.079999923706055,4.289999961853027,3.5199999809265137,
03-09,,,9.579999923706055,3.5799999237060547,4.019999980926514,4.349999904632568,,0.9200000166893005
03-10,,19.799999237060547,9.0,3.4100000858306885,3.9800000190734863,,,0.8600000143051147
03-11,14.84000015258789,19.889999389648438,8.600000381469727,3.369999885559082,,,3.700000047683716,0.7599999904632568
03-12,14.84000015258789,19.760000228881836,8.5,,,4.429999828338623,3.7200000286102295,0.550000011920929
03-13,14.84000015258789,19.420000076293945,8.0600004196167,,4.010000228881836,4.429999828338623,3.7200000286102295,0.5400000214576721
03-14,14.84000015258789,19.600000381469727,,3.369999885559082,3.9700000286102295,4.449999809265137,3.7200000286102295,
03-15,14.84000015258789,,,3.369999885559082,4.0,4.46999979019165,3.7200000286102295,
03-16,,,7.389999866485596,3.4000000953674316,3.9100000858306885,4.559999942779541,,0.49000000953674316
03-17,,19.739999771118164,7.099999904632568,3.4100000858306885,3.9100000858306885,,,0.5
03-18,14.84000015258789,19.549999237060547,7.119999885559082,3.549999952316284,,,3.700000047683716,0.550000011920929
03-19,14.84000015258789,19.399999618530273,7.289999961853027,,,4.510000228881836,3.630000114440918,0.550000011920929
03-20,14.84000015258789,19.5,7.389999866485596,,4.0,4.46999979019165,3.75,0.49000000953674316
03-21,14.84000015258789,19.6200008392334,,3.5899999141693115,4.0,4.5,3.809999942779541,
03-22,14.84000015258789,,,3.549999952316284,3.990000009536743,4.579999923706055,3.809999942779541,
03-23,,,7.849999904632568,3.549999952316284,3.7799999713897705,4.579999923706055,,0.44999998807907104
03-24,,19.760000228881836,7.840000152587891,3.549999952316284,3.7699999809265137,,,0.47999998927116394
03-25,14.84000015258789,19.950000762939453,7.619999885559082,,,,3.7300000190734863,0.5
03-26,14.84000015258789,20.149999618530273,7.599999904632568,,,4.579999923706055,3.7300000190734863,0.5
03-27,14.84000015258789,20.350000381469727,7.650000095367432,,3.690000057220459,4.599999904632568,3.9100000858306885,0.5
03-28,14.84000015258789,20.350000381469727,,3.619999885559082,3.690000057220459,4.599999904632568,3.799999952316284,
03-29,,,,3.619999885559082,3.75,4.300000190734863,3.690000057220459,
03-30,,,7.599999904632568,3.700000047683716,3.75,,,0.5299999713897705
03-31,,20.75,7.639999866485596,3.700000047683716,3.8399999141693115,,,0.44999998807907104
04-01,14.84000015258789,21.049999237060547,7.789999961853027,3.700000047683716,,,3.690000057220459,0.4699999988079071
04-02,13.850000381469727,21.31999969482422,7.670000076293945,,,4.550000190734863,3.690000057220459,0.5400000214576721
04-03,13.850000381469727,21.600000381469727,,,3.8499999046325684,4.360000133514404,3.7899999618530273,0.5400000214576721
04-04,13.850000381469727,21.600000381469727,,3.7200000286102295,3.7799999713897705,4.25,3.5999999046325684,
04-05,13.850000381469727,,,3.509999990463257,3.8399999141693115,4.25,3.5999999046325684,
04-06,,,7.800000190734863,3.569999933242798,3.7799999713897705,4.590000152587891,,0.5199999809265137
04-07,,21.399999618530273,7.820000171661377,3.569999933242798,3.7799999713897705,,,0.5199999809265137
04-08,13.850000381469727,21.6299991607666,7.78000020980835,3.700000047683716,,,3.559999942779541,0.5199999809265137
04-09,13.850000381469727,21.600000381469727,7.949999809265137,,,4.570000171661377,3.5199999809265137,0.5199999809265137
04-10,13.850000381469727,21.450000762939453,7.96999979019165,,3.700000047683716,4.590000152587891,3.509999990463257,
04-11,13.850000381469727,21.399999618530273,,3.680000066757202,3.700000047683716,4.670000076293945,3.509999990463257,
04-12,13.850000381469727,,,3.6700000762939453,3.7300000190734863,4.650000095367432,3.509999990463257,
04-13,,,7.610000133514404,3.6700000762939453,3.7699999809265137,4.670000076293945,,0.5199999809265137
04-14,,21.389999389648438,7.760000228881836,3.569999933242798,,,,0.5299999713897705
04-15,13.850000381469727,21.299999237060547,8.479999542236328,3.6500000953674316,,,3.6500000953674316,0.5099999904632568
04-16,13.850000381469727,22.0,8.510000228881836,,,4.670000076293945,3.509999990463257,0.5099999904632568
04-17,13.850000381469727,22.350000381469727,8.399999618530273,,3.7300000190734863,4.650000095367432,3.609999895095825,0.4699999988079071
04-18,13.850000381469727,,,3.509999990463257,3.7699999809265137,4.769999980926514,3.549999952316284,
04-19,13.850000381469727,,,3.490000009536743,3.7100000381469727,4.909999847412109,,
04-20,,,8.289999961853027,3.819999933242798,3.7100000381469727,4.920000076293945,,0.5
04-21,,22.15999984741211,8.109999656677246,3.609999895095825,3.6500000953674316,,,0.5
04-22,13.850000381469727,21.899999618530273,7.900000095367432,3.690000057220459,,,3.5,0.44999998807907104
04-23,13.850000381469727,21.68000030517578,7.96999979019165,,,4.929999828338623,3.5999999046325684,0.46000000834465027
04-24,13.850000381469727,21.690000534057617,8.09000015258789,,3.7200000286102295,4.929999828338623,3.5999999046325684,0.4300000071525574
04-25,13.850000381469727,21.81999969482422,,3.700000047683716,3.609999895095825,5.090000152587891,3.640000104904175,
04-26,14.15999984741211,,,3.619999885559082,3.619999885559082,5.300000190734863,3.640000104904175,
04-27,,,8.0,3.509999990463257,3.619999885559082,5.75,,0.47999998927116394
04-28,,22.200000762939453,8.050000190734863,3.319999933242798,3.619999885559082,,,0.49000000953674316
04-29,14.100000381469727,22.190000534057617,8.149999618530273,3.2799999713897705,,,3.5,0.49000000953674316
04-30,14.100000381469727,22.5,8.199999809265137,,,5.25,3.4000000953674316,0.49000000953674316
05-01,14.100000381469727,22.5,8.130000114440918,,3.619999885559082,5.480000019073486,3.4200000762939453,0.49000000953674316
05-02,13.949999809265137,22.5,,3.2300000190734863,3.630000114440918,5.269999980926514,3.3499999046325684,
05-03,14.0,,,3.25,3.630000114440918,5.230000019073486,3.4700000286102295,
05-04,,,8.25,3.0999999046325684,3.609999895095825,5.070000171661377,,0.5299999713897705
05-05,,22.520000457763672,8.6899995803833,3.0399999618530273,3.609999895095825,,,0.5299999713897705
05-06,14.100000381469727,22.549999237060547,9.119999885559082,3.0399999618530273,,,3.4700000286102295,0.5199999809265137
05-07,14.149999618530273,22.299999237060547,8.770000457763672,,,5.340000152587891,3.440000057220459,0.5199999809265137
05-08,14.600000381469727,22.399999618530273,8.779999732971191,,3.630000114440918,5.079999923706055,3.309999942779541,0.49000000953674316
05-09,14.520000457763672,22.229999542236328,,3.049999952316284,3.630000114440918,5.5,3.309999942779541,
05-10,14.34000015258789,,,2.9700000286102295,3.630000114440918,5.599999904632568,3.3499999046325684,
