,2018,2019,2020
01-02,,14.15999984741211,27.520000457763672
01-03,,13.520000457763672,27.010000228881836
01-04,,14.729999542236328,
01-06,,,27.459999084472656
01-07,,14.34000015258789,26.950000762939453
01-08,,13.319999694824219,26.940000534057617
01-09,,14.489999771118164,32.560001373291016
01-10,,14.6899995803833,32.380001068115234
01-11,,14.350000381469727,
01-13,,,30.389999389648438
01-14,,14.949999809265137,30.920000076293945
01-15,,14.989999771118164,30.440000534057617
01-16,,14.949999809265137,31.5
01-17,,15.0600004196167,31.5
01-18,,15.180000305175781,
01-21,,,31.84000015258789
01-22,,14.850000381469727,31.530000686645508
01-23,,14.720000267028809,31.040000915527344
01-24,,14.84000015258789,30.59000015258789
01-25,,14.989999771118164,
01-27,,,30.25
01-28,,14.350000381469727,30.770000457763672
01-29,,14.270000457763672,30.350000381469727
01-30,,14.1899995803833,29.809999465942383
01-31,,14.600000381469727,29.030000686645508
02-01,,14.8100004196167,
02-03,,,29.399999618530273
02-04,,15.180000305175781,29.780000686645508
02-05,,14.649999618530273,29.049999237060547
02-06,,14.90999984741211,30.059999465942383
02-07,,14.800000190734863,30.209999084472656
02-08,,14.899999618530273,
02-10,,,30.950000762939453
02-11,,14.5600004196167,31.549999237060547
02-12,,15.720000267028809,33.349998474121094
02-13,,15.699999809265137,33.7400016784668
02-14,,15.649999618530273,34.290000915527344
02-15,,16.440000534057617,
02-18,,,34.54999923706055
02-19,,18.0,35.0099983215332
02-20,,21.1299991607666,35.959999084472656
02-21,,22.5,36.09000015258789
02-22,,21.5,
02-24,,,35.40999984741211
02-25,,21.450000762939453,35.939998626708984
02-26,,21.34000015258789,36.54999923706055
02-27,,20.850000381469727,35.099998474121094
02-28,,21.260000228881836,35.45000076293945
03-01,,21.75,
03-02,,,37.189998626708984
03-03,,,36.369998931884766
03-04,,21.440000534057617,37.72999954223633
03-05,,20.75,36.790000915527344
03-06,,19.90999984741211,35.93000030517578
03-07,,20.469999313354492,
03-08,,20.530000686645508,
03-09,,,32.349998474121094
03-10,,,32.029998779296875
03-11,,21.420000076293945,30.219999313354492
03-12,,20.6200008392334,27.18000030517578
03-13,,22.0,25.520000457763672
03-14,,21.5,
03-15,,22.600000381469727,
03-16,,,20.149999618530273
03-17,,,20.260000228881836
03-18,,21.84000015258789,16.440000534057617
03-19,,22.280000686645508,17.860000610351562
03-20,,23.540000915527344,18.15999984741211
03-21,,24.350000381469727,
03-22,,23.239999771118164,
03-23,,,18.3700008392334
03-24,,,20.969999313354492
03-25,,22.989999771118164,22.309999465942383
