,2017,2018,2019,2020
01-02,,0.20999999344348907,0.07999999821186066,0.028999999165534973
01-03,,0.20000000298023224,0.07999999821186066,0.028999999165534973
01-04,,0.20000000298023224,0.07999999821186066,
01-05,,0.20000000298023224,,
01-06,,,,0.028999999165534973
01-07,,,0.07999999821186066,0.028999999165534973
01-08,,0.20900000631809235,0.07999999821186066,0.028999999165534973
01-09,,0.2549999952316284,0.05000000074505806,0.028999999165534973
01-10,,0.28999999165534973,0.05000000074505806,0.028999999165534973
01-11,,0.2800000011920929,0.05000000074505806,
01-12,,0.2800000011920929,,
01-13,,,,0.028999999165534973
01-14,,,0.05000000074505806,0.028999999165534973
01-15,,,0.05000000074505806,0.028999999165534973
01-16,,0.3100000023841858,0.05000000074505806,0.028999999165534973
01-17,,0.2770000100135803,0.05000000074505806,0.028999999165534973
01-18,,0.28999999165534973,0.05000000074505806,
01-19,,0.28999999165534973,,
01-21,,,,0.028999999165534973
01-22,,0.23999999463558197,0.05000000074505806,0.028999999165534973
01-23,,0.23999999463558197,0.05000000074505806,0.04100000113248825
01-24,,0.25999999046325684,0.05000000074505806,0.04100000113248825
01-25,,0.19499999284744263,0.07000000029802322,
01-26,,0.25,,
01-27,,,,0.04100000113248825
01-28,,,0.07000000029802322,0.04100000113248825
01-29,,0.25,0.07000000029802322,0.04100000113248825
01-30,,0.25,0.07000000029802322,0.04100000113248825
01-31,,0.23000000417232513,0.027000000700354576,0.05000000074505806
02-01,,0.23199999332427979,0.05999999865889549,
02-02,,0.2549999952316284,,
02-03,,,,0.05000000074505806
02-04,,,0.04500000178813934,0.029999999329447746
02-05,,0.25,0.04500000178813934,0.029999999329447746
02-06,,0.20000000298023224,0.04500000178813934,0.029999999329447746
02-07,,0.20000000298023224,0.04500000178813934,0.029999999329447746
02-08,,0.20999999344348907,0.04500000178813934,
02-09,,0.20999999344348907,,
02-10,,,,0.029999999329447746
02-11,,,0.04500000178813934,0.029999999329447746
02-12,,0.20999999344348907,0.04500000178813934,0.029999999329447746
02-13,,0.20999999344348907,0.04500000178813934,0.029999999329447746
02-14,,0.20999999344348907,0.04500000178813934,0.029999999329447746
02-15,,0.20999999344348907,0.04500000178813934,
02-16,,0.20999999344348907,,
02-18,,,,0.029999999329447746
