,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,200.0,87.0,1.2999999523162842,,,2.5,0.75,0.25999999046325684
01-03,,31.0,200.0,90.0,,,0.8999999761581421,2.5,0.75,0.25999999046325684
01-04,,31.0,200.0,,,1.6000000238418581,0.8999999761581421,2.5,0.75,
01-05,,31.0,,,1.6000000238418581,1.2999999523162842,0.8999999761581421,2.5,,
01-06,,31.0,,87.0,1.399999976158142,1.2999999523162842,0.8999999761581421,,,0.25999999046325684
01-07,,,200.0,103.9000015258789,2.5,1.2999999523162842,,,0.75,0.25999999046325684
01-08,,,200.0,105.0,2.700000047683716,1.2999999523162842,,2.5,0.75,0.25999999046325684
01-09,,31.0,200.0,159.0,2.700000047683716,,0.8999999761581421,7.800000190734862,0.75,0.25999999046325684
01-10,,31.0,320.0,155.0,,,0.8999999761581421,3.0,0.75,0.25999999046325684
01-11,,31.0,350.0,,,1.2999999523162842,0.8999999761581421,2.299999952316284,0.75,
01-12,,31.0,,,3.0,1.2999999523162842,0.8999999761581421,3.0,,
01-13,3.0,31.0,,155.0,3.5,1.6000000238418581,0.8999999761581421,,,0.25999999046325684
01-14,3.0,,355.0,150.0,3.5,1.7000000476837158,,,0.75,0.25999999046325684
01-15,,,315.0,140.0,3.400000095367432,1.7000000476837158,,,0.4000000059604645,0.25999999046325684
01-16,,,370.0,179.5,3.0,,,3.0,0.4000000059604645,0.25999999046325684
01-17,,31.0,369.5,206.0,,,0.8999999761581421,2.200000047683716,0.4000000059604645,0.25999999046325684
01-18,3.0,31.0,370.0,,,,0.8999999761581421,2.0,0.4000000059604645,
01-19,3.0,31.0,,,,1.7000000476837158,0.8999999761581421,2.0,,
01-20,3.0,31.0,,,2.5,1.7000000476837158,0.8999999761581421,,,
01-21,3.0,,,271.0,2.5,1.7000000476837158,,,,0.25999999046325684
01-22,,,370.0,250.0,2.5,1.7000000476837158,,1.6000000238418581,0.4000000059604645,0.25999999046325684
01-23,,31.0,370.0,199.0,2.5,,0.8999999761581421,1.6000000238418581,0.4000000059604645,0.25999999046325684
01-24,3.0,31.0,375.0,210.0,,,0.8999999761581421,2.390000104904175,0.5099999904632568,0.25999999046325684
01-25,3.0,31.0,380.1000061035156,,,1.2999999523162842,0.8999999761581421,1.0099999904632568,0.5099999904632568,
01-26,3.0,31.0,,,2.5,1.0,0.8999999761581421,3.0,,
01-27,3.0,31.0,,255.0,2.700000047683716,1.0,0.8999999761581421,,,0.25999999046325684
01-28,3.0,,395.0,275.0,2.5999999046325684,1.0,,,0.5099999904632568,0.25999999046325684
01-29,,,410.0,251.0,2.799999952316284,1.0,,2.5799999237060547,0.5099999904632568,0.25999999046325684
01-30,,31.0,445.0,220.0,2.799999952316284,,0.8999999761581421,2.5799999237060547,0.5099999904632568,0.25999999046325684
01-31,3.0,31.0,420.0,242.5,,,0.8999999761581421,2.400000095367432,0.5099999904632568,0.25999999046325684
02-01,3.0,31.0,415.0,,,1.0,0.8999999761581421,1.75,0.5099999904632568,
02-02,3.0,31.0,,,2.799999952316284,1.7999999523162842,0.8999999761581421,1.5,,
02-03,3.0,31.0,,260.0,3.0,1.7999999523162842,0.8999999761581421,,,0.25999999046325684
02-04,3.0,,422.0,250.0,3.0,1.100000023841858,,,0.5099999904632568,0.20000000298023224
02-05,,,450.0,270.0,5.0,1.399999976158142,,1.5,0.5099999904632568,0.20000000298023224
02-06,,31.0,450.0,260.0,6.0,,0.8999999761581421,1.5,0.5099999904632568,0.20000000298023224
02-07,3.0,31.0,461.0,239.8999938964844,,,0.8999999761581421,1.5,0.5099999904632568,0.20000000298023224
02-08,3.0,31.0,540.0,,,1.399999976158142,0.8999999761581421,1.5,0.5099999904632568,
02-09,3.0,31.0,,,4.599999904632568,1.7000000476837158,0.8999999761581421,1.5,,
02-10,3.0,31.0,,240.0,5.0,1.7000000476837158,0.8999999761581421,,,0.20000000298023224
02-11,3.0,,570.0,222.0,5.0,1.7000000476837158,,,0.5099999904632568,0.16599999368190765
02-12,,,610.0,230.0,5.0,1.7000000476837158,,1.5,0.5099999904632568,0.16599999368190765
02-13,,31.0,600.0,239.1000061035156,6.5,,0.8999999761581421,1.5,0.5099999904632568,0.16599999368190765
02-14,3.0,31.0,630.0,235.0,,,0.8999999761581421,1.5,0.5099999904632568,0.16599999368190765
