,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,32.21532440185547,29.24580383300781,,,30.96257781982422,19.111309051513672,44.02816390991211
01-03,,32.21532440185547,,,26.653276443481445,30.96257781982422,18.703392028808594,44.02816390991211
01-04,,,,32.85351181030273,26.653276443481445,30.96257781982422,19.770915985107425,
01-05,,,29.24580383300781,32.85351181030273,28.805450439453125,30.96257781982422,,
01-06,,32.21532440185547,29.24580383300781,32.85351181030273,28.49799346923828,,,44.02816390991211
01-07,,32.21532440185547,29.24580383300781,32.85351181030273,,,20.60410690307617,45.08089065551758
01-08,,32.21532440185547,29.24580383300781,32.85351181030273,,31.04730224609375,20.69089698791504,45.08089065551758
01-09,,32.21532440185547,29.24580383300781,,28.40283203125,31.51713562011719,20.69089698791504,45.08089065551758
01-10,,32.21532440185547,,,27.01929473876953,31.51713562011719,20.49127960205078,45.08089065551758
01-11,,,,32.85351181030273,27.01929473876953,31.51713562011719,20.69957733154297,
01-12,,,29.24580383300781,32.85351181030273,27.01929473876953,31.51713562011719,,
01-13,,32.21532440185547,29.24580383300781,32.85351181030273,27.01929473876953,,,45.08089065551758
01-14,,32.21532440185547,29.24580383300781,32.85351181030273,,,20.90787506103516,45.08089065551758
01-15,,32.21532440185547,29.24580383300781,32.85351181030273,,,19.762237548828125,45.08089065551758
01-16,,32.21532440185547,29.24580383300781,,,36.508113861083984,19.762237548828125,45.08089065551758
01-17,,32.21532440185547,,,27.01929473876953,33.689136505126946,19.84034919738769,45.08089065551758
01-18,,,,,27.01929473876953,33.689136505126946,19.82299041748047,
01-19,,,,32.85351181030273,27.01929473876953,37.108882904052734,,
01-20,,,29.24580383300781,32.85351181030273,27.01929473876953,,,
01-21,,32.21532440185547,29.24580383300781,32.85351181030273,,,,45.08089065551758
01-22,,32.21532440185547,29.24580383300781,32.85351181030273,,37.108882904052734,19.3890380859375,45.08089065551758
01-23,,32.21532440185547,29.24580383300781,,27.01929473876953,37.108882904052734,19.3890380859375,45.08089065551758
01-24,,32.21532440185547,,,27.01929473876953,37.108882904052734,19.3890380859375,45.08089065551758
01-25,,,,30.09783935546875,26.78504180908203,35.160240173339844,21.819175720214844,
01-26,,,29.24580383300781,30.09783935546875,26.78504180908203,35.160240173339844,,
01-27,,32.21532440185547,29.24580383300781,30.09783935546875,28.03681755065918,,,45.08089065551758
01-28,,32.21532440185547,29.24580383300781,30.09783935546875,,,22.261808395385746,45.08089065551758
01-29,,32.21532440185547,29.24580383300781,30.09783935546875,,37.32454299926758,22.71312141418457,45.08089065551758
01-30,,32.21532440185547,29.24580383300781,,28.03681755065918,37.32454299926758,22.71312141418457,45.08089065551758
01-31,,32.21532440185547,,,28.03681755065918,36.777687072753906,22.71312141418457,45.08089065551758
