,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,12.649999618530273,12.5,6.349999904632568,,,5.0,5.449999809265137,44.79999923706055
01-03,,12.5,12.850000381469727,,,9.0,4.900000095367432,5.599999904632568,45.0
01-04,,12.800000190734863,,,7.449999809265137,8.649999618530273,4.900000095367432,6.099999904632568,
01-05,,,,6.349999904632568,7.550000190734863,8.199999809265137,4.849999904632568,,
01-06,,,12.850000381469727,6.099999904632568,7.099999904632568,8.050000190734863,,,44.349998474121094
01-07,,12.449999809265137,13.199999809265137,6.099999904632568,7.0,,,6.349999904632568,43.54999923706055
01-08,,12.75,12.800000190734863,6.150000095367432,7.050000190734863,,4.550000190734863,7.199999809265137,43.04999923706055
01-09,,12.850000381469727,12.850000381469727,6.5,,8.300000190734863,4.800000190734863,8.399999618530273,44.599998474121094
01-10,,12.399999618530273,12.199999809265137,,,8.199999809265137,4.5,8.300000190734863,46.29999923706055
01-11,,12.399999618530273,,,7.099999904632568,8.0,4.800000190734863,8.699999809265137,
01-12,,,,6.5,7.0,8.550000190734863,4.550000190734863,,
01-13,,,12.75,6.5,6.900000095367432,8.550000190734863,,,46.849998474121094
01-14,,12.350000381469727,12.350000381469727,6.5,6.900000095367432,,,8.449999809265137,50.20000076293945
01-15,,12.5,12.600000381469727,6.699999809265137,6.949999809265137,,,8.649999618530273,51.25
01-16,,12.300000190734863,12.699999809265137,6.699999809265137,,,4.449999809265137,8.5,51.900001525878906
01-17,,12.5,12.75,,,8.800000190734863,4.449999809265137,8.649999618530273,51.099998474121094
01-18,,12.449999809265137,,,,8.850000381469727,4.550000190734863,9.399999618530273,
01-19,,,,,6.900000095367432,8.699999809265137,4.599999904632568,,
01-20,,,,6.599999904632568,6.75,8.5,,,
01-21,,,12.550000190734863,6.300000190734863,7.050000190734863,,,,49.75
01-22,,12.25,12.649999618530273,6.300000190734863,6.900000095367432,,4.650000095367432,9.199999809265137,47.400001525878906
01-23,,12.600000381469727,12.350000381469727,6.300000190734863,,8.600000381469727,4.5,8.75,47.849998474121094
01-24,,12.350000381469727,12.5,,,8.5,4.349999904632568,8.350000381469727,46.95000076293945
01-25,,12.399999618530273,,,7.099999904632568,8.300000190734863,4.449999809265137,8.350000381469727,
01-26,,,,6.5,7.699999809265137,8.399999618530273,4.349999904632568,,
01-27,,,12.5,6.25,7.050000190734863,8.449999809265137,,,44.79999923706055
01-28,,12.75,12.75,6.400000095367432,7.050000190734863,,,8.300000190734863,44.29999923706055
01-29,,12.75,12.100000381469727,6.400000095367432,7.849999904632568,,4.5,8.199999809265137,46.45000076293945
01-30,,12.949999809265137,12.149999618530273,6.400000095367432,,8.550000190734863,4.949999809265137,8.399999618530273,43.650001525878906
01-31,,13.25,11.800000190734863,,,8.600000381469727,4.849999904632568,9.399999618530273,42.75
02-01,,13.25,,,7.75,8.350000381469727,5.199999809265137,9.649999618530273,
02-02,,,,6.449999809265137,7.5,8.449999809265137,5.199999809265137,,
02-03,,,11.600000381469727,6.349999904632568,7.5,8.399999618530273,,,45.650001525878906
02-04,,12.800000190734863,11.5,6.650000095367432,7.5,,,10.199999809265137,47.95000076293945
02-05,,12.550000190734863,11.600000381469727,6.849999904632568,7.400000095367432,,4.75,9.800000190734863,48.79999923706055
02-06,,13.0,11.399999618530273,6.449999809265137,,8.649999618530273,5.050000190734863,9.850000381469727,49.0
02-07,,13.0,11.5,,,8.949999809265137,5.0,9.449999809265137,47.900001525878906
02-08,,13.0,,,7.349999904632568,8.75,4.699999809265137,9.5,
02-09,,,,6.449999809265137,7.75,9.0,4.699999809265137,,
02-10,,,11.5,6.300000190734863,7.25,9.050000190734863,,,51.45000076293945
02-11,,14.399999618530273,11.199999809265137,6.050000190734863,7.75,,,9.649999618530273,53.349998474121094
02-12,,14.699999809265137,10.949999809265137,6.199999809265137,8.0,,5.25,9.899999618530273,52.20000076293945
02-13,,14.75,10.899999618530273,6.300000190734863,,9.0,5.949999809265137,10.600000381469727,51.95000076293945
02-14,,15.25,10.649999618530273,,,8.25,5.650000095367432,10.699999809265137,54.25
02-15,,15.800000190734863,,,,8.600000381469727,5.300000190734863,10.800000190734863,
02-16,,,,,7.849999904632568,8.899999618530273,5.25,,
02-17,,,,6.25,7.349999904632568,8.899999618530273,,,
02-18,,,11.0,6.25,7.5,,,,54.150001525878906
02-19,,15.800000190734863,11.149999618530273,6.25,7.599999904632568,,,10.350000381469727,55.20000076293945
02-20,,15.25,11.75,6.25,,,5.25,10.399999618530273,51.25
02-21,,14.949999809265137,11.350000381469727,,,8.600000381469727,5.050000190734863,10.0,49.5
02-22,,14.649999618530273,,,7.5,8.899999618530273,5.099999904632568,9.699999809265137,
02-23,,,,6.300000190734863,7.5,8.899999618530273,5.099999904632568,,
02-24,,,11.399999618530273,6.25,7.5,8.850000381469727,,,46.70000076293945
02-25,,14.5,11.399999618530273,6.25,7.099999904632568,,,10.149999618530273,45.79999923706055
02-26,,14.149999618530273,11.100000381469727,6.050000190734863,7.099999904632568,,5.199999809265137,10.350000381469727,44.0
02-27,,13.850000381469727,11.550000190734863,6.050000190734863,,8.699999809265137,5.0,10.199999809265137,40.150001525878906
