,2016,2017,2018,2019,2020
01-02,,,3.7100000381469727,1.2999999523162842,1.0299999713897705
01-03,,4.25,3.690000057220459,1.6299999952316284,1.0
01-04,,4.25,3.7100000381469727,1.6599999666213991,
01-05,,4.650000095367432,3.8199999332427983,,
01-06,,4.699999809265137,,,1.0499999523162842
01-07,,,,1.7699999809265137,1.3200000524520874
01-08,,,3.880000114440918,1.8799999952316284,1.2000000476837158
01-09,,4.9629998207092285,3.865000009536743,2.2100000381469727,1.4199999570846558
01-10,,4.989999771118164,3.880000114440918,2.240000009536743,1.7200000286102295
01-11,,4.710000038146973,3.640000104904175,2.2799999713897705,
01-12,,4.400000095367432,3.5,,
01-13,,4.630000114440918,,,1.690000057220459
01-14,,,,2.369999885559082,1.350000023841858
01-15,,,,2.299999952316284,1.2200000286102295
01-16,,,3.4800000190734863,2.299999952316284,1.149999976158142
01-17,,4.349999904632568,3.5,2.4200000762939453,1.1599999666213991
01-18,,4.320000171661377,3.4100000858306885,2.440000057220459,
01-19,,4.320000171661377,3.3399999141693115,,
01-20,,4.559999942779541,,,
01-21,,,,,1.100000023841858
01-22,,,3.5,2.4800000190734863,1.1100000143051147
01-23,,4.349999904632568,3.4500000476837163,2.369999885559082,1.0809999704360962
01-24,,4.3530001640319815,3.4300000667572017,2.3499999046325684,1.0499999523162842
01-25,,4.449999809265137,3.190000057220459,2.25,
01-26,,4.650000095367432,3.0999999046325684,,
01-27,,4.75,,,1.0199999809265137
01-28,,,,2.1600000858306885,1.0299999713897705
01-29,,,3.059999942779541,2.039999961853028,1.0199999809265137
01-30,,4.5,3.4800000190734863,2.0299999713897705,0.9089999794960022
01-31,,4.380000114440918,3.5899999141693115,2.1129999160766597,0.9459999799728394
02-01,,4.482999801635742,3.3299999237060547,2.1800000667572017,
02-02,,4.440000057220459,3.0799999237060547,,
02-03,,4.480000019073486,,,1.0399999618530271
02-04,,,,2.369999885559082,1.0599999427795408
02-05,,,2.9800000190734863,2.3399999141693115,1.0099999904632568
02-06,,4.25,2.9600000381469727,2.369999885559082,1.0
02-07,,4.0,3.150000095367432,2.0699999332427983,0.9900000095367432
02-08,,4.0,3.059999942779541,1.8799999952316284,
02-09,,4.047999858856201,3.109999895095825,,
02-10,,4.050000190734863,,,0.9449999928474426
02-11,,,,1.809999942779541,0.9419999718666076
02-12,,,3.140000104904175,1.809999942779541,0.9340000152587892
02-13,,4.050000190734863,3.059999942779541,1.7150000333786009,0.9110000133514404
02-14,,4.236000061035156,3.059999942779541,1.7699999809265137,0.9250000119209291
02-15,,4.0900001525878915,2.970000028610229,1.809999942779541,
02-16,,4.099999904632568,2.9600000381469727,,
02-17,,4.139999866485597,,,
02-18,,,,,0.9700000286102296
02-19,,,,1.7000000476837158,0.968999981880188
02-20,,,2.869999885559082,2.009999990463257,0.9390000104904176
02-21,,4.139999866485597,2.890000104904175,1.9800000190734863,0.9089999794960022
02-22,,4.010000228881837,2.789999961853028,2.1400001049041752,
02-23,,4.0399999618530265,2.7300000190734863,,
02-24,,4.190000057220459,,,0.8220000267028809
02-25,,,,2.0799999237060547,0.8399999737739563
02-26,,,2.740000009536743,2.1099998950958248,0.8149999976158142
02-27,,4.2899999618530265,2.759999990463257,2.039999961853028,0.75
02-28,,4.150000095367432,2.5999999046325684,2.0699999332427983,0.8230000138282776
03-01,,4.119999885559082,2.609999895095825,2.0699999332427983,
03-02,,4.079999923706056,2.5699999332427983,,0.781000018119812
03-03,,4.079999923706056,,,0.8100000023841858
03-04,,,,2.049999952316284,0.8600000143051147
03-05,,,2.6600000858306885,2.039999961853028,0.8100000023841858
03-06,,4.139999866485597,2.509999990463257,1.9600000381469729,0.7799999713897705
03-07,,4.170000076293944,2.5999999046325684,1.9450000524520876,
03-08,,4.119999885559082,2.7799999713897705,1.8400000333786009,
03-09,,4.010000228881837,2.9300000667572017,,0.7099999785423279
03-10,,4.0900001525878915,,,0.6899999976158142
