,2018,2019,2020
01-02,,2.990000009536743,1.0
01-03,,2.990000009536743,0.9900000095367432
01-04,,2.990000009536743,
01-06,,,1.0
01-07,,2.990000009536743,1.0
01-08,,3.0999999046325684,0.9900000095367432
01-09,,3.0999999046325684,0.8299999833106995
01-10,,3.0999999046325684,0.9900000095367432
01-11,,3.0999999046325684,
01-13,,,0.9998999834060669
01-14,,3.0999999046325684,0.9900000095367432
01-15,,3.0999999046325684,1.2400000095367432
01-16,,3.0999999046325684,1.059999942779541
01-17,,3.0999999046325684,1.0999000072479248
01-18,,3.0999999046325684,
01-21,,,0.9998999834060669
01-22,,3.0999999046325684,1.0800000429153442
01-23,,3.25,1.0
01-24,,3.25,0.8199999928474426
01-25,,3.25,
01-27,,,0.800000011920929
01-28,,3.25,0.7887700200080872
01-29,,3.25,0.5149999856948853
01-30,,3.0,0.5149999856948853
01-31,,3.0,0.46963000297546387
02-01,,2.9679999351501465,
02-03,,,0.5099999904632568
02-04,,2.9679999351501465,0.5
02-05,,2.9679999351501465,0.5
02-06,,2.9679999351501465,0.5
02-07,,2.9679999351501465,0.5
02-08,,2.9679999351501465,
02-10,,,0.5
02-11,,2.9679999351501465,0.5
02-12,,2.9679999351501465,0.42500001192092896
02-13,,2.9679999351501465,0.5
02-14,,2.9679999351501465,0.5
02-15,,2.9679999351501465,
02-18,,,0.4999000132083893
02-19,,2.9679999351501465,0.44999998807907104
02-20,,2.9679999351501465,0.5
02-21,,2.9679999351501465,0.5
02-22,,2.9679999351501465,
02-24,,,0.5
02-25,,2.9679999351501465,0.5
02-26,,2.9679999351501465,0.5
02-27,,2.940000057220459,0.5
02-28,,2.940000057220459,0.44999998807907104
03-01,,2.940000057220459,
03-02,,,0.44999998807907104
03-03,,,0.44999998807907104
03-04,,2.940000057220459,0.4000000059604645
03-05,,2.940000057220459,0.44999998807907104
03-06,,2.940000057220459,0.44999998807907104
03-07,,2.940000057220459,
03-08,,2.940000057220459,
03-09,,,0.38999998569488525
03-10,,,0.35499998927116394
03-11,,2.940000057220459,0.35499998927116394
03-12,,2.940000057220459,0.3700000047683716
03-13,,2.940000057220459,0.20000000298023224
03-14,,2.940000057220459,
03-15,,2.940000057220459,
03-16,,,0.20000000298023224
03-17,,,0.30000001192092896
03-18,,2.940000057220459,0.29499998688697815
03-19,,2.940000057220459,0.30000001192092896
03-20,,2.940000057220459,0.2809999883174896
03-21,,2.940000057220459,
03-22,,2.940000057220459,
03-23,,,0.28999999165534973
03-24,,,0.30000001192092896
03-25,,2.940000057220459,0.2887499928474426
03-26,,2.940000057220459,0.28999999165534973
03-27,,2.940000057220459,0.30000001192092896
03-28,,2.940000057220459,
03-29,,2.940000057220459,
03-30,,,0.23999999463558197
03-31,,,0.30000001192092896
04-01,,2.4100000858306885,0.3400000035762787
04-02,,2.4100000858306885,0.3199000060558319
04-03,,2.940000057220459,0.3400000035762787
04-04,,2.940000057220459,
04-05,,2.940000057220459,
04-06,,,0.3400000035762787
04-07,,,0.28075000643730164
04-08,,2.940000057220459,0.3100000023841858
04-09,,2.940000057220459,0.29989999532699585
04-10,,2.940000057220459,
04-11,,2.940000057220459,
04-12,,2.940000057220459,
04-13,,,0.28999999165534973
04-14,,,0.28999999165534973
04-15,,2.940000057220459,0.28999999165534973
04-16,,2.940000057220459,0.28999999165534973
04-17,,2.940000057220459,0.28999999165534973
04-18,,2.940000057220459,
04-20,,,0.28999999165534973
04-21,,,0.25
04-22,,2.940000057220459,0.25
04-23,,2.940000057220459,0.25
04-24,,2.940000057220459,0.25
