,2015,2016,2017,2018,2019,2020
01-02,,,,74.0,2.799999952316284,1.190000057220459
01-03,,,1500.0,75.19999694824219,2.680000066757202,1.1699999570846558
01-04,,8184.0,1560.0,79.5999984741211,2.5999999046325684,
01-05,,7976.0,1560.0,80.0,,
01-06,,7840.0,1320.0,,,1.2200000286102295
01-07,,7572.0,,,2.700000047683716,1.2200000286102295
01-08,,7392.0,,86.0,3.0799999237060547,1.25
01-09,,,1300.0,83.5999984741211,3.069999933242798,1.25
01-10,,,1300.0,81.19999694824219,3.0199999809265137,1.2000000476837158
01-11,,7316.0,1280.0,82.0,3.2899999618530273,
01-12,,7512.0,1260.0,78.0,,
01-13,,7412.0,1280.0,,,1.184999942779541
01-14,,7320.0,,,3.450000047683716,1.0800000429153442
01-15,,7364.0,,,2.9700000286102295,1.0499999523162842
01-16,,,,78.0,2.799999952316284,1.0700000524520874
01-17,,,1240.0,80.0,2.7799999713897705,1.1399999856948853
01-18,,,1140.0,82.4000015258789,2.880000114440918,
01-19,,6760.0,1020.0,82.0,,
01-20,,6860.0,940.0,,,
01-21,,6780.0,,,,1.2100000381469727
01-22,,6484.0,,80.4000015258789,3.2300000190734863,1.1200000047683716
01-23,,,900.0,78.0,3.190000057220459,1.0700000524520874
01-24,,,840.0,79.5999984741211,3.200000047683716,1.0
01-25,,6276.0,920.0,74.4000015258789,3.3399999141693115,
01-26,,6500.0,1240.0,78.4000015258789,,
01-27,,6072.0,1100.0,,,0.8759999871253967
01-28,,5220.0,,,3.5299999713897705,0.8669999837875366
01-29,,5800.0,,74.0,3.440000057220459,0.6330000162124634
01-30,5400.0,,1000.0,72.80000305175781,3.2899999618530273,0.6140000224113464
01-31,,,1040.0,65.0,3.4000000953674316,0.6100000143051147
02-01,,5760.0,1000.0,62.70000076293945,3.5299999713897705,
02-02,5328.0,5568.0,1000.0,62.29999923706055,,
02-03,5220.0,5836.0,1020.0,,,0.625
02-04,5200.0,5672.0,,,3.5899999141693115,0.6100000143051147
02-05,5256.0,5208.0,,53.0,3.869999885559082,0.6069999933242798
02-06,5220.0,,1040.0,46.54999923706055,3.9000000953674316,0.6100000143051147
02-07,,,980.0,42.70000076293945,3.700000047683716,0.6000000238418579
02-08,,5312.0,960.0,39.099998474121094,3.8499999046325684,
02-09,5240.0,5312.0,980.0,45.0,,
02-10,5220.0,5556.0,1000.0,,,0.6290000081062317
02-11,5260.0,6044.0,,,3.809999942779541,0.6399999856948853
02-12,5268.0,5924.0,,34.29999923706055,3.799999952316284,0.6359999775886536
02-13,5156.0,,940.0,26.799999237060547,4.099999904632568,0.6100000143051147
02-14,,,960.0,15.699999809265137,4.300000190734863,0.6190000176429749
02-15,,,940.0,15.0,4.389999866485596,
02-16,,5992.0,960.0,13.300000190734863,,
02-17,5220.0,5996.0,960.0,,,
02-18,4760.0,6008.0,,,,0.6129999756813049
02-19,4100.0,6656.0,,,4.610000133514404,0.6520000100135803
02-20,4164.0,,,15.0,4.650000095367432,0.6399999856948853
02-21,,,960.0,14.970000267028809,4.53000020980835,0.6700000166893005
02-22,,6268.0,920.0,14.100000381469727,4.320000171661377,
02-23,4264.0,6044.0,920.0,13.0,,
02-24,4596.0,6276.0,920.0,,,0.6470000147819519
02-25,4884.0,6648.0,,,4.619999885559082,0.6039999723434448
02-26,4744.0,6416.0,,13.699999809265137,5.289999961853027,0.5799999833106995
02-27,4560.0,,980.0,12.5,6.389999866485596,0.5149999856948853
02-28,,,1020.0,11.100000381469727,6.550000190734863,0.6100000143051147
02-29,,6172.0,,,,
03-01,,6368.0,1120.0,10.899999618530273,6.769999980926514,
03-02,4476.0,5400.0,1080.0,12.899999618530273,,0.5820000171661377
03-03,4432.0,5196.0,1120.0,,,0.5799999833106995
03-04,4324.0,5236.0,,,6.800000190734863,0.5839999914169312
03-05,4364.0,,,13.199999809265137,5.800000190734863,0.6690000295639038
03-06,4200.0,,1050.0,13.100000381469727,5.909999847412109,0.5339999794960022
