,2015,2016,2017,2018,2019,2020
01-02,,,,1.0233255624771118,0.8581562042236328,0.9791197180747986
01-03,,,0.4780007600784302,1.0233255624771118,0.8581562042236328,0.9791197180747986
01-04,,1.0078965425491333,0.4780007600784302,1.0233255624771118,0.8581562042236328,
01-05,,1.0078965425491333,0.4780007600784302,1.0233255624771118,,
01-06,,0.8688762784004211,0.4780007600784302,,,0.9864084124565125
01-07,,0.6951009631156921,,,0.8581562042236328,0.9864084124565125
01-08,,0.6951009631156921,,1.0233255624771118,0.8581562042236328,0.9864084124565125
01-09,,,0.4780007600784302,1.1682965755462646,0.8581562042236328,0.9864084124565125
01-10,,,0.4780007600784302,1.1682965755462646,0.8581562042236328,0.9864084124565125
01-11,,0.9383863806724548,0.4780007600784302,1.1086026430130005,0.8581562042236328,
01-12,,0.9036311507225037,0.4780007600784302,1.1086026430130005,,
01-13,,0.9036311507225037,0.4780007600784302,,,0.9864084124565125
01-14,,0.6951009631156921,,,0.8581562042236328,0.9864084124565125
01-15,,0.9314353466033936,,,0.8581562042236328,0.9864084124565125
01-16,,,,1.1086026430130005,0.8581562042236328,0.9864084124565125
01-17,,,0.4780007600784302,1.1086026430130005,0.8581562042236328,0.9864084124565125
01-18,,,0.8205679059028625,1.1086026430130005,0.8581562042236328,
01-19,,0.6951009631156921,0.8205679059028625,1.1086026430130005,,
01-20,,0.6951009631156921,0.8205679059028625,,,
01-21,,0.9383863806724548,,,,0.9864084124565125
01-22,,0.924484372138977,,1.1086026430130005,0.8581562042236328,0.9864084124565125
01-23,,,0.8205679059028625,1.1086026430130005,0.8581562042236328,0.9864084124565125
01-24,,,0.8205679059028625,1.1086026430130005,0.8581562042236328,0.9864084124565125
01-25,,0.9383863806724548,0.8205679059028625,1.1086026430130005,0.8581562042236328,
01-26,,0.6951009631156921,0.8205679059028625,1.1086026430130005,,
01-27,,0.6951009631156921,0.8205679059028625,,,0.9864084124565125
01-28,,0.6951009631156921,,,0.8581562042236328,0.9864084124565125
01-29,,0.6951009631156921,,1.1086026430130005,0.46137431263923645,0.9864084124565125
01-30,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.9864084124565125
01-31,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.9864084124565125
02-01,,0.6951009631156921,0.8205679059028625,1.1086026430130005,0.46137431263923645,
02-02,,0.6951009631156921,0.8205679059028625,1.1086026430130005,,
02-03,,0.6951009631156921,0.8205679059028625,,,0.9864084124565125
02-04,,0.9383863806724548,,,0.46137431263923645,0.9864084124565125
02-05,,0.9383863806724548,,1.1086026430130005,0.46137431263923645,0.9864084124565125
02-06,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.9864084124565125
02-07,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.9864084124565125
02-08,,0.9036311507225037,0.8205679059028625,1.1086026430130005,0.46137431263923645,
02-09,1.149013876914978,0.9036311507225037,0.8205679059028625,1.1086026430130005,,
02-10,1.1309666633605957,0.9036311507225037,0.8205679059028625,,,0.7774648070335388
02-11,1.1309666633605957,0.9036311507225037,,,0.46137431263923645,0.7774648070335388
02-12,1.118934988975525,0.9036311507225037,,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-13,1.118934988975525,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-14,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-15,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,
02-16,,0.9314353466033936,0.8205679059028625,1.1086026430130005,,
02-17,1.1249507665634155,0.924484372138977,0.8205679059028625,,,
02-18,1.1249507665634155,0.924484372138977,,,,0.7774648070335388
02-19,1.1249507665634155,0.9453374147415161,,,0.46137431263923645,0.7774648070335388
02-20,1.1249507665634155,,,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-21,,,0.8205679059028625,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-22,,0.9383863806724548,0.8205679059028625,1.1086026430130005,0.46137431263923645,
02-23,1.118934988975525,0.9522883296012878,0.8205679059028625,1.1086026430130005,,
02-24,1.2031559944152832,0.9522883296012878,0.8205679059028625,,,0.7774648070335388
02-25,1.2031559944152832,0.9522883296012878,,,0.46137431263923645,0.7774648070335388
02-26,1.2031559944152832,0.7507091760635376,,1.1086026430130005,0.46137431263923645,0.7774648070335388
02-27,1.2031559944152832,,0.8205679059028625,1.1086026430130005,0.5075117349624634,0.7774648070335388
02-28,,,0.8205679059028625,1.1086026430130005,0.5075117349624634,0.7774648070335388
02-29,,0.9661903977394104,,,,
03-01,,0.9661903977394104,0.8205679059028625,1.1086026430130005,0.5075117349624634,
03-02,1.2031559944152832,0.9661903977394104,0.8205679059028625,1.1086026430130005,,0.7774648070335388
03-03,1.2031559944152832,0.9661903977394104,0.8205679059028625,,,0.7774648070335388
