,2009,2013,2017,2018,2019,ups,downs,end_day_sum,avg
03-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-05,0.0
03-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-06,0.0
03-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-07,0.0
03-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-08,0.0
03-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-10,0.0
03-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-11,0.0
03-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-12,0.0
03-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-13,0.0
03-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-14,0.0
03-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-15,0.0
03-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-17,0.0
03-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-18,0.0
03-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-19,0.0
03-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-20,0.0
03-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-21,0.0
03-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-22,0.0
03-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-24,0.0
03-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-25,0.0
03-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-26,0.0
03-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-27,0.0
03-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-28,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-02,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-03,0.0
04-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-04,0.0
04-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-05,0.0
04-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-06,0.0
04-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-09,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-10,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-11,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-12,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-13,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-16,0.0
04-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-17,0.0
04-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-18,0.0
04-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-19,0.0
04-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-20,0.0
04-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-22,0.0
04-23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-23,0.0
04-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-24,0.0
04-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-25,0.0
04-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-26,0.0
04-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-27,0.0
04-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-29,0.0
04-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-30,0.0
05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05-31,0.0
05-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-01,0.0
05-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-02,0.0
05-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-03,0.0
05-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-05,0.0
05-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-06,0.0
05-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-07,0.0
05-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-08,0.0
05-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-09,0.0
05-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-10,0.0
05-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-12,0.0
05-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-13,0.0
05-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-14,0.0
05-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-15,0.0
05-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-16,0.0
05-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-17,0.0
05-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-19,0.0
05-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-20,0.0
05-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-21,0.0
05-23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-22,0.0
05-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-23,0.0
05-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-24,0.0
05-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-27,0.0
05-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-28,0.0
05-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-29,0.0
05-31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-30,0.0
06-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-01,0.0
06-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-03,0.0
06-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-04,0.0
06-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-05,0.0
06-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-06,0.0
06-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-07,0.0
06-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-08,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-10,0.0
06-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-11,0.0
06-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-12,0.0
06-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-13,0.0
06-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-14,0.0
06-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-15,0.0
06-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-17,0.0
06-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-18,0.0
06-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-19,0.0
06-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-20,0.0
06-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-21,0.0
06-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-22,0.0
06-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-24,0.0
06-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-25,0.0
06-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-26,0.0
06-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-27,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-28,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-29,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-30,0.0
07-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-31,0.0
07-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-01,0.0
07-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-02,0.0
07-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-04,0.0
07-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-05,0.0
07-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-06,0.0
07-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-07,0.0
07-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-08,0.0
07-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-09,0.0
07-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-10,0.0
07-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-11,0.0
07-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-12,0.0
07-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-13,0.0
07-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-14,0.0
07-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-15,0.0
07-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-16,0.0
07-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-17,0.0
07-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-18,0.0
07-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-19,0.0
07-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-20,0.0
07-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-21,0.0
07-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-22,0.0
07-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-23,0.0
07-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-24,0.0
07-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-25,0.0
07-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-26,0.0
07-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-27,0.0
07-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-28,0.0
07-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-29,0.0
07-31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-30,0.0
08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-31,0.0
08-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-01,0.0
08-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-02,0.0
08-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-03,0.0
08-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-04,0.0
08-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-05,0.0
08-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-06,0.0
08-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-07,0.0
08-09,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-08,0.0
08-10,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-09,0.0
08-11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-10,0.0
08-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-11,0.0
08-13,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-12,0.0
08-14,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-13,0.0
08-15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-14,0.0
08-16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-15,0.0
08-17,0.8000011444091797,0.0,0.0,0.0,0.0,1.0,3.0,09-16,0.16000022888183593
08-18,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-17,0.12000007629394531
08-19,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-18,0.12000007629394531
08-20,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-19,0.12000007629394531
08-21,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-20,0.12000007629394531
08-22,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-21,0.12000007629394531
08-23,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-22,0.32000007629394533
08-24,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-23,0.32000007629394533
08-25,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-24,0.32000007629394533
08-26,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-25,0.32000007629394533
08-27,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-26,0.32000007629394533
08-28,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-27,0.32000007629394533
08-29,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-28,0.32000007629394533
08-30,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-29,0.32000007629394533
08-31,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-30,0.32000007629394533
09-01,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-01,0.32000007629394533
09-03,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-03,0.32000007629394533
09-04,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-04,0.32000007629394533
09-05,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-05,0.32000007629394533
09-06,3.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-06,0.7200000762939454
09-07,3.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-07,0.7200000762939454
09-08,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-08,1.1200000762939453
09-09,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-09,1.1200000762939453
09-10,4.799999237060547,0.0,0.0,0.0,0.0,1.0,3.0,10-10,0.9599998474121094
09-11,4.799999237060547,0.0,0.0,0.0,0.0,1.0,3.0,10-11,0.9599998474121094
09-12,5.799999237060547,0.0,0.0,0.0,0.0,1.0,3.0,10-12,1.1599998474121094
09-13,5.799999237060547,0.0,0.0,0.0,0.0,1.0,3.0,10-13,1.1599998474121094
09-14,6.799999237060547,0.0,0.0,0.0,0.0,1.0,3.0,10-14,1.3599998474121093
09-15,7.0,0.0,0.0,0.0,0.0,1.0,3.0,10-15,1.4
09-16,7.798000335693359,0.0,0.0,0.0,0.0,1.0,3.0,10-16,1.5596000671386718
09-17,7.798000335693359,0.0,0.0,0.0,0.0,1.0,3.0,10-17,1.5596000671386718
09-18,5.798000335693359,0.0,0.0,0.0,0.0,1.0,3.0,10-18,1.159600067138672
09-19,9.549999237060554,0.0,0.0,0.0,0.0,1.0,3.0,10-19,1.9099998474121107
09-20,9.50400161743164,0.0,0.0,0.0,0.0,1.0,3.0,10-20,1.9008003234863282
09-21,9.50400161743164,0.0,0.0,0.0,0.0,1.0,3.0,10-21,1.9008003234863282
09-22,9.50400161743164,0.0,0.0,0.0,0.0,1.0,3.0,10-22,1.9008003234863282
09-23,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-23,1.500800323486328
09-24,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-24,1.500800323486328
09-25,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-25,1.500800323486328
09-26,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-26,1.500800323486328
09-27,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-27,1.500800323486328
09-28,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-28,1.500800323486328
09-29,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-29,1.500800323486328
09-30,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-30,1.500800323486328
10-01,7.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,10-31,1.500800323486328
10-02,6.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-01,1.3008003234863281
10-03,6.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-02,1.3008003234863281
10-04,6.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-03,1.3008003234863281
10-05,6.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-04,1.3008003234863281
10-06,6.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-05,1.3008003234863281
10-07,5.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-06,1.1008003234863282
10-08,5.504001617431641,0.0,0.0,0.0,0.0,1.0,3.0,11-07,1.1008003234863282
10-09,3.7060012817382812,0.0,0.0,0.0,0.0,1.0,3.0,11-08,0.7412002563476563
10-10,3.7060012817382812,0.0,0.0,0.0,0.0,1.0,3.0,11-09,0.7412002563476563
10-11,3.7060012817382812,0.0,0.0,0.0,0.0,1.0,3.0,11-10,0.7412002563476563
10-12,3.7060012817382812,0.0,0.0,0.0,0.0,1.0,3.0,11-11,0.7412002563476563
10-13,-0.045997619628913355,0.0,0.0,0.0,0.0,0.0,4.0,11-12,-0.00919952392578267
10-14,-0.045997619628913355,0.0,0.0,0.0,0.0,0.0,4.0,11-13,-0.00919952392578267
10-15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-14,0.0
10-16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-15,0.0
10-17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-16,0.0
10-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11-17,0.0
10-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11-18,0.0
10-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11-19,0.0
10-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-21,0.0
10-23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-22,0.0
10-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-23,0.0
10-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-24,0.0
10-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-25,0.0
10-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-26,0.0
10-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-28,0.0
10-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-29,0.0
10-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-30,0.0
11-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-01,0.0
11-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-02,0.0
11-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-03,0.0
11-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-05,0.0
11-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-06,0.0
11-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-07,0.0
11-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-08,0.0
11-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-09,0.0
11-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-10,0.0
11-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-12,0.0
11-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-13,0.0
11-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-14,0.0
11-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-15,0.0
11-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-16,0.0
11-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-17,0.0
11-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-19,0.0
11-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-20,0.0
11-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-21,0.0
11-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-22,0.0
11-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-23,0.0
11-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-24,0.0
11-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-26,0.0
11-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-27,0.0
11-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-28,0.0
11-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-29,0.0
11-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-30,0.0
12-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12-31,0.0
12-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-02,0.0
12-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-03,0.0
12-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-04,0.0
12-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-05,0.0
12-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-06,0.0
12-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-07,0.0
12-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-09,0.0
12-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-10,0.0
12-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-11,0.0
12-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-12,0.0
12-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-13,0.0
12-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-14,0.0
12-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-16,0.0
12-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-17,0.0
12-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-18,0.0
12-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-19,0.0
12-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-20,0.0
12-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-21,0.0
12-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-23,0.0
12-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-25,0.0
12-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-26,0.0
12-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-27,0.0
12-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-28,0.0
12-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01-30,0.0
