,2010,2011,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,-5.255144877800626,0.0,-21.985154246111822,0.0,-1.2020595564609486,3.494623655913978,1.0,7.0,-2.771970558273269
01-03,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,3.494623655913978,1.0,7.0,-72.69724596178095
01-04,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,3.494623655913978,1.0,7.0,-72.69724596178095
01-05,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,3.494623655913978,1.0,7.0,-72.69724596178095
01-06,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,2.4456521739130435,1.0,7.0,-72.81379834866995
01-07,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,2.4456521739130435,1.0,7.0,-72.81379834866995
01-08,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-0.7608662480893497,0.0,8.0,-73.17007817333688
01-09,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-0.7608662480893497,0.0,8.0,-73.17007817333688
01-10,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-0.7608662480893497,0.0,8.0,-73.17007817333688
01-11,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-1.6304347826086956,0.0,8.0,-73.26669689939459
01-12,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-1.6304347826086956,0.0,8.0,-73.26669689939459
01-13,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,-1.6304347826086956,0.0,8.0,-73.26669689939459
01-14,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,3.701783133535239,1.0,7.0,-72.67422824204525
01-15,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-1.2020595564609486,3.701783133535239,1.0,7.0,-72.67422824204525
01-16,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,-0.10281129770663311,3.701783133535239,1.0,7.0,-72.5520895466281
01-17,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,0.0,3.701783133535239,1.0,7.0,-72.54066606910514
01-18,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,0.0,3.701783133535239,1.0,7.0,-72.54066606910514
01-19,0.0,0.0,0.0,0.0,0.0,-21.985154246111822,-634.5826235093697,0.0,3.701783133535239,1.0,7.0,-72.54066606910514
01-20,0.0,0.0,0.0,0.0,0.0,0.0,-634.5826235093697,0.0,3.701783133535239,1.0,7.0,-70.09787115287048
01-21,0.0,0.0,0.0,0.0,0.0,0.0,-634.5826235093697,0.0,3.701783133535239,1.0,7.0,-70.09787115287048
01-22,0.0,0.0,0.0,0.0,0.0,0.0,-634.5826235093697,-0.2775562873562893,3.701783133535239,1.0,7.0,-70.12871074035452
