,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.5772764682769775,0.34195518493652344,0.24207854270935059,0.0,0.4620789289474483,0.0,4.0,4.0,02-01,0.16233891248702997
01-03,0.0,0.0,0.0,0.0,0.5772764682769775,0.34195518493652344,0.18511891365051292,0.0,0.4620789289474483,0.0,4.0,4.0,02-02,0.15664294958114622
01-04,0.0,0.0,0.0,0.0,0.5772764682769775,0.3836570978164673,0.18511891365051292,0.0,0.4620789289474483,0.0,4.0,4.0,02-03,0.16081314086914061
01-05,0.0,0.0,0.0,0.12729120254516602,0.5772764682769775,0.3836570978164673,0.18511891365051292,0.0,0.4620789289474483,0.0,5.0,3.0,02-04,0.1735422611236572
01-06,0.0,0.0,0.0,0.12729120254516602,0.5772764682769775,0.3836570978164673,0.18511891365051292,0.0,0.4620789289474483,0.0,5.0,3.0,02-05,0.1735422611236572
01-07,0.0,0.0,0.0,0.12729120254516602,0.282747745513916,0.3836570978164673,0.18511891365051292,0.11866641044616721,0.4620789289474483,0.0,6.0,2.0,02-06,0.15595602989196777
01-08,0.0,0.0,0.0,0.12729120254516602,0.2042064666748047,0.3836570978164673,0.18511891365051292,0.11866641044616721,0.4620789289474483,0.0,6.0,2.0,02-07,0.14810190200805665
01-09,0.0,0.0,0.0,0.12729120254516602,0.13744688034057662,0.3836570978164673,0.18511891365051292,0.11866641044616721,0.4620789289474483,0.0,6.0,2.0,02-08,0.14142594337463382
01-10,0.0,0.0,0.0,0.12729120254516602,-0.05105185508728027,0.3836570978164673,0.18511891365051292,0.11866641044616721,0.4620789289474483,0.0,5.0,3.0,02-09,0.12257606983184814
01-11,0.0,0.0,0.0,0.12729120254516602,-0.05105185508728027,0.3836570978164673,0.18511891365051292,0.11866641044616721,0.4620789289474483,0.0,5.0,3.0,02-10,0.12257606983184814
