,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,-0.010268628597259521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-01,-0.0010268628597259522
01-03,0.0,0.0,0.0,-0.012550592422485296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-02,-0.0012550592422485296
01-04,0.0,0.0,0.0,-0.012550592422485296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-03,-0.0012550592422485296
01-05,0.0,0.0,0.0,-0.012550592422485296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-04,-0.0012550592422485296
01-06,0.0,0.0,0.0,-0.012550592422485296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-05,-0.0012550592422485296
01-07,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-06,-0.003536978363990778
01-08,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-07,-0.003536978363990778
01-09,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-08,-0.003536978363990778
01-10,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-09,-0.003536978363990778
01-11,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,-0.38923072814941406,0.0,8.0,02-10,-0.04246005117893219
01-12,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,-0.38923072814941406,0.0,8.0,02-11,-0.04246005117893219
01-13,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.0,0.0,0.0,-0.38923072814941406,0.0,8.0,02-12,-0.04246005117893219
01-14,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-13,-0.03436692059040069
01-15,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-14,-0.03436692059040069
01-16,0.0,0.0,0.0,-0.03536978363990778,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-15,-0.03436692059040069
01-17,0.0,0.0,0.0,-0.022819191217422485,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-16,-0.03311186134815216
01-18,0.0,0.0,0.0,-0.022819191217422485,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-17,-0.03311186134815216
01-19,0.0,0.0,0.0,-0.022819191217422485,0.0,0.0,0.08093130588531494,0.0,0.0,-0.38923072814941406,1.0,7.0,02-18,-0.03311186134815216
