,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.4375,1.1458334922790527,0.47916698455810547,0.5208334922790527,1.020833969116211,0.8333330154418963,1.1875,1.0625,-3.21875,-0.3125,0.9375,-0.9512500762939489,-0.2849998474121094,-2.789999008178711,-0.220001220703125,-2.4850006103515767,2.1100006103515625,3.2199974060058594,-3.7299957275390767,-3.6599998474121094,-4.95000076293946,5.32000732421875,8.100006103515625,6.9500045776367045,-4.330001831054702,-3.7599945068359375,-1.2700042724609375,3.009994506835966,10.5,14.80999755859375,-16.699996948242188,17.0,14.0,02-01,0.4187907864970534
01-03,0.3125,1.3541665077209473,0.47916698455810547,0.5,1.458333969116211,0.8333330154418963,1.1875,0.875,-2.09375,-0.3125,0.40625,-0.6962509155273438,-0.7599983215332031,-2.510000228881836,-1.1399993896484375,-1.7550010681152415,1.8800010681152344,3.3999977111816406,-7.430000305175781,-6.8899993896484375,-6.11000061035157,7.310005187988281,6.840003967285156,7.1700057983398295,-4.730003356933594,-0.5399932861328125,0.9300003051757812,3.0,7.69000244140625,18.860000610351562,-15.389999389648438,18.0,13.0,02-02,0.4557668162930387
01-04,0.3125,1.3958334922790527,0.41666650772094727,0.5208334922790527,1.6875,1.1666669845581037,0.75,0.6875,-1.84375,-0.4375,-0.03125,-1.3525009155273438,-1.0999984741210973,-2.565000534057617,-0.8950004577636683,-0.4549980163574219,3.5050010681152415,4.049999237060547,-3.5100021362304688,-8.149997711181634,-4.710002899169929,9.94000244140625,6.4499969482421875,6.270004272460923,-3.3300018310546875,-1.2599945068359375,0.720001220703125,1.3300018310546875,6.779998779296875,11.230010986328125,-15.699996948242188,17.0,14.0,02-03,0.38298460745042345
01-05,0.4791660308837926,1.6250004768371564,0.39583349227905273,0.6458330154418945,1.3541669845581055,1.1041669845581037,0.5,0.5,-0.8125,-0.5,-0.59375,-0.6337509155273438,-0.3050003051757848,-2.440000534057617,-0.9549999237060547,-0.18500137329101562,3.4500007629394602,4.694999694824219,-0.8400039672851562,-7.790000915527351,-3.3999977111816406,9.849998474121094,5.279998779296875,5.4599990844726705,-3.9500045776367188,0.19000244140625,-1.9399948120117188,1.8000030517578125,6.0999908447265625,9.839996337890625,-18.229995727539062,17.0,14.0,02-04,0.3449727642920712
01-06,0.3958339691162074,1.3541665077209473,0.27083349227905273,0.6666665077209473,1.333333969116211,0.7916669845581037,0.4375,0.0625,-1.0625,-1.5,-1.71875,-0.7837505340576136,-0.6150016784667969,-2.680000305175785,-0.3249988555908203,-0.674999237060554,3.3349990844726562,5.840000152587891,0.5100021362304688,-8.560001373291016,-3.8600006103515625,9.839996337890625,4.6199951171875,6.0500030517578125,-5.1300048828125,2.899993896484375,-0.25,0.6600036621093892,6.7400054931640625,9.720001220703125,-18.520004272460938,18.0,13.0,02-05,0.3176609623816706
01-07,0.4791669845581037,1.6250004768371564,0.5416665077209473,0.4375,1.2916669845581055,1.0,0.5625,-0.125,-0.71875,-1.03125,-1.6875,-0.71875,-0.19500160217285512,-2.319999694824215,-1.6049976348876882,-0.18000030517578125,2.954998016357429,6.495002746582031,-0.20000457763671875,-5.150001525878906,-4.259998321533203,9.75,4.689994812011719,4.5500030517578125,-5.199996948242202,3.3199996948242188,0.42000579833984375,2.2399978637695455,3.850006103515625,10.349990844726562,-9.310012817382812,17.0,14.0,02-06,0.7050398857362812
01-08,0.375,1.5624995231628436,0.6458330154418945,0.39583301544189453,0.6458339691162109,1.1875,0.6875,0.1875,0.15625,-2.125,-2.84375,-0.7887496948242188,-0.3500003814697301,-2.014999389648441,-1.375,0.060001373291015625,2.8400001525878835,6.385002136230469,-4.579994201660156,-7.680000305175781,-5.790000915527337,8.900001525878906,5.6699981689453125,5.709999084472656,-4.6399993896484375,2.19000244140625,1.6500015258789062,2.7999954223632812,-4.089996337890625,7.290008544921875,-7.54998779296875,19.0,12.0,02-07,0.17778327388148138
01-09,0.5833330154418963,1.4166669845581037,0.6666665077209473,0.47916698455810547,0.20833396911621094,1.208333969116211,0.9921875,-0.4375,1.65625,-1.8125,-3.03125,-1.1175003051757812,-0.3299999237060547,-2.1649990081787145,-1.2199993133544922,-0.41500091552733664,3.0449981689453125,6.244998931884773,-4.349998474121094,-8.490001678466797,-10.08000183105468,8.629997253417969,5.089996337890625,3.630004882812486,-4.280006408691406,3.029998779296875,4.549995422363281,2.8699951171875284,-3.720001220703125,9.349990844726562,-9.25,17.0,14.0,02-08,0.09523082548572274
01-10,0.7083339691162092,1.2500004768371564,0.5416665077209473,0.5208334922790527,0.41666698455810547,0.9791669845581055,1.5625,-0.8125,0.53125,-0.5,-2.8125,-0.6387500762939489,0.11999893188476562,-1.8999996185302805,-1.6849994659423935,-0.9650001525878906,3.1149978637695312,5.435001373291023,-6.9399948120117045,-1.9200019836425781,-10.130001068115234,9.55999755859375,4.19000244140625,2.779998779296861,-5.060005187988281,3.6700057983398438,4.269996643066406,3.8700027465820455,-3.5,4.55999755859375,-5.079986572265625,18.0,13.0,02-09,0.19795739266180212
01-11,0.6458339691162092,1.270833492279051,0.6666665077209473,0.27083349227905273,1.0208330154418945,0.6041669845581055,0.75,-0.3125,0.90625,-0.5625,-3.4375,-0.32625007629394887,-0.5450000762939453,-1.9699993133544922,-1.3700008392333984,-0.47499847412109375,2.2099990844726634,4.0,-5.959999084472656,0.25,-10.990001678466797,7.829994201660142,4.0,3.0699996948242045,-4.0800018310546875,3.5300064086914062,2.9199981689453125,2.7000045776367188,-6.0200042724609375,5.399993896484375,-5.8800048828125,18.0,13.0,02-10,0.003762998888568577
01-12,0.7916669845581055,1.2291665077209473,0.6666665077209473,0.45833301544189453,0.9791669845581055,0.5416669845581055,1.0,-0.375,1.46875,-1.09375,-3.03125,0.7674999237060511,-0.75,-2.0699996948242188,-1.8549995422363281,-1.200000762939446,2.1450004577636648,2.0849990844726562,-12.709999084472642,-0.9400024414062429,-7.069999694824219,6.500000000000014,4.05999755859375,2.30999755859375,-2.9500045776367188,3.5,3.5600051879882812,3.2400054931640625,-7.8600006103515625,4.3899993896484375,-7.290008544921875,18.0,13.0,02-11,-0.30651913919756385
01-13,0.8333339691162074,1.1666665077209473,0.8333334922790527,0.625,0.8125,0.47916698455810547,1.375,-0.5,2.0625,-0.125,-3.125,0.12000083923339844,-0.12999916076660156,-2.25,-2.034999847412106,-1.4750022888183523,1.9850006103515554,1.9000015258789062,-12.23000335693358,-2.379997253417976,-8.240001678466797,4.479995727539077,3.839996337890625,2.9499969482422017,-2.1500015258789062,2.8600006103515625,4.19000244140625,2.6200027465820312,-13.879989624023438,5.339996337890625,-6.5,18.0,13.0,02-12,-0.5337903115057164
01-14,0.8125,1.604166507720949,0.6041669845581055,0.5416669845581055,0.8125,-0.10416698455810547,1.6875,-0.6875,1.40625,0.46875,-4.0625,0.41500091552734375,0.75,-1.3500003814697266,-0.5550003051757812,-1.6199989318847585,1.7400016784667969,1.845001220703125,-10.35000610351561,-1.220001220703118,-8.299999237060547,4.4300003051757955,3.0199966430664062,3.3700027465820312,-2.2399978637695312,2.339996337890625,3.8100051879882812,4.7800064086914205,-12.610000610351562,4.529998779296875,-3.410003662109375,19.0,12.0,02-13,-0.2432795032378147
01-15,0.7291669845581037,1.3958334922790527,0.33333396911621094,0.27083349227905273,0.0,0.20833301544189453,2.5,0.6875,2.15625,-0.28125,-4.8125,-0.14500045776367188,1.1700000762939453,-1.4200000762939453,-0.7649993896484446,-1.2750015258788991,1.6150016784667969,2.0600013732910156,-5.879997253417969,-1.3600006103515554,-6.280002593994141,3.9199981689453125,2.6399993896484375,4.239997863769531,-2.9000015258789062,1.6200027465820312,4.290000915527344,5.900001525878892,-8.329986572265625,8.139999389648438,-1.089996337890625,18.0,13.0,02-14,0.3012102496239444
