,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0018389998003840438,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,-0.05519999843090772,3.0,5.0,02-01,-0.0037460997984453564
01-03,0.0,0.0,0.0,0.0018389998003840438,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,-0.04020000156015157,3.0,5.0,02-02,-0.0022461001113697416
01-04,0.0,0.0,0.0,0.0018389998003840438,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.0,3.0,5.0,02-03,0.0017739000446454155
01-05,0.0,0.0,0.0,0.0,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.12470000144094229,3.0,5.0,02-04,0.01406000020870124
01-06,0.0,0.0,0.0,0.0,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.12470000144094229,3.0,5.0,02-05,0.01406000020870124
01-07,0.0,0.0,0.0,0.0,0.0,0.0009000000500236634,-0.004999999888241289,0.0,0.015000000596046448,0.08180000260472296,3.0,5.0,02-06,0.009270000336255179
01-08,0.0,0.0,0.0,-0.0036779996007680876,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.12480000173673034,3.0,5.0,02-07,0.013702200278203236
01-09,0.0,0.0,0.0,-0.0036779996007680876,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.079500000923872,3.0,5.0,02-08,0.009172200196917401
01-10,0.0,0.0,0.0,-0.0025749998167157173,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,0.079500000923872,3.0,5.0,02-09,0.00928250017532264
01-11,0.0,0.0,0.0,0.0,0.0,0.0009000000500236634,0.0,0.0,0.015000000596046448,-0.04515000060200691,2.0,6.0,02-10,-0.00292499999559368
01-12,0.0,0.0,0.0,-0.0018390000332146887,0.0,0.0009000000500236634,0.0,0.0,-0.024399999529123306,-0.04515000060200691,1.0,7.0,02-11,-0.007048900011432125
01-13,0.0,0.0,0.0,0.0025749998167157173,0.0,0.0009000000500236634,0.0,0.0,0.06000000238418579,-0.04515000060200691,3.0,5.0,02-12,0.001832500164891826
01-14,0.0,0.0,0.0,0.0,0.0,0.0009000000500236634,0.015000000596046448,0.0,0.08999999612569809,-0.04515000060200691,3.0,5.0,02-13,0.006074999616976129
01-15,0.0,0.0,0.0,-0.0018389998003840438,0.0,0.0009000000500236634,0.006000000983476632,0.0,0.0379999950528145,-0.04515000060200691,3.0,5.0,02-14,-0.00020890043160761638
