,2010,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.6010000109672546,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0010000020265579224,0.0,0.0,2.0,6.0,03-02,-0.014333340028921778
01-03,0.0,0.6010000109672546,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0010000020265579224,0.0,0.0,2.0,6.0,03-03,-0.014333340028921778
01-04,0.0,0.5480000376701355,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0010000020265579224,0.0,0.0,2.0,6.0,03-04,-0.020222225950823906
01-05,0.0,0.5480000376701355,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0010000020265579224,0.0,0.0,2.0,6.0,03-05,-0.020222225950823906
01-06,0.0,0.5480000376701355,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0,0.0,0.0,1.0,7.0,03-06,-0.02033333728710812
01-07,0.0,0.5710000395774841,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0,0.0,0.0,1.0,7.0,03-07,-0.017777781519624936
01-08,0.0,0.5710000395774841,-0.3710000514984131,-0.29900002479553234,0.0,-0.060999996960163144,0.0,0.0,0.0,1.0,7.0,03-08,-0.017777781519624936
01-09,0.0,0.5710000395774841,-0.01100003719329834,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,0.0,0.0,0.0,2.0,6.0,03-09,0.0244444418284628
01-10,0.0,0.5710000395774841,-0.01100003719329834,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,0.0,0.0,0.0611000006319955,3.0,5.0,03-10,0.031233330787573413
01-11,0.0,0.5730000138282776,-0.01100003719329834,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-11,0.021455550579250676
01-12,0.0,0.668999969959259,-0.1950000524520874,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-12,0.011677766231716494
01-13,0.0,0.668999969959259,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-13,0.011566663173855166
01-14,0.0,0.668999969959259,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-14,0.011566663173855166
01-15,0.0,0.668999969959259,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-15,0.011566663173855166
01-16,0.0,0.668999969959259,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-16,0.011566663173855166
01-17,0.0,0.6309999823570251,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-17,0.007344442329162513
01-18,0.0,0.6309999823570251,-0.19599997997283936,-0.29900002479553234,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-18,0.007344442329162513
01-19,0.0,0.7010000348091125,-0.19599997997283936,-0.11000001430511486,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-19,0.03612222710055194
01-20,0.0,0.7010000348091125,-0.2950000762939451,-0.11000001430511486,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-20,0.025122216398206863
01-21,0.0,0.7010000348091125,-0.2950000762939451,-0.11000001430511486,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-21,0.025122216398206863
01-22,0.0,0.7010000348091125,-0.2950000762939451,-0.06999999284744274,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-22,0.029566663226837098
01-23,0.0,0.7010000348091125,-0.2950000762939451,-0.06999999284744274,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,3.0,5.0,03-23,0.029566663226837098
01-24,0.0,0.7010000348091125,-0.29700005054473877,0.009999990463256725,0.019999995827674893,-0.060999996960163144,-0.08999999612569809,0.0,0.0611000006319955,4.0,4.0,03-24,0.03823333090015996
