,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,20.01537799891611,-53.39228858852534,3.0,5.0,-20.842839430037223
01-03,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,20.01537799891611,-44.62137830846207,3.0,5.0,-19.965748402030897
01-04,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,20.01537799891611,-14.919329097924361,3.0,5.0,-16.995543480977126
01-05,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,-8.307695693518408,-14.919329097924361,2.0,6.0,-19.827850850220578
01-06,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,-14.92564282224598,-14.919329097924361,2.0,6.0,-20.489645563093333
01-07,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,-14.92564282224598,-17.26705672852655,2.0,6.0,-20.72441832615355
01-08,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,-11.007724949716454,-14.411023277050585,2.0,6.0,-20.047023193753002
01-09,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-38.064516067008675,32.81778724742928,-11.007724949716454,0.26010091133101265,3.0,5.0,-18.579910774914843
01-10,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-18.387100247513093,32.81778724742928,-17.888782093912102,-16.448577784588394,2.0,6.0,-18.971142776976794
01-11,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,-67.33331810103583,-18.387100247513093,32.81778724742928,-10.781777709741291,-29.162811427226583,2.0,6.0,-19.53186570282353
01-12,0.0,0.0,0.0,-107.69231897839468,5.220882188246908,0.0,-18.387100247513093,32.81778724742928,-1.0445461843506592,-29.710993967077577,2.0,6.0,-11.879628994165984
