,2010,2011,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,-3.129428863525405,0.0,-18.462959289550795,-890.7244415283205,-1.8150939941406392,-4.3676605224609375,0.0,8.0,03-02,-102.05550935533314
01-03,0.0,0.0,0.0,0.0,0.0,-18.462959289550795,-890.7244415283205,-3.2710494995117188,-4.3676605224609375,0.0,8.0,03-03,-101.86956787109378
01-04,0.0,0.0,0.0,4.262176513671882,0.0,-18.462959289550795,-890.7244415283205,-3.2710494995117188,-4.3676605224609375,1.0,7.0,03-04,-101.39599270290802
01-05,0.0,0.0,0.0,4.262176513671882,0.0,-18.462959289550795,-890.7244415283205,-3.2710494995117188,-4.3676605224609375,1.0,7.0,03-05,-101.39599270290802
01-06,0.0,0.0,0.0,4.262176513671882,0.0,-18.462959289550795,-900.0501403808596,-3.2710494995117188,-4.3676605224609375,1.0,7.0,03-06,-102.43218146430124
01-07,0.0,0.0,0.0,4.262176513671882,0.0,-18.462959289550795,-900.0501403808596,-3.2710494995117188,-4.3676605224609375,1.0,7.0,03-07,-102.43218146430124
01-08,0.0,0.0,0.0,4.262176513671882,0.0,-18.462959289550795,-900.0501403808596,-3.2710494995117188,-10.184661865234375,1.0,7.0,03-08,-103.07851494683162
01-09,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.2710494995117188,-10.184661865234375,1.0,7.0,03-09,-102.82679197523332
01-10,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-10.184661865234375,1.0,7.0,03-10,-102.89258024427629
01-11,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-11.762161254882841,1.0,7.0,03-11,-103.06785795423723
01-12,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-11.762161254882841,1.0,7.0,03-12,-103.06785795423723
01-13,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-23.66236877441409,1.0,7.0,03-13,-104.39010323418513
01-14,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-22.676437377929688,1.0,7.0,03-14,-104.28055530124243
01-15,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-3.8631439208984517,-22.676437377929688,1.0,7.0,03-15,-104.28055530124243
01-16,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-2.5139617919921875,-22.676437377929688,1.0,7.0,03-16,-104.13064617580841
01-17,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-2.3877716064453125,-22.676437377929688,1.0,7.0,03-17,-104.11662504408098
01-18,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-2.3877716064453125,-22.676437377929688,1.0,7.0,03-18,-104.11662504408098
01-19,0.0,0.0,0.0,6.5276832580566335,0.0,-18.462959289550795,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-19,-110.34114201863609
01-20,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-20,-108.28970209757489
01-21,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-21,-108.28970209757489
01-22,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-22,-108.28970209757489
01-23,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-23,-108.28970209757489
01-24,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-24,-108.28970209757489
01-25,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-25,-108.28970209757489
01-26,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-26,-108.28970209757489
01-27,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-27,-108.28970209757489
01-28,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-28,-108.28970209757489
01-29,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-29,-108.28970209757489
01-30,0.0,0.0,0.0,6.5276832580566335,0.0,0.0,-900.0501403808596,-2.3877716064453125,-78.69709014892578,1.0,7.0,03-30,-108.28970209757489
01-31,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.28253173828125,2.0,6.0,03-31,-5.338975694444447
02-01,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-01,-5.346644083658857
02-02,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-02,-5.346644083658857
02-03,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-03,-5.346644083658857
02-04,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-04,-5.346644083658857
02-05,0.0,7.4175376892089915,0.0,6.5276832580566335,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-05,-5.346644083658857
02-06,0.0,7.4175376892089915,0.0,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,2.0,6.0,04-06,-5.422160678439671
02-07,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-50.35154724121094,3.0,5.0,04-07,-5.334695604112415
02-08,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-44.36692810058594,3.0,5.0,04-08,-4.669737921820749
02-09,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-44.36692810058594,3.0,5.0,04-09,-4.669737921820749
02-10,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-44.36692810058594,3.0,5.0,04-10,-4.669737921820749
02-11,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-53.38819885253906,3.0,5.0,04-11,-5.6721013387044295
02-12,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-53.38819885253906,3.0,5.0,04-12,-5.6721013387044295
02-13,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-53.38819885253906,3.0,5.0,04-13,-5.6721013387044295
02-14,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-46.24018859863281,3.0,5.0,04-14,-4.87787797715929
02-15,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.3877716064453125,-46.24018859863281,3.0,5.0,04-15,-4.87787797715929
02-16,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-16,-4.8401311238606795
02-17,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-17,-4.8401311238606795
02-18,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-18,-4.8401311238606795
02-19,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-19,-4.8401311238606795
02-20,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-20,-4.8401311238606795
02-21,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-21,-4.8401311238606795
02-22,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.24018859863281,3.0,5.0,04-22,-4.8401311238606795
02-23,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.131744384765625,3.0,5.0,04-23,-4.828081766764325
02-24,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.131744384765625,3.0,5.0,04-24,-4.828081766764325
02-25,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.131744384765625,3.0,5.0,04-25,-4.828081766764325
02-26,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-46.131744384765625,3.0,5.0,04-26,-4.828081766764325
02-27,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-2.0480499267578125,-28.306121826171875,3.0,5.0,04-27,-2.8474570380316866
02-28,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-0.592094421386733,-28.306121826171875,3.0,5.0,04-28,-2.6856842041015665
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.306121826171875,0.0,2.0,04-29,-3.1451246473524304
03-01,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-0.592094421386733,-28.306121826171875,3.0,5.0,04-30,-2.6856842041015665
03-02,0.0,7.4175376892089915,0.7871856689453054,5.848033905029304,0.0,0.0,-9.325698852539091,-0.592094421386733,-28.306121826171875,3.0,5.0,05-01,-2.6856842041015665
03-03,0.0,7.4175376892089915,0.7871856689453054,1.5858573913574219,0.0,0.0,0.0,-0.592094421386733,-28.306121826171875,3.0,5.0,05-02,-2.1230706108940987
03-04,0.0,7.4175376892089915,0.7871856689453054,1.5858573913574219,0.0,0.0,0.0,-0.592094421386733,-28.306121826171875,3.0,5.0,05-03,-2.1230706108940987
03-05,0.0,7.4175376892089915,0.7871856689453054,1.5858573913574219,0.0,0.0,0.0,-0.592094421386733,-28.306121826171875,3.0,5.0,05-04,-2.1230706108940987
03-06,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,-0.592094421386733,-28.306121826171875,3.0,5.0,05-05,-2.2115440368652344
03-07,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-28.306121826171875,3.0,5.0,05-06,-2.145755767822264
03-08,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-28.306121826171875,3.0,5.0,05-07,-2.145755767822264
03-09,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-28.306121826171875,3.0,5.0,05-08,-2.145755767822264
03-10,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-28.306121826171875,3.0,5.0,05-09,-2.145755767822264
03-11,0.0,7.4175376892089915,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-16.405914306640625,3.0,5.0,05-10,-0.8235104878743473
03-12,0.0,12.570934295654297,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-16.405914306640625,3.0,5.0,05-11,-0.25091086493598014
03-13,0.0,12.570934295654297,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,0.0,-16.405914306640625,3.0,5.0,05-12,-0.25091086493598014
03-14,0.0,12.570934295654297,0.7871856689453054,-0.6796493530273295,1.4692459106445312,0.0,0.0,2.921630859375,-16.405914306640625,4.0,4.0,05-13,0.07371478610568655
03-15,0.0,12.570934295654297,0.7871856689453054,0.5558319091797017,1.4692459106445312,0.0,0.0,4.863914489746094,-16.405914306640625,5.0,3.0,05-14,0.42679977416992265
03-16,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,0.0,0.0,4.863914489746094,-16.405914306640625,5.0,3.0,05-15,1.6015090942382821
03-17,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,0.0,0.0,4.863914489746094,39.61473846435547,6.0,2.0,05-16,7.826026068793403
03-18,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,0.0,0.0,4.863914489746094,39.61473846435547,6.0,2.0,05-17,7.826026068793403
03-19,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,0.0,4.863914489746094,39.61473846435547,7.0,1.0,05-18,9.951543172200523
03-20,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,0.0,4.863914489746094,39.61473846435547,7.0,1.0,05-19,9.951543172200523
03-21,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,0.0,4.863914489746094,41.673744201660156,7.0,1.0,05-20,10.1803215874566
03-22,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,41.673744201660156,8.0,0.0,05-21,10.395804511176221
03-23,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,41.673744201660156,8.0,0.0,05-22,10.395804511176221
03-24,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,41.673744201660156,8.0,0.0,05-23,10.395804511176221
03-25,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,41.673744201660156,8.0,0.0,05-24,10.395804511176221
03-26,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,41.673744201660156,8.0,0.0,05-25,10.395804511176221
03-27,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,13.259185791015625,8.0,0.0,05-26,7.23863135443794
03-28,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,05-27,7.465397304958774
03-29,0.0,12.570934295654297,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,05-28,7.465397304958774
03-30,0.0,5.153396606445305,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,05-29,6.641226450602218
03-31,0.0,5.153396606445305,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,05-30,6.641226450602218
04-01,0.0,5.153396606445305,11.35956954956054,0.5558319091797017,1.4692459106445312,19.129653930664077,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,05-31,6.641226450602218
04-02,0.0,5.153396606445305,11.35956954956054,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,06-01,109.8255687289768
04-03,0.0,5.153396606445305,11.35956954956054,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,15.300079345703125,8.0,0.0,06-02,109.8255687289768
04-04,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,9.315460205078125,8.0,0.0,06-03,109.07314597235788
04-05,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,9.315460205078125,8.0,0.0,06-04,109.07314597235788
04-06,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,9.315460205078125,8.0,0.0,06-05,109.07314597235788
04-07,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,9.315460205078125,8.0,0.0,06-06,109.07314597235788
04-08,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,9.315460205078125,8.0,0.0,06-07,109.07314597235788
04-09,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,0.0,06-08,108.27892261081274
04-10,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-09,108.27892261081274
04-11,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-10,108.27892261081274
04-12,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-11,108.27892261081274
04-13,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-12,108.27892261081274
04-14,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-13,108.27892261081274
04-15,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-14,108.27892261081274
04-16,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-15,108.27892261081274
04-17,0.0,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,8.0,1.0,06-16,108.27892261081274
04-18,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,9.0,0.0,06-17,108.28279113769534
04-19,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,9.0,0.0,06-18,108.28279113769534
04-20,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.167449951171875,9.0,0.0,06-19,108.28279113769534
04-21,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.0590057373046875,9.0,0.0,06-20,108.27074178059898
04-22,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.0590057373046875,9.0,0.0,06-21,108.27074178059898
04-23,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.0590057373046875,9.0,0.0,06-22,108.27074178059898
04-24,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.0590057373046875,9.0,0.0,06-23,108.27074178059898
04-25,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,1.939346313476591,4.863914489746094,2.0590057373046875,9.0,0.0,06-24,108.27074178059898
04-26,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,4.863914489746094,2.0590057373046875,9.0,0.0,06-25,110.55605400933162
04-27,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,4.863914489746094,2.0590057373046875,9.0,0.0,06-26,110.55605400933162
04-28,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,18.666961669921903,2.0590057373046875,9.0,0.0,06-27,112.08972591824005
04-29,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,18.666961669921903,2.0590057373046875,9.0,0.0,06-28,112.08972591824005
04-30,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,18.666961669921903,2.0590057373046875,9.0,0.0,06-29,112.08972591824005
05-01,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,18.666961669921903,2.0590057373046875,9.0,0.0,06-30,112.08972591824005
05-02,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,1.4692459106445312,947.109085083008,22.507156372070312,18.666961669921903,2.0590057373046875,9.0,0.0,07-01,112.08972591824005
05-03,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,8.0,1.0,07-02,111.63636271158856
05-04,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,8.0,1.0,07-03,111.63636271158856
05-05,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,8.0,1.0,07-04,111.63636271158856
05-06,0.03481674194336293,5.153396606445305,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,8.0,1.0,07-05,111.63636271158856
05-07,0.03481674194336293,0.0,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,7.0,2.0,07-06,111.0637630886502
05-08,0.03481674194336293,0.0,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,18.666961669921903,2.0590057373046875,7.0,2.0,07-07,111.0637630886502
05-09,0.03481674194336293,0.0,10.572383880615234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,15.745330810546903,2.0590057373046875,7.0,2.0,07-08,110.73913743760853
05-10,0.03481674194336293,0.0,13.555294036865234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,13.80304718017581,2.0590057373046875,7.0,2.0,07-09,110.85476260715063
05-11,0.03481674194336293,0.0,13.555294036865234,1.2354812622070312,0.0,947.109085083008,19.896133422851562,13.80304718017581,2.0590057373046875,7.0,2.0,07-10,110.85476260715063
05-12,0.03481674194336293,0.0,13.555294036865234,0.0,0.0,947.109085083008,19.896133422851562,13.80304718017581,2.0590057373046875,6.0,3.0,07-11,110.71748691134985
05-13,0.03481674194336293,0.0,2.98291015625,0.0,0.0,947.109085083008,19.896133422851562,16.26787567138672,2.0590057373046875,6.0,3.0,07-12,109.81664742363826
05-14,0.03481674194336293,0.0,2.98291015625,0.0,0.0,947.109085083008,19.896133422851562,16.26787567138672,2.0590057373046875,6.0,3.0,07-13,109.81664742363826
05-15,0.03481674194336293,0.0,2.98291015625,0.0,0.0,947.109085083008,19.896133422851562,16.26787567138672,4.699005126953125,6.0,3.0,07-14,110.10998068915475
05-16,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,19.896133422851562,16.26787567138672,2.6399993896484375,6.0,3.0,07-15,107.75568517049156
05-17,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-16,107.54020224677194
05-18,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-17,107.54020224677194
05-19,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-18,107.54020224677194
05-20,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-19,107.54020224677194
05-21,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-20,107.54020224677194
05-22,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-21,107.54020224677194
05-23,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-22,107.54020224677194
05-24,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-23,107.54020224677194
05-25,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-24,107.54020224677194
05-26,0.03481674194336293,0.0,2.98291015625,0.0,0.0,927.979431152344,17.95678710937497,16.26787567138672,2.6399993896484375,6.0,3.0,07-25,107.54020224677194
05-27,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,22.429954528808594,2.6399993896484375,5.0,4.0,07-26,5.116051991780596
05-28,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,22.429954528808594,2.6399993896484375,5.0,4.0,07-27,5.116051991780596
05-29,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,22.429954528808594,-1.0099945068359375,4.0,5.0,07-28,4.710497114393443
05-30,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,23.889122009277344,-1.0099945068359375,4.0,5.0,07-29,4.872626834445526
05-31,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,23.889122009277344,-2.3600006103515625,4.0,5.0,07-30,4.722626156277124
06-01,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,23.889122009277344,-2.3600006103515625,4.0,5.0,07-31,4.722626156277124
06-02,0.03481674194336293,0.0,2.98291015625,0.0,0.0,0.0,17.95678710937497,23.889122009277344,-2.3600006103515625,4.0,5.0,08-01,4.722626156277124
