,2009,2010,2011,2012,2013,2020,ups,downs,end_day_sum,avg
01-02,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-02,-4.9999992673595816e-05
01-03,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-03,-4.9999992673595816e-05
01-04,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-04,-4.9999992673595816e-05
01-05,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-05,-4.9999992673595816e-05
01-06,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-06,-4.9999992673595816e-05
01-07,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-07,-4.9999992673595816e-05
01-08,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-08,-4.9999992673595816e-05
01-09,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-09,-4.9999992673595816e-05
01-10,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-10,-4.9999992673595816e-05
01-11,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-11,-4.9999992673595816e-05
01-12,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-12,-4.9999992673595816e-05
01-13,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-13,-4.9999992673595816e-05
01-14,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-14,-4.9999992673595816e-05
01-15,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-15,-4.9999992673595816e-05
01-16,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-16,-4.9999992673595816e-05
01-17,0.0,-9.999994654208465e-05,-0.00020000000949949026,0.0,0.0,0.0,0.0,5.0,03-17,-4.9999992673595816e-05
01-18,0.0,0.0009000001009553662,-0.00020000000949949026,0.0,0.0,0.0,1.0,4.0,03-18,0.00011666668190931266
01-19,0.0,0.0009000001009553662,-0.00020000000949949026,0.0,0.0,0.0,1.0,4.0,03-19,0.00011666668190931266
01-20,0.0,0.0009000001009553662,-0.00020000000949949026,0.0,0.0,0.0,1.0,4.0,03-20,0.00011666668190931266
01-22,0.0,0.0009000001009553662,0.0,0.0,0.0,0.0,1.0,4.0,03-22,0.00015000001682589437
01-23,0.0,0.0009000001009553662,0.0,0.0,0.0,0.0,1.0,4.0,03-23,0.00015000001682589437
01-24,0.0,-0.0004999999655410648,0.0,0.0,0.0,0.0,0.0,5.0,03-24,-8.333332759017747e-05
01-25,0.0023999999975785613,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-25,0.00031666667200624943
01-26,0.0023999999975785613,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-26,0.00031666667200624943
01-27,0.0023999999975785613,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-27,0.00031666667200624943
01-28,0.0023999999975785613,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-28,0.00031666667200624943
01-29,0.0023999999975785613,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-29,0.00031666667200624943
01-30,0.0,-0.0004999999655410648,0.0,0.0,0.0,0.0,0.0,5.0,03-30,-8.333332759017747e-05
01-31,0.00019999995129182946,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,03-31,-5.0000002374872565e-05
02-01,0.00019999995129182946,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,04-01,-5.0000002374872565e-05
02-02,0.00019999995129182946,-0.0004999999655410648,0.0,0.0,0.0,0.0,1.0,4.0,04-02,-5.0000002374872565e-05
02-03,0.00019999995129182946,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-03,-3.3333344617858455e-05
